"Máquinas e equipamentos (Total e Baixo Vouga, página 1)",,,,,,,,,
,,,,,,,,,1999
,,,,,,,,,pág. 1/8
,,,BEIRA LITORAL,Baixo Vouga,Águeda,Albergaria-a-Velha,Anadia,Aveiro,Estarreja
Explorações que utilizam tractores Máquinas pertencentes à exploração,,expl (nº),"70,408","14,337","2,156",957,"2,449","1,124","1,066"
Tractores ( de rodas e de rasto),,expl (nº),"31,810","6,072",754,431,"1,064",511,435
,,máq (nº),"35,752","7,540",837,567,"1,196",678,677
,De menos de 20 c.v.,expl (nº),"2,684",401,59,36,65,63,7
,,máq (nº),"2,707",404,59,37,66,63,8
,De 20 a menos de 34 c.v.,expl (nº),"8,502","1,264",244,85,318,94,20
,,máq (nº),"8,545","1,273",248,85,318,95,20
,De 34 a menos de 55 c.v.,expl (nº),"15,621","2,826",307,174,517,189,167
,,máq (nº),"16,125","2,954",315,186,536,200,179
,De 55 a menos de 82 c.v.,expl (nº),"6,118","1,956",154,173,208,234,284
,,máq (nº),"7,278","2,509",184,230,241,284,399
,De 82 a menos de 109 c.v,expl (nº),753,303,22,24,23,29,57
,,máq (nº),879,340,25,28,28,33,63
,De 109 c.v. e mais,expl (nº),174,52,5,1,6,3,7
,,máq (nº),218,60,6,... ,7,3,8
Motocultivadores,,expl (nº),"12,275","2,927",337,210,404,281,287
,,máq (nº),"12,692","3,051",344,213,413,290,320
Motoenxadas (motofresas),,expl (nº),"7,576","1,011",93,50,302,94,23
,,máq (nº),"8,104","1,033",93,50,309,98,23
Motoceifeiras (motogadanheiras),,expl (nº),"7,191","1,562",99,121,128,165,190
,,máq (nº),"7,422","1,663",105,125,137,175,201
Electrobomba/motobomba,,expl (nº),"54,853","12,187","1,485",815,"1,906","1,104",929
,,máq (nº),"103,573","23,226","2,051","1,388","3,256","2,218","1,766"
Distribuidores de adubos e correctivos,,expl (nº),"1,765",884,32,60,61,125,186
,,máq (nº),"1,895",939,33,65,66,138,195
Semeadores,,expl (nº),"1,441",747,89,56,63,96,92
,,máq (nº),"1,512",779,90,59,66,105,95
Plantadores/transplantadores,,expl (nº),286,137,6,12,18,56,2
,,máq (nº),308,143,6,13,18,60,... 
Pulverizadores e polvilhadores,,expl (nº),"4,687","1,671",54,83,414,120,187
,,máq (nº),"5,057","1,753",58,87,448,125,189
Gadanheiras,,expl (nº),"2,017",711,38,94,23,81,128
,,máq (nº),"2,168",765,38,97,26,85,141
Colhedores de forragem,,expl (nº),"1,123",632,29,46,15,50,142
,,máq (nº),"1,477",902,33,52,21,59,202
Enfardadeiras,,expl (nº),"1,041",326,26,54,8,26,60
,,máq (nº),"1,095",344,26,59,8,30,63
Ceifeiras-debulhadoras,,expl (nº),382,76,16,10,1,16,5
,,máq (nº),435,83,16,15,... ,16,5
Secadores de cereais,,expl (nº),400,21,4,1,- ,2,2
,,máq (nº),420,23,4,... ,- ,... ,... 
Viradores de feno,,expl (nº),956,501,27,77,18,65,120
,,máq (nº),980,517,28,81,19,65,123
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,
