Explorações segundo a OTE e a dimensão económica (Península de Setúbal),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,Pág.3/5
,,LISBOA E VALE DO TEJO,Península de Setúbal,Alcochete,Almada,Barreiro,Moita,Montijo,Palmela,Seixal,Sesimbra,Setúbal
,,expl (nº),,,,,,,,,,
Classes de dimensão económica (UDE),,  60 960 ,  5 797 ,   277 ,   174 ,   103 ,   355 ,  1 174 ,  2 684 ,   104 ,   376 ,   550 
,> 0 a < 2,  21 193 ,  1 674 ,   27 ,   44 ,   50 ,   100 ,   334 ,   787 ,   44 ,   126 ,   162 
,2 a < 4,  13 201 ,  1 140 ,   54 ,   26 ,   22 ,   77 ,   204 ,   541 ,   25 ,   64 ,   127 
,4 a < 8,  10 395 ,  1 079 ,   75 ,   24 ,   15 ,   85 ,   162 ,   505 ,   19 ,   84 ,   110 
,8 a < 16,  6 971 ,   815 ,   43 ,   33 ,   7 ,   42 ,   146 ,   382 ,   10 ,   68 ,   84 
,16 a < 40,  5 521 ,   631 ,   48 ,   39 ,   8 ,   21 ,   152 ,   286 ,   5 ,   30 ,   42 
,40 a < 100,  2 412 ,   279 ,   15 ,   7 ,   1 ,   13 ,   114 ,   111 ,- ,   2 ,   16 
,> = 100,  1 267 ,   179 ,   15 ,   1 ,- ,   17 ,   62 ,   72 ,   1 ,   2 ,   9 
OTE,,  61 615 ,  5 936 ,   293 ,   174 ,   107 ,   360 ,  1 208 ,  2 755 ,   104 ,   383 ,   552 
,Cereais e plantas olea./proteaginosas,  1 461 ,   67 ,   2 ,   2 ,- ,   7 ,   23 ,   26 ,- ,   5 ,   2 
,Culturas agrícolas diversas,  5 146 ,   489 ,   52 ,   18 ,   3 ,   20 ,   201 ,   164 ,   3 ,   15 ,   13 
,Horticultura,  4 735 ,  1 172 ,   132 ,   80 ,   25 ,   134 ,   195 ,   417 ,   12 ,   98 ,   79 
,Viticultura,  10 941 ,  1 095 ,   1 ,   1 ,- ,   3 ,   131 ,   880 ,   1 ,   18 ,   60 
,Fruticultura,  6 804 ,   648 ,   8 ,   9 ,   15 ,   46 ,   125 ,   224 ,   23 ,   44 ,   154 
,Olivicultura,  6 219 ,   32 ,- ,   3 ,- ,- ,   12 ,   9 ,- ,- ,   8 
,Culturas permanentes diversas,  7 853 ,   343 ,   2 ,- ,- ,   6 ,   99 ,   171 ,   3 ,   19 ,   43 
,Bovinos de leite,   402 ,   61 ,- ,   2 ,   4 ,   14 ,   7 ,   13 ,   5 ,   7 ,   9 
,Bovinos para gado/carne,   697 ,   86 ,   5 ,   3 ,   3 ,   13 ,   12 ,   35 ,   6 ,   3 ,   6 
,Bovinos para leite/gado/carne,   46 ,   5 ,- ,- ,- ,   1 ,   1 ,- ,   1 ,   1 ,   1 
,Ovinos/caprinos/outros herbívoros,  2 292 ,   409 ,   11 ,   23 ,   17 ,   24 ,   65 ,   126 ,   22 ,   59 ,   62 
,Granívoros,  1 993 ,   262 ,   21 ,   5 ,   2 ,   13 ,   80 ,   122 ,   3 ,   11 ,   5 
,Policultura,  8 707 ,   758 ,   31 ,   13 ,   24 ,   47 ,   148 ,   350 ,   15 ,   66 ,   64 
,Polipecuária-herbívoros,   488 ,   58 ,   1 ,   3 ,- ,   7 ,   7 ,   19 ,   2 ,   6 ,   13 
,Polipecuária-granívoros,   579 ,   63 ,   2 ,   3 ,   1 ,   9 ,   11 ,   25 ,   2 ,   6 ,   4 
,Agricultura geral e herbívoros,   423 ,   30 ,   2 ,   2 ,- ,- ,   14 ,   7 ,   1 ,   4 ,- 
,Culturas diversas e gado,  2 174 ,   219 ,   7 ,   7 ,   9 ,   11 ,   43 ,   96 ,   5 ,   14 ,   27 
,Não classificadas,   655 ,   139 ,   16 ,- ,   4 ,   5 ,   34 ,   71 ,- ,   7 ,   2 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,
