Mão-de-obra agrícola não familiar permanente segundo o tempo de actividade (Médio Tejo),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,Pág.4/5
,LISBOA E VALE DO TEJO,Médio Tejo,Abrantes,Alcanena,Constância,Entroncamento,Ferreira do Zêzere,Ourém,Sardoal,Tomar,Torres Novas,Vila Nova da Barquinha
,nº de indivíduos,,,,,,,,,,,
Tempo de actividade agrícola dos trabalhadores permanentes,"13,421","1,795",536,43,57,21,205,122,34,612,150,15
Tempo parcial,"4,429",724,115,15,12,17,66,69,31,331,60,8
> 0 - < 25%,"1,072",197,25,3,3,1,25,20,17,83,16,4
25 - < 50%,989,120,23,3,2,1,10,13,5,49,14,- 
50 - < 75%,"1,027",250,47,3,3,- ,14,20,3,151,8,1
75 - < 100%,"1,341",157,20,6,4,15,17,16,6,48,22,3
Tempo completo,"8,992","1,071",421,28,45,4,139,53,3,281,90,7
Homem,"8,599","1,190",443,36,43,18,121,55,22,333,107,12
Tempo parcial,"2,832",472,74,14,10,15,30,31,21,222,47,8
> 0 - < 25%,716,111,8,3,2,1,12,13,13,43,12,4
25 - < 50%,634,70,14,3,2,1,5,6,3,25,11,- 
50 - < 75%,597,182,37,3,3,- ,2,1,1,128,6,1
75 - < 100%,885,109,15,5,3,13,11,11,4,26,18,3
Tempo completo,"5,767",718,369,22,33,3,91,24,1,111,60,4
Mulher,"4,822",605,93,7,14,3,84,67,12,279,43,3
Tempo parcial,"1,597",252,41,1,2,2,36,38,10,109,13,- 
> 0 - < 25%,356,86,17,- ,1,- ,13,7,4,40,4,- 
25 - < 50%,355,50,9,- ,- ,- ,5,7,2,24,3,- 
50 - < 75%,430,68,10,- ,- ,- ,12,19,2,23,2,- 
75 - < 100%,456,48,5,1,1,2,6,5,2,22,4,- 
Tempo completo,"3,225",353,52,6,12,1,48,29,2,170,30,3
Tempo de actividade agrícola dos dirigentes assalariados,"1,752",160,36,8,7,3,13,20,13,24,31,5
Tempo parcial,"1,223",122,22,6,7,3,8,16,13,23,19,5
> 0 - < 25%,369,45,7,2,2,1,2,4,6,10,8,3
25 - < 50%,263,24,4,- ,- ,1,2,4,4,4,5,- 
50 - < 75%,200,15,6,1,1,- ,1,2,- ,1,3,- 
75 - < 100%,391,38,5,3,4,1,3,6,3,8,3,2
Tempo completo,529,38,14,2,- ,- ,5,4,- ,1,12,- 
Homem,"1,556",141,34,8,6,3,10,18,10,22,25,5
Tempo parcial,"1,063",108,20,6,6,3,5,14,10,21,18,5
> 0 - < 25%,298,41,6,2,2,1,1,4,5,9,8,3
25 - < 50%,230,19,3,- ,- ,1,1,3,2,4,5,- 
50 - < 75%,177,12,6,1,1,- ,- ,1,- ,1,2,- 
75 - < 100%,358,36,5,3,3,1,3,6,3,7,3,2
Tempo completo,493,33,14,2,- ,- ,5,4,- ,1,7,- 
Mulher,196,19,2,- ,1,- ,3,2,3,2,6,- 
Tempo parcial,160,14,2,- ,1,- ,3,2,3,2,1,- 
> 0 - < 25%,71,4,1,- ,- ,- ,1,- ,1,1,- ,- 
25 - < 50%,33,5,1,- ,- ,- ,1,1,2,- ,- ,- 
50 - < 75%,23,3,- ,- ,- ,- ,1,1,- ,- ,1,- 
75 - < 100%,33,2,- ,- ,1,- ,- ,- ,- ,1,- ,- 
Tempo completo,36,5,- ,- ,- ,- ,- ,- ,- ,- ,5,- 
Tempo de actividade agrícola dos outros trabalhadores permanentes,"11,669","1,635",500,35,50,18,192,102,21,588,119,10
Tempo parcial,"3,206",602,93,9,5,14,58,53,18,308,41,3
> 0 - < 25%,703,152,18,1,1,- ,23,16,11,73,8,1
25 - < 50%,726,96,19,3,2,- ,8,9,1,45,9,- 
50 - < 75%,827,235,41,2,2,- ,13,18,3,150,5,1
75 - < 100%,950,119,15,3,- ,14,14,10,3,40,19,1
Tempo completo,"8,463","1,033",407,26,45,4,134,49,3,280,78,7
Homem,"7,043","1,049",409,28,37,15,111,37,12,311,82,7
Tempo parcial,"1,769",364,54,8,4,12,25,17,11,201,29,3
> 0 - < 25%,418,70,2,1,- ,- ,11,9,8,34,4,1
25 - < 50%,404,51,11,3,2,- ,4,3,1,21,6,- 
50 - < 75%,420,170,31,2,2,- ,2,- ,1,127,4,1
75 - < 100%,527,73,10,2,- ,12,8,5,1,19,15,1
Tempo completo,"5,274",685,355,20,33,3,86,20,1,110,53,4
Mulher,"4,626",586,91,7,13,3,81,65,9,277,37,3
Tempo parcial,"1,437",238,39,1,1,2,33,36,7,107,12,- 
> 0 - < 25%,285,82,16,- ,1,- ,12,7,3,39,4,- 
25 - < 50%,322,45,8,- ,- ,- ,4,6,- ,24,3,- 
50 - < 75%,407,65,10,- ,- ,- ,11,18,2,23,1,- 
75 - < 100%,423,46,5,1,- ,2,6,5,2,21,4,- 
Tempo completo,"3,189",348,52,6,12,1,48,29,2,170,25,3
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,
