"Explorações que recorreram a subsídios segundo a SAU, a dimensão económica e a OTE (Península de Setúbal)",,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,Pág.3/5
,,,LISBOA E VALE DO TEJO,Península de Setúbal,Alcochete,Almada,Barreiro,Moita,Montijo,Palmela,Seixal,Sesimbra,Setúbal
Explorações agrícolas,,expl. (nº),  61 615 ,  5 936 ,   293 ,   174 ,   107 ,   360 ,  1 208 ,  2 755 ,   104 ,383,552
,,SAU (ha),  447 863 ,  56 106 ,  3 675 ,   538 ,   241 ,  1 932 ,  16 605 ,  23 303 ,   998 ,2604,6210
,Sem SAU,expl. (nº),  1 070 ,   136 ,   10 ,   11 ,   2 ,   10 ,   22 ,   55 ,   4 ,11,11
,> 0 a < 1,expl. (nº),  14 969 ,  1 509 ,   78 ,   33 ,   51 ,   118 ,   239 ,   673 ,   49 ,61,207
,,SAU (ha),  9 023 ,   908 ,   51 ,   17 ,   23 ,   67 ,   149 ,   409 ,   24 ,37,131
,1 a < 2,expl. (nº),  16 763 ,  1 567 ,   75 ,   46 ,   24 ,   100 ,   286 ,   781 ,   17 ,118,120
,,SAU (ha),  23 653 ,  2 261 ,   107 ,   72 ,   33 ,   143 ,   411 ,  1 117 ,   24 ,171,183
,2 a < 5,expl. (nº),  16 416 ,  1 386 ,   67 ,   60 ,   20 ,   71 ,   273 ,   662 ,   15 ,124,94
,,SAU (ha),  51 428 ,  4 470 ,   209 ,   206 ,   62 ,   228 ,   891 ,  2 127 ,   44 ,393,310
,5 a < 10,expl. (nº),  6 776 ,   665 ,   39 ,   17 ,   5 ,   32 ,   184 ,   291 ,   6 ,39,52
,,SAU (ha),  46 447 ,  4 656 ,   272 ,   117 ,   37 ,   227 ,  1 293 ,  2 037 ,   41 ,266,366
,10 a < 20,expl. (nº),  2 954 ,   322 ,   10 ,   5 ,   3 ,   15 ,   96 ,   155 ,   5 ,11,22
,,SAU (ha),  40 373 ,  4 476 ,   143 ,   70 ,   37 ,   205 ,  1 354 ,  2 138 ,   71 ,137,321
,20 a < 50,expl. (nº),  1 640 ,   204 ,   6 ,   2 ,   2 ,   7 ,   67 ,   77 ,   4 ,11,28
