Explorações segundo a OTE e a dimensão económica (Médio Tejo),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,Pág.4/5
,,LISBOA E VALE DO TEJO,Médio Tejo,Abrantes,Alcanena,Constância,Entroncamento,Ferreira do Zêzere,Ourém,Sardoal,Tomar,Torres Novas,Vila Nova da Barquinha
,,expl (nº),,,,,,,,,,,
Classes de dimensão económica (UDE),,  60 960 ,  13 475 ,  2 135 ,   843 ,   118 ,   44 ,  1 442 ,  3 556 ,   707 ,  2 499 ,  2 044 ,   87 
,> 0 a < 2,  21 193 ,  6 564 ,  1 029 ,   279 ,   72 ,   19 ,   817 ,  1 994 ,   373 ,  1 427 ,   517 ,   37 
,2 a < 4,  13 201 ,  3 503 ,   507 ,   238 ,   20 ,   14 ,   384 ,  1 009 ,   199 ,   605 ,   511 ,   16 
,4 a < 8,  10 395 ,  1 922 ,   307 ,   150 ,   10 ,   5 ,   157 ,   416 ,   100 ,   271 ,   491 ,   15 
,8 a < 16,  6 971 ,   837 ,   145 ,   106 ,   3 ,   1 ,   51 ,   89 ,   29 ,   107 ,   294 ,   12 
,16 a < 40,  5 521 ,   402 ,   69 ,   50 ,   6 ,   3 ,   15 ,   36 ,   4 ,   54 ,   160 ,   5 
,40 a < 100,  2 412 ,   172 ,   48 ,   16 ,   4 ,   2 ,   11 ,   7 ,   2 ,   24 ,   56 ,   2 
,> = 100,  1 267 ,   75 ,   30 ,   4 ,   3 ,- ,   7 ,   5 ,- ,   11 ,   15 ,- 
OTE,,  61 615 ,  13 498 ,  2 139 ,   844 ,   118 ,   44 ,  1 442 ,  3 563 ,   708 ,  2 505 ,  2 048 ,   87 
,Cereais e plantas olea./proteaginosas,  1 461 ,   189 ,   47 ,   3 ,   4 ,   1 ,   1 ,   43 ,- ,   25 ,   59 ,   6 
,Culturas agrícolas diversas,  5 146 ,   148 ,   52 ,   3 ,   5 ,- ,   2 ,   17 ,- ,   31 ,   35 ,   3 
,Horticultura,  4 735 ,   201 ,   88 ,   2 ,- ,   3 ,   5 ,   12 ,   30 ,   48 ,   11 ,   2 
,Viticultura,  10 941 ,   635 ,   44 ,   5 ,- ,- ,   73 ,   297 ,   5 ,   190 ,   21 ,- 
,Fruticultura,  6 804 ,   685 ,   63 ,   26 ,   10 ,   12 ,   43 ,   35 ,   9 ,   52 ,   422 ,   13 
,Olivicultura,  6 219 ,  4 291 ,  1 143 ,   393 ,   71 ,   3 ,   504 ,   662 ,   310 ,   769 ,   411 ,   25 
,Culturas permanentes diversas,  7 853 ,  3 902 ,   267 ,   206 ,   13 ,   8 ,   556 ,  1 072 ,   98 ,   857 ,   812 ,   13 
,Bovinos de leite,   402 ,   34 ,   2 ,   11 ,   1 ,- ,- ,   8 ,   1 ,   6 ,   5 ,- 
,Bovinos para gado/carne,   697 ,   42 ,   5 ,   2 ,   1 ,- ,   2 ,   13 ,- ,   15 ,   4 ,- 
,Bovinos para leite/gado/carne,   46 ,   9 ,- ,   3 ,- ,- ,- ,   2 ,- ,   3 ,   1 ,- 
,Ovinos/caprinos/outros herbívoros,  2 292 ,   269 ,   73 ,   26 ,   2 ,   2 ,   12 ,   49 ,   2 ,   56 ,   42 ,   5 
,Granívoros,  1 993 ,   112 ,   5 ,   8 ,   1 ,- ,   12 ,   55 ,- ,   23 ,   6 ,   2 
,Policultura,  8 707 ,  2 029 ,   238 ,   58 ,   6 ,   12 ,   151 ,   888 ,   237 ,   298 ,   127 ,   14 
,Polipecuária-herbívoros,   488 ,   145 ,   16 ,   8 ,- ,- ,   13 ,   90 ,   1 ,   8 ,   8 ,   1 
,Polipecuária-granívoros,   579 ,   80 ,   6 ,   5 ,- ,- ,   3 ,   37 ,   2 ,   20 ,   7 ,- 
,Agricultura geral e herbívoros,   423 ,   46 ,   12 ,- ,- ,   1 ,   1 ,   25 ,- ,   4 ,   3 ,- 
,Culturas diversas e gado,  2 174 ,   658 ,   74 ,   84 ,   4 ,   2 ,   64 ,   251 ,   12 ,   94 ,   70 ,   3 
,Não classificadas,   655 ,   23 ,   4 ,   1 ,- ,- ,- ,   7 ,   1 ,   6 ,   4 ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",
