Principais características do produtor singular - Mulher (Grande Lisboa),,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,Pág.6/15
,,,Grande Lisboa,Amadora,Cascais,Loures,Odivelas,Oeiras,Sintra,Vila Franca de Xira
,,,nº de indivíduos,,,,,,,
Mulher,,,,,,,,,,
Produtor singular,,,   488 ,   1 ,   4 ,   147 ,   9 ,   2 ,   191 ,   134 
,Autónomo,,   467 ,   1 ,   4 ,   142 ,   9 ,   2 ,   184 ,   125 
,Empresário,,   21 ,- ,- ,   5 ,- ,- ,   7 ,   9 
Nível de instrução,,,,,,,,,,
,Não sabe ler nem escrever,,   105 ,   1 ,   2 ,   32 ,   3 ,- ,   39 ,   28 
,Sabe ler e escrever,,   68 ,- ,- ,   15 ,   2 ,- ,   27 ,   24 
,Básico - 1º ciclo,,   235 ,- ,   2 ,   79 ,   4 ,   1 ,   95 ,   54 
,Básico - 2º ciclo,,   34 ,- ,- ,   11 ,- ,- ,   11 ,   12 
,Básico - 3º ciclo,,   16 ,- ,- ,   6 ,- ,- ,   4 ,   6 
,Secundário agrícola,,   2 ,- ,- ,- ,- ,- ,- ,   2 
,Secundário não agrícola,,   12 ,- ,- ,   2 ,- ,- ,   8 ,   2 
,Politécnico / Superior agrícola,,   3 ,- ,- ,- ,- ,- ,   2 ,   1 
,Politécnico / Superior não agrícola,,   13 ,- ,- ,   2 ,- ,   1 ,   5 ,   5 
Formação profissional agrícola,,,,,,,,,,
,Exclusivamente prática,,   448 ,   1 ,   4 ,   139 ,   9 ,   2 ,   168 ,   125 
,Curta duração,,   4 ,- ,- ,   1 ,- ,- ,   3 ,- 
,Longa duração,,   18 ,- ,- ,   3 ,- ,- ,   13 ,   2 
,Longa e curta duração,,   13 ,- ,- ,   4 ,- ,- ,   5 ,   4 
,Completa,,   5 ,- ,- ,- ,- ,- ,   2 ,   3 
Tempo de actividade agrícola ,,,,,,,,,,
,Tempo parcial,,   398 ,   1 ,   1 ,   130 ,   3 ,   2 ,   136 ,   125 
,,> 0 - < 25%,   176 ,   1 ,- ,   57 ,   1 ,   1 ,   71 ,   45 
,,25 - < 50%,   91 ,- ,   1 ,   22 ,   1 ,- ,   31 ,   36 
,,50 - < 75%,   48 ,- ,- ,   15 ,- ,- ,   18 ,   15 
,,75 - < 100%,   83 ,- ,- ,   36 ,   1 ,   1 ,   16 ,   29 
,Tempo completo,,   90 ,- ,   3 ,   17 ,   6 ,- ,   55 ,   9 
Actividades remuneradas exterior à exploração,,,,,,,,,,
,Principal,,   122 ,- ,   1 ,   33 ,- ,   1 ,   44 ,   43 
,,Sector primário,   6 ,- ,- ,   3 ,- ,- ,   1 ,   2 
,,Sector secundário,   21 ,- ,- ,   7 ,- ,- ,   7 ,   7 
,,Sector terciário,   95 ,- ,   1 ,   23 ,- ,   1 ,   36 ,   34 
,Secúndária,,   3 ,- ,- ,- ,   1 ,- ,   2 ,- 
,,Sector primário,   2 ,- ,- ,- ,- ,- ,   2 ,- 
,,Sector secundário,   1 ,- ,- ,- ,   1 ,- ,- ,- 
,,Sector terciário,- ,- ,- ,- ,- ,- ,- ,- 
Situação na profissão exterior à exploração,,,,,,,,,,
,Patrão/empregador,,   24 ,- ,- ,   6 ,- ,   1 ,   8 ,   9 
,Trabalhador por conta própria,,   44 ,- ,   1 ,   8 ,- ,- ,   23 ,   12 
,Trabalhador por conta de outrem,,   54 ,- ,- ,   19 ,   1 ,- ,   12 ,   22 
,Trabalhador familiar remunerado,,   2 ,- ,- ,- ,- ,- ,   2 ,- 
,Outra situação,,   1 ,- ,- ,- ,- ,- ,   1 ,- 
Produtor singular dirigente,,,   473 ,   1 ,   4 ,   145 ,   9 ,   2 ,   180 ,   132 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo."
