Origem do rendimento do agregado doméstico do produtor singular (Península de Setúbal),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,Pág.3/5
,,,LISBOA E VALE DO TEJO,Península de Setúbal,Alcochete,Almada,Barreiro,Moita,Montijo,Palmela,Seixal,Sesimbra,Setúbal
,,,expl. (nº),,,,,,,,,,
Total explorações com produtor singular,,,  59 944 ,  5 678 ,   274 ,   170 ,   105 ,   353 ,  1 111 ,  2 666 ,   98 ,   373 ,   528 
Exclusivamente da actividade da exploração,,,  5 433 ,   716 ,   57 ,   64 ,   8 ,   34 ,   149 ,   293 ,   9 ,   24 ,   78 
Principalmente da actividade da exploração,,,  12 087 ,  1 442 ,   67 ,   36 ,   20 ,   109 ,   210 ,   641 ,   9 ,   106 ,   244 
,Salários do sector primário,,  1 641 ,   186 ,   5 ,- ,- ,   10 ,   25 ,   106 ,   2 ,   13 ,   25 
,,1ª opção,  1 392 ,   159 ,   2 ,- ,- ,   9 ,   24 ,   88 ,   1 ,   12 ,   23 
,,2ª opção,   233 ,   26 ,   3 ,- ,- ,   1 ,   1 ,   17 ,   1 ,   1 ,   2 
,,3ª opção,   16 ,   1 ,- ,- ,- ,- ,- ,   1 ,- ,- ,- 
,Salários do sector secúndário,,  2 015 ,   238 ,   8 ,   1 ,   2 ,   14 ,   34 ,   109 ,   2 ,   13 ,   55 
,,1ª opção,  1 574 ,   187 ,   8 ,   1 ,   2 ,   11 ,   24 ,   81 ,   2 ,   7 ,   51 
,,2ª opção,   413 ,   47 ,- ,- ,- ,   2 ,   10 ,   26 ,- ,   5 ,   4 
,,3ª opção,   28 ,   4 ,- ,- ,- ,   1 ,- ,   2 ,- ,   1 ,- 
,Salários do sector terciário,,  2 881 ,   318 ,   17 ,   5 ,   5 ,   22 ,   72 ,   148 ,   2 ,   8 ,   39 
,,1ª opção,  2 231 ,   263 ,   14 ,   5 ,   4 ,   16 ,   62 ,   123 ,   1 ,   6 ,   32 
,,2ª opção,   605 ,   52 ,   3 ,- ,   1 ,   6 ,   8 ,   24 ,   1 ,   2 ,   7 
,,3ª opção,   45 ,   3 ,- ,- ,- ,- ,   2 ,   1 ,- ,- ,- 
