Explorações segundo a OTE e a dimensão económica (Oeste),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,,Pág.1/5
,,LISBOA E VALE DO TEJO,Oeste,Alcobaça,Alenquer,Arruda dos Vinhos,Bombarral,Cadaval,Caldas da Rainha,Lourinhã,Mafra,Nazaré,Óbidos,Peniche,Sobral de Monte Agraço,Torres Vedras
,,expl (nº),,,,,,,,,,,,,,
Classes de dimensão económica (UDE),,  60 960 ,  23 323 ,  3 142 ,  2 708 ,   798 ,  1 139 ,  1 697 ,  2 266 ,  2 015 ,  2 631 ,   311 ,  1 022 ,   811 ,   689 ,  4 094 
,> 0 a < 2,  21 193 ,  6 435 ,   783 ,  1 087 ,   292 ,   182 ,   466 ,   472 ,   407 ,   827 ,   46 ,   156 ,   128 ,   255 ,  1 334 
,2 a < 4,  13 201 ,  4 808 ,   629 ,   634 ,   173 ,   201 ,   362 ,   440 ,   407 ,   569 ,   62 ,   163 ,   152 ,   153 ,   863 
,4 a < 8,  10 395 ,  4 477 ,   627 ,   490 ,   162 ,   210 ,   333 ,   452 ,   416 ,   541 ,   54 ,   182 ,   161 ,   129 ,   720 
,8 a < 16,  6 971 ,  3 337 ,   441 ,   270 ,   97 ,   220 ,   236 ,   372 ,   334 ,   351 ,   57 ,   212 ,   140 ,   79 ,   528 
,16 a < 40,  5 521 ,  2 772 ,   426 ,   136 ,   51 ,   196 ,   203 ,   355 ,   302 ,   235 ,   65 ,   186 ,   146 ,   47 ,   424 
,40 a < 100,  2 412 ,  1 066 ,   176 ,   56 ,   14 ,   95 ,   68 ,   126 ,   110 ,   78 ,   21 ,   88 ,   56 ,   17 ,   161 
,> = 100,  1 267 ,   428 ,   60 ,   35 ,   9 ,   35 ,   29 ,   49 ,   39 ,   30 ,   6 ,   35 ,   28 ,   9 ,   64 
OTE,,  61 615 ,  23 396 ,  3 150 ,  2 717 ,   801 ,  1 140 ,  1 702 ,  2 274 ,  2 017 ,  2 640 ,   312 ,  1 023 ,   815 ,   694 ,  4 111 
,Cereais e plantas olea./proteaginosas,  1 461 ,   292 ,   31 ,   35 ,   33 ,- ,   4 ,   11 ,   12 ,   50 ,   5 ,   5 ,   19 ,   23 ,   64 
,Culturas agrícolas diversas,  5 146 ,  2 366 ,   211 ,   69 ,   40 ,   17 ,   35 ,   174 ,   657 ,   251 ,   54 ,   146 ,   197 ,   87 ,   428 
,Horticultura,  4 735 ,  1 976 ,   59 ,   10 ,   32 ,   21 ,   1 ,   58 ,   280 ,   419 ,   85 ,   62 ,   367 ,   96 ,   486 
,Viticultura,  10 941 ,  5 211 ,   119 ,  1 769 ,   388 ,   178 ,   566 ,   258 ,   60 ,   201 ,   1 ,   51 ,   7 ,   162 ,  1 451 
,Fruticultura,  6 804 ,  4 368 ,   993 ,   122 ,   49 ,   560 ,   580 ,   712 ,   205 ,   374 ,   44 ,   406 ,   28 ,   16 ,   279 
,Olivicultura,  6 219 ,   43 ,   29 ,   3 ,   2 ,   1 ,   3 ,   4 ,- ,- ,- ,- ,- ,   1 ,- 
,Culturas permanentes diversas,  7 853 ,  1 916 ,   253 ,   217 ,   71 ,   254 ,   280 ,   223 ,   76 ,   137 ,   6 ,   122 ,   23 ,   12 ,   242 
,Bovinos de leite,   402 ,   191 ,   27 ,   1 ,   4 ,   1 ,   9 ,   6 ,   11 ,   68 ,   6 ,   4 ,   4 ,   14 ,   36 
,Bovinos para gado/carne,   697 ,   319 ,   40 ,   22 ,   4 ,   2 ,   10 ,   47 ,   17 ,   92 ,   4 ,   6 ,   5 ,   16 ,   54 
,Bovinos para leite/gado/carne,   46 ,   21 ,   4 ,- ,- ,- ,- ,- ,- ,   11 ,- ,   1 ,- ,   2 ,   3 
,Ovinos/caprinos/outros herbívoros,  2 292 ,   667 ,   87 ,   39 ,   26 ,   11 ,   30 ,   38 ,   28 ,   193 ,   7 ,   16 ,   21 ,   67 ,   104 
,Granívoros,  1 993 ,   949 ,   465 ,   17 ,   7 ,   13 ,   35 ,   179 ,   53 ,   83 ,   5 ,   8 ,   16 ,   12 ,   56 
,Policultura,  8 707 ,  3 794 ,   487 ,   310 ,   100 ,   71 ,   81 ,   384 ,   567 ,   542 ,   75 ,   171 ,   113 ,   136 ,   757 
,Polipecuária-herbívoros,   488 ,   156 ,   40 ,   14 ,   1 ,   1 ,   5 ,   10 ,   6 ,   42 ,   2 ,   5 ,   2 ,   7 ,   21 
,Polipecuária-granívoros,   579 ,   261 ,   107 ,   11 ,   6 ,   1 ,   11 ,   50 ,   10 ,   33 ,   6 ,   1 ,   1 ,   8 ,   16 
,Agricultura geral e herbívoros,   423 ,   173 ,   27 ,   8 ,   8 ,- ,   4 ,   11 ,   13 ,   52 ,   4 ,   6 ,   4 ,   15 ,   21 
,Culturas diversas e gado,  2 174 ,   620 ,   163 ,   61 ,   27 ,   8 ,   43 ,   101 ,   20 ,   83 ,   7 ,   12 ,   4 ,   15 ,   76 
,Não classificadas,   655 ,   73 ,   8 ,   9 ,   3 ,   1 ,   5 ,   8 ,   2 ,   9 ,   1 ,   1 ,   4 ,   5 ,   17 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",

,
,













,
