Origem do rendimento do agregado doméstico do produtor singular (Beira Interior Sul),,,,,,,
,,,,,,,1999
,,,,,,,pág. 4/5
,,,Beira Interior Sul,Castelo Branco,Idanha-a-Nova,Penamacor,Vila Velha de Rodão
,,,expl. (nº),,,,
Total explorações com produtor singular,,,"9,570","4,709","2,108","1,633","1,120"
Exclusivamente da actividade da exploração,,,472,216,150,89,17
Principalmente da actividade da exploração,,,761,325,188,124,124
,Salários do sector primário,,91,47,29,10,5
,,1ª opção,75,35,27,9,4
,,2ª opção,15,11,2,1,1
,,3ª opção,1,1,- ,- ,- 
,Salários do sector secúndário,,67,37,8,16,6
,,1ª opção,52,26,7,14,5
,,2ª opção,10,8,- ,1,1
,,3ª opção,5,3,1,1,- 
,Salários do sector terciário,,161,84,37,27,13
,,1ª opção,130,64,31,24,11
,,2ª opção,30,19,6,3,2
,,3ª opção,1,1,- ,- ,- 
,Actividade empresarial,,51,16,26,2,7
,,1ª opção,36,11,16,2,7
,,2ª opção,15,5,10,- ,- 
,,3ª opção,- ,- ,- ,- ,- 
,Pensões rurais/reformas,,475,199,113,65,98
,,1ª opção,417,172,90,63,92
,,2ª opção,57,27,22,2,6
,,3ª opção,1,- ,1,- ,- 
,Juros e dividendos,,33,23,7,2,1
,,1ª opção,6,3,2,1,- 
,,2ª opção,24,17,5,1,1
,,3ª opção,3,3,- ,- ,- 
,Remessas de emigrantes,,5,2,- ,2,1
,,1ª opção,4,2,- ,2,- 
,,2ª opção,1,- ,- ,- ,1
,,3ª opção,- ,- ,- ,- ,- 
,Outras,,91,49,24,10,8
,,1ª opção,41,12,15,9,5
,,2ª opção,18,7,7,1,3
,,3ª opção,32,30,2,- ,- 
Principalmente origem exterior à actividade da exploração,,,"8,337","4,168","1,770","1,420",979
,Salários do sector primário,,371,151,126,62,32
,,1ª opção,262,105,94,41,22
,,2ª opção,97,38,30,19,10
,,3ª opção,12,8,2,2,- 
,Salários do sector secúndário,,"1,178",754,168,108,148
,,1ª opção,955,606,140,93,116
,,2ª opção,207,137,27,14,29
,,3ª opção,16,11,1,1,3
,Salários do sector terciário,,"1,870","1,019",351,267,233
,,1ª opção,"1,332",699,262,220,151
,,2ª opção,520,308,86,45,81
,,3ª opção,18,12,3,2,1
,Actividade empresarial,,389,184,105,34,66
,,1ª opção,302,149,77,26,50
,,2ª opção,82,32,26,8,16
,,3ª opção,5,3,2,- ,- 
,Pensões rurais/reformas,,"5,789","2,739","1,288","1,071",691
,,1ª opção,"5,287","2,464","1,180","1,024",619
,,2ª opção,465,255,99,46,65
,,3ª opção,37,20,9,1,7
,Juros e dividendos,,184,140,16,17,11
,,1ª opção,16,10,1,1,4
,,2ª opção,158,122,14,16,6
,,3ª opção,10,8,1,- ,1
,Remessas de emigrantes,,98,67,9,9,13
,,1ª opção,65,47,4,5,9
,,2ª opção,32,19,5,4,4
,,3ª opção,1,1,- ,- ,- 
,Outras,,384,300,39,19,26
,,1ª opção,118,88,12,10,8
,,2ª opção,96,45,27,8,16
,,3ª opção,170,167,- ,1,2
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,
