Principais Características da População Familiar - Mulher (Beira Interior Sul),,,,,,,,,
,,,,,,,1999,,
,,,,,,,pág. 12/15,,
,,,Beira Interior Sul,Castelo Branco,Idanha-a-Nova,Penamacor,Vila Velha de Rodão,,
,,,nº de indivíduos,,,,,,
Mulher,,,,,,,,,
População familiar,,,"11,115","5,558","2,432","1,835","1,290",,
Nível de instrução,,,,,,,,,
,Não sabe ler nem escrever,,"3,020","1,382",755,619,264,,
,Sabe ler e escrever,,"2,127","1,097",419,326,285,,
,Básico - 1º ciclo,,"3,449","1,842",679,522,406,,
,Básico - 2º ciclo,,611,287,135,112,77,,
,Básico - 3º ciclo,,656,329,148,108,71,,
,Secundário agrícola,,40,19,9,8,4,,
,Secundário não agrícola,,582,286,129,78,89,,
,Politécnico / Superior agrícola,,66,34,22,4,6,,
,Politécnico / Superior não agrícola,,564,282,136,58,88
Formação profissional agrícola,,,,,,,
,Exclusivamente prática,,"9,455","4,973","1,814","1,514","1,154"
,Curta duração,,45,4,7,33,1
,Longa duração,,63,11,24,26,2
,Longa e curta duração,,32,5,20,7,- 
,Completa,,106,53,31,12,10
Tempo de actividade agrícola ,,,,,,,
,Sem actividade,,"1,732",686,620,282,144
,Tempo parcial,,"9,126","4,757","1,702","1,525","1,142"
,,> 0 - < 25%,"4,465","2,113",899,620,833
,,25 - < 50%,"2,097","1,247",307,368,175
,,50 - < 75%,"1,415",818,234,272,91
,,75 - < 100%,"1,149",579,262,265,43
,Tempo completo,,257,115,110,28,4
Actividades remuneradas exterior à exploração,,,,,,,
,Principal,,"2,115","1,114",457,272,272
,,Sector primário,159,36,74,39,10
,,Sector secundário,356,254,42,19,41
,,Sector terciário,"1,600",824,341,214,221
,Secundária,,23,18,2,1,2
,,Sector primário,9,6,1,1,1
,,Sector secundário,2,2,- ,- ,- 
,,Sector terciário,12,10,1,- ,1
Situação na profissão exterior à exploração,,,,,,,
,Patrão/empregador,,115,59,39,7,10
,Trabalhador por conta própria,,290,144,64,51,31
,Trabalhador por conta de outrem,,"1,674",890,350,208,226
,Trabalhador familiar remunerado,,7,3,2,- ,2
,Outra situação,,52,36,4,7,5
Dirigente na população familiar,,,"1,994",936,453,378,227
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,
