Principais características do Produtor Singular - Homem/Mulher (Cova da Beira),,,,,,
,,,,,,1999
,,,,,,pág. 13/15
,,,Cova da Beira,Belmonte,Covilhã,Fundão
,,,nº de indivíduos,,,
Homem / Mulher,,,,,,
Produtor singular,,,"8,579",986,"2,818","4,775"
,Autónomo,,"8,396",971,"2,761","4,664"
,Empresário,,183,15,57,111
Nível de instrução,,,,,,
,Não sabe ler nem escrever,,"2,054",234,599,"1,221"
,Sabe ler e escrever,,"1,245",129,410,706
,Basico - 1º ciclo,,"4,114",505,"1,403","2,206"
,Basico - 2º ciclo,,511,43,186,282
,Basico - 3º ciclo,,298,33,100,165
,Secúndário agrícola,,8,- ,3,5
,Secúndário não agrícola,,162,21,54,87
,Politécnico superior agrícola,,25,3,7,15
,Politécnico superior não agrícola,,162,18,56,88
Formação profissional agrícola,,,,,,
,Exclusivamente prática,,"8,205",934,"2,680","4,591"
,Curta duração,,211,25,73,113
,Longa duração,,86,16,36,34
,Longa e curta duração,,44,8,19,17
,Completa,,33,3,10,20
Tempo de actividade agrícola ,,,,,,
,Tempo parcial,,"7,661",781,"2,635","4,245"
,,> 0 - < 25%,"1,998",143,780,"1,075"
,,25 - < 50%,"2,293",286,832,"1,175"
,,50 - < 75%,"1,557",187,528,842
,,75 - < 100%,"1,813",165,495,"1,153"
,Tempo completo,,918,205,183,530
Actividades remuneradas exterior à exploração,,,,,,
,Principal,,"2,259",218,813,"1,228"
,,Sector primário,292,16,105,171
,,Sector secundário,864,74,373,417
,,Sector terciário,"1,103",128,335,640
,Secúndária,,131,12,38,81
,,Sector primário,23,6,12,5
,,Sector secundário,48,3,12,33
,,Sector terciário,60,3,14,43
Situação na profissão exterior à exploração,,,,,,
,Patrão/empregador,,335,36,110,189
,Trabalhador por conta própria,,475,57,153,265
,Trabalhador por conta de outrem,,"1,484",120,550,814
,Trabalhador familiar remunerado,,8,1,3,4
,Outra situação,,88,16,35,37
Prod. sing. dirigente,,,"8,449",980,"2,761","4,708"
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro."
