Actividade renumerada exterior à exploração da População Agrícola Familiar (Serra da Estrela),,,,,,
,,,,,,1999
,,,,,,pág. 2/5
,,,Serra da Estrela,Fornos de Algodres,Gouveia,Seia
,,,nº de indivíduos,,,
População agrícola familiar,,,"12,884","2,135","3,976","6,773"
,Actividade exterior - principal,,"3,505",490,"1,006","2,009"
,,"Agric, prod. animal, caça e activ. seviços relacionados",275,42,83,150
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",68,11,6,51
,,"Pesca, aquacultura e activ. seviços relacionados",2,- ,2,- 
,,Ind. alimentares das bebidas e do tabaco,61,2,11,48
,,Outras indústrias,779,99,191,489
,,"Prod. e distribuição de  electricidade, gás e água",62,4,7,51
,,Construção,595,100,158,337
,,Comércio por grosso e retalho,451,56,152,243
,,Alojamento e restauração,86,12,27,47
,,Administração pública,222,41,50,131
,,Educação,235,35,91,109
,,Saúde e acção social,158,29,57,72
,,Outras,511,59,171,281
,Actividade exterior - secundária,,92,36,23,33
,,"Agric, prod. animal, caça e activ. seviços relacionados",45,23,7,15
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",9,1,6,2
,,"Pesca, aquacultura e activ. seviços relacionados",- ,- ,- ,- 
,,Ind. alimentares das bebidas e do tabaco,- ,- ,- ,- 
,,Outras indústrias,4,1,- ,3
,,"Prod. e distribuição de  electricidade, gás e água",1,- ,- ,1
,,Construção,7,2,2,3
,,Comércio por grosso e retalho,10,3,4,3
,,Alojamento e restauração,- ,- ,- ,- 
,,Administração pública,1,1,- ,- 
,,Educação,- ,- ,- ,- 
,,Saúde e acção social,4,2,1,1
,,Outras,11,3,3,5
Produtor Singular,,,"4,751",774,"1,530","2,447"
,Actividade exterior - principal,,"1,398",188,422,788
,,"Agric, prod. animal, caça e activ. seviços relacionados",162,28,58,76
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",45,7,4,34
,,"Pesca, aquacultura e activ. seviços relacionados",1,- ,1,- 
,,Ind. alimentares das bebidas e do tabaco,25,1,6,18
,,Outras indústrias,273,28,62,183
,,"Prod. e distribuição de  electricidade, gás e água",28,- ,- ,28
,,Construção,258,43,81,134
,,Comércio por grosso e retalho,204,28,74,102
,,Alojamento e restauração,29,1,11,17
,,Administração pública,81,16,19,46
,,Educação,58,6,27,25
,,Saúde e acção social,34,5,15,14
,,Outras,200,25,64,111
,Actividade exterior - secundária,,64,25,15,24
,,"Agric, prod. animal, caça e activ. seviços relacionados",34,18,6,10
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",6,1,3,2
,,"Pesca, aquacultura e activ. seviços relacionados",- ,- ,- ,- 
,,Ind. alimentares das bebidas e do tabaco,- ,- ,- ,- 
,,Outras indústrias,1,- ,- ,1
,,"Prod. e distribuição de  electricidade, gás e água",1,- ,- ,1
,,Construção,4,1,1,2
,,Comércio por grosso e retalho,7,2,2,3
,,Alojamento e restauração,- ,- ,- ,- 
,,Administração pública,1,1,- ,- 
,,Educação,- ,- ,- ,- 
,,Saúde e acção social,- ,- ,- ,- 
,,Outras,10,2,3,5
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,
