Actividade renumerada exterior à exploração da População Agrícola Familiar (Cova da Beira),,,,,,
,,,,,,1999
,,,,,,pág. 5/5
,,,Cova da Beira,Belmonte,Covilhã,Fundão
,,,nº de indivíduos,,,
População agrícola familiar,,,"22,222","2,574","7,519","12,129"
,Actividade exterior - principal,,"5,784",668,"2,092","3,024"
,,"Agric, prod. animal, caça e activ. seviços relacionados",470,30,157,283
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",47,1,20,26
,,"Pesca, aquacultura e activ. seviços relacionados",6,- ,- ,6
,,Ind. alimentares das bebidas e do tabaco,126,9,49,68
,,Outras indústrias,"1,270",182,626,462
,,"Prod. e distribuição de  electricidade, gás e água",45,3,15,27
,,Construção,900,87,318,495
,,Comércio por grosso e retalho,726,81,216,429
,,Alojamento e restauração,50,5,15,30
,,Administração pública,443,38,197,208
,,Educação,286,54,104,128
,,Saúde e acção social,148,11,57,80
,,Outras,"1,267",167,318,782
,Actividade exterior - secundária,,306,13,87,206
,,"Agric, prod. animal, caça e activ. seviços relacionados",30,6,19,5
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",2,- ,- ,2
,,"Pesca, aquacultura e activ. seviços relacionados",- ,- ,- ,- 
,,Ind. alimentares das bebidas e do tabaco,2,- ,1,1
,,Outras indústrias,45,1,22,22
,,"Prod. e distribuição de  electricidade, gás e água",6,- ,1,5
,,Construção,57,2,10,45
,,Comércio por grosso e retalho,29,1,7,21
,,Alojamento e restauração,8,- ,1,7
,,Administração pública,19,- ,- ,19
,,Educação,15,- ,1,14
,,Saúde e acção social,15,2,5,8
,,Outras,78,1,20,57
Produtor Singular,,,"8,579",986,"2,818","4,775"
,Actividade exterior - principal,,"2,259",218,813,"1,228"
,,"Agric, prod. animal, caça e activ. seviços relacionados",268,16,99,153
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",20,- ,6,14
,,"Pesca, aquacultura e activ. seviços relacionados",4,- ,- ,4
,,Ind. alimentares das bebidas e do tabaco,44,3,14,27
,,Outras indústrias,392,31,205,156
,,"Prod. e distribuição de  electricidade, gás e água",11,- ,4,7
,,Construção,417,40,150,227
,,Comércio por grosso e retalho,332,40,102,190
,,Alojamento e restauração,11,1,3,7
,,Administração pública,180,16,82,82
,,Educação,56,6,18,32
,,Saúde e acção social,32,- ,13,19
,,Outras,492,65,117,310
,Actividade exterior - secundária,,131,12,38,81
,,"Agric, prod. animal, caça e activ. seviços relacionados",23,6,12,5
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",- ,- ,- ,- 
,,"Pesca, aquacultura e activ. seviços relacionados",- ,- ,- ,- 
,,Ind. alimentares das bebidas e do tabaco,2,- ,1,1
,,Outras indústrias,18,1,7,10
,,"Prod. e distribuição de  electricidade, gás e água",2,- ,1,1
,,Construção,26,2,3,21
,,Comércio por grosso e retalho,11,1,4,6
,,Alojamento e restauração,3,- ,1,2
,,Administração pública,2,- ,- ,2
,,Educação,5,- ,- ,5
,,Saúde e acção social,5,1,2,2
,,Outras,34,1,7,26
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,
