Origem do rendimento do agregado doméstico do produtor singular,,,,,,,,,,,,,,,
,,,MADEIRA,Ilha da Madeira,Calheta,Câmara de Lobos,Funchal,Machico,Ponta do Sol,Porto Moniz,Ribeira Brava,Santa Cruz,Santana,São Vivente,Ilha de Porto Santo (P.Santo)
,,,expl: nº,,,,,,,,,,,,
Total explorações com produtor singular,,,  14 284 ,  14 150 ,  1 831 ,  1 736 ,  1 234 ,  1 320 ,  1 251 ,   581 ,  1 690 ,  1 085 ,  2 017 ,  1 405 ,   134 
Exclusivamente da actividade da exploração,,,   850 ,   848 ,   221 ,   121 ,   26 ,   52 ,   81 ,   27 ,   22 ,   62 ,   177 ,   59 ,   2 
Principalmente da actividade da exploração,,,  3 739 ,  3 726 ,   702 ,   794 ,   102 ,   289 ,   535 ,   285 ,   222 ,   325 ,   315 ,   157 ,   13 
,Salários do sector primário,,   426 ,   424 ,   42 ,   109 ,   28 ,   36 ,   39 ,   3 ,   41 ,   48 ,   41 ,   37 ,   2 
,,1ª opção,   317 ,   315 ,   35 ,   71 ,   23 ,   32 ,   33 ,   2 ,   30 ,   26 ,   37 ,   26 ,   2 
,,2ª opção,   98 ,   98 ,   7 ,   30 ,   5 ,   3 ,   6 ,   1 ,   11 ,   20 ,   4 ,   11 ,- 
,,3ª opção,   11 ,   11 ,- ,   8 ,- ,   1 ,- ,- ,- ,   2 ,- ,- ,- 
,Salários do sector secúndário,,   814 ,   812 ,   127 ,   243 ,   13 ,   36 ,   115 ,   37 ,   125 ,   67 ,   36 ,   13 ,   2 
,,1ª opção,   552 ,   550 ,   110 ,   143 ,   5 ,   27 ,   86 ,   30 ,   70 ,   41 ,   31 ,   7 ,   2 
,,2ª opção,   238 ,   238 ,   17 ,   88 ,   7 ,   9 ,   27 ,   7 ,   47 ,   25 ,   5 ,   6 ,- 
,,3ª opção,   24 ,   24 ,- ,   12 ,   1 ,- ,   2 ,- ,   8 ,   1 ,- ,- ,- 
,Salários do sector terciário,,   917 ,   908 ,   140 ,   248 ,   36 ,   61 ,   93 ,   56 ,   42 ,   156 ,   53 ,   23 ,   9 
,,1ª opção,   586 ,   581 ,   115 ,   134 ,   19 ,   37 ,   66 ,   44 ,   25 ,   78 ,   44 ,   19 ,   5 
,,2ª opção,   280 ,   276 ,   24 ,   93 ,   15 ,   20 ,   22 ,   10 ,   14 ,   67 ,   8 ,   3 ,   4 
,,3ª opção,   51 ,   51 ,   1 ,   21 ,   2 ,   4 ,   5 ,   2 ,   3 ,   11 ,   1 ,   1 ,- 
,Actividade empresarial,,   22 ,   22 ,   1 ,   17 ,- ,   2 ,- ,   1 ,- ,   1 ,- ,- ,- 
,,1ª opção,   8 ,   8 ,- ,   6 ,- ,   1 ,- ,   1 ,- ,- ,- ,- ,- 
,,2ª opção,   12 ,   12 ,   1 ,   9 ,- ,   1 ,- ,- ,- ,   1 ,- ,- ,- 
,,3ª opção,   2 ,   2 ,- ,   2 ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Pensões rurais/reformas,,  2 224 ,  2 219 ,   403 ,   507 ,   55 ,   197 ,   333 ,   161 ,   121 ,   156 ,   194 ,   92 ,   5 
,,1ª opção,  1 904 ,  1 900 ,   343 ,   406 ,   46 ,   163 ,   312 ,   145 ,   94 ,   123 ,   178 ,   90 ,   4 
,,2ª opção,   285 ,   284 ,   53 ,   86 ,   5 ,   33 ,   19 ,   16 ,   23 ,   32 ,   15 ,   2 ,   1 
,,3ª opção,   35 ,   35 ,   7 ,   15 ,   4 ,   1 ,   2 ,- ,   4 ,   1 ,   1 ,- ,- 
