Actividade renumerada exterior à exploração da população agrícola familiar (Página 6),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 6/6
,,,Penafiel,Resende,Ribeira de Pena,Entre Douro e Vouga,Arouca,Oliveira de Azeméis,Santa Maria da Feira,São João da Madeira,Vale de Cambra
,,,nº de indivíduos,,,,,,,,
População agrícola familiar,,,"7,262","4,171","2,756","18,386","6,203","3,888","3,611",- ,"4,684"
,Actividade exterior - principal,,"2,638",873,371,"5,579","1,771","1,270","1,278",- ,"1,260"
,,"Agric, prod. animal, caça e activ. seviços relacionados",120,165,36,133,67,35,21,- ,10
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",23,1,18,188,154,7,13,- ,14
,,"Pesca, aquacultura e activ. seviços relacionados",2,- ,1,8,5,- ,1,- ,2
,,Ind. alimentares das bebidas e do tabaco,30,2,7,122,40,66,3,- ,13
,,Outras indústrias,674,20,23,"2,490",608,708,551,- ,623
,,"Prod. e distribuição de  electricidade, gás e água",46,11,4,32,6,12,12,- ,2
,,Construção,710,218,112,908,355,112,239,- ,202
,,Comércio por grosso e retalho,241,101,37,404,82,112,114,- ,96
,,Alojamento e restauração,100,21,7,81,28,10,16,- ,27
,,Administração pública,119,49,44,155,79,20,15,- ,41
,,Educação,72,62,22,163,54,29,47,- ,33
,,Saúde e acção social,58,25,14,100,27,20,17,- ,36
,,Outras,443,198,46,795,266,139,229,- ,161
,Actividade exterior - secundária,,43,189,54,69,36,5,16,- ,12
,,"Agric, prod. animal, caça e activ. seviços relacionados",19,147,31,24,9,1,9,- ,5
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",- ,- ,1,2,1,- ,1,- ,- 
,,"Pesca, aquacultura e activ. seviços relacionados",1,2,- ,- ,- ,- ,- ,- ,- 
,,Ind. alimentares das bebidas e do tabaco,- ,- ,- ,1,- ,- ,1,- ,- 
,,Outras indústrias,7,5,- ,8,5,- ,1,- ,2
,,"Prod. e distribuição de  electricidade, gás e água",- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Construção,7,19,11,19,17,- ,1,- ,1
,,Comércio por grosso e retalho,1,5,5,4,- ,- ,3,- ,1
,,Alojamento e restauração,2,- ,- ,- ,- ,- ,- ,- ,- 
,,Administração pública,1,2,2,- ,- ,- ,- ,- ,- 
,,Educação,- ,1,- ,- ,- ,- ,- ,- ,- 
,,Saúde e acção social,- ,1,1,- ,- ,- ,- ,- ,- 
,,Outras,5,7,3,11,4,4,- ,- ,3
Produtor Singular,,,"1,864","1,230",879,"5,047","1,678","1,056",976,- ,"1,337"
,Actividade exterior - principal,,508,235,118,944,264,222,157,- ,301
,,"Agric, prod. animal, caça e activ. seviços relacionados",70,65,10,55,25,14,10,- ,6
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",7,1,5,41,34,2,2,- ,3
,,"Pesca, aquacultura e activ. seviços relacionados",1,- ,- ,2,1,- ,- ,- ,1
,,Ind. alimentares das bebidas e do tabaco,7,- ,2,29,5,17,1,- ,6
,,Outras indústrias,78,4,3,346,65,90,54,- ,137
,,"Prod. e distribuição de  electricidade, gás e água",2,1,2,3,- ,2,1,- ,- 
,,Construção,90,38,43,130,47,21,16,- ,46
,,Comércio por grosso e retalho,61,30,13,100,16,29,24,- ,31
,,Alojamento e restauração,16,3,2,17,5,3,4,- ,5
,,Administração pública,37,15,21,39,16,6,5,- ,12
,,Educação,22,12,2,28,9,6,6,- ,7
,,Saúde e acção social,14,6,2,15,3,4,2,- ,6
,,Outras,103,60,13,139,38,28,32,- ,41
,Actividade exterior - secundária,,31,109,35,38,15,4,12,- ,7
,,"Agric, prod. animal, caça e activ. seviços relacionados",14,88,24,13,4,1,5,- ,3
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",- ,- ,- ,1,- ,- ,1,- ,- 
,,"Pesca, aquacultura e activ. seviços relacionados",- ,1,- ,- ,- ,- ,- ,- ,- 
,,Ind. alimentares das bebidas e do tabaco,- ,- ,- ,1,- ,- ,1,- ,- 
,,Outras indústrias,6,3,- ,1,- ,- ,1,- ,- 
,,"Prod. e distribuição de  electricidade, gás e água",- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Construção,6,10,5,10,9,- ,1,- ,- 
,,Comércio por grosso e retalho,1,2,2,4,- ,- ,3,- ,1
,,Alojamento e restauração,2,- ,- ,- ,- ,- ,- ,- ,- 
,,Administração pública,1,- ,2,- ,- ,- ,- ,- ,- 
,,Educação,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Saúde e acção social,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras,1,5,2,8,2,3,- ,- ,3
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,
