Principais características do produtor singular - Homem (Página 6),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 17/18
,,,Penafiel,Resende,Ribeira de Pena,Entre Douro e Vouga,Arouca,Oliveira de Azeméis,Santa Maria da Feira,São João da Madeira,Vale de Cambra
,,,nº de indivíduos,,,,,,,,
Homem,,,,,,,,,,,
Produtor singular,,,"1,242",862,641,"3,098",933,677,550,- ,938
,Autónomo,,"1,165",831,628,"3,051",917,655,545,- ,934
,Empresário,,77,31,13,47,16,22,5,- ,4
Nível de instrução,,,,,,,,,,,
,Não sabe ler nem escrever,,242,208,152,334,137,67,62,- ,68
,Sabe ler e escrever,,206,187,130,529,156,111,92,- ,170
,Básico - 1º ciclo,,617,369,290,"1,957",564,424,338,- ,631
,Básico - 2º ciclo,,68,43,35,157,48,43,33,- ,33
,Básico - 3º ciclo,,22,15,23,49,11,14,9,- ,15
,Secundário agrícola,,3,- ,2,2,1,1,- ,- ,- 
,Secundário não agrícola,,31,11,4,24,6,7,6,- ,5
,Politécnico / Superior agrícola,,5,2,- ,5,1,2,1,- ,1
,Politécnico / Superior não agrícola,,48,27,5,41,9,8,9,- ,15
Formação profissional agrícola,,,,,,,,,,,
,Exclusivamente prática,,"1,150",821,590,"2,921",876,614,521,- ,910
,Curta duração,,53,30,18,91,29,31,13,- ,18
,Longa duração,,17,3,14,47,18,12,9,- ,8
,Longa e curta duração,,14,6,17,32,8,17,6,- ,1
,Completa,,8,2,2,7,2,3,1,- ,1
Tempo de actividade agrícola ,,,,,,,,,,,
,Tempo parcial,,733,657,347,"1,586",386,377,435,- ,388
,,> 0 - < 25%,250,124,87,466,112,124,137,- ,93
,,25 - < 50%,196,152,97,494,127,111,67,- ,189
,,50 - < 75%,122,170,58,198,56,44,47,- ,51
,,75 - < 100%,165,211,105,428,91,98,184,- ,55
,Tempo completo,,509,205,294,"1,512",547,300,115,- ,550
Actividades remuneradas exterior à exploração,,,,,,,,,,,
,Principal,,445,212,103,816,220,187,133,- ,276
,,Sector primário,66,60,13,93,58,14,11,- ,10
,,Sector secundário,165,43,49,466,103,118,65,- ,180
,,Sector terciário,214,109,41,257,59,55,57,- ,86
,Secúndária,,27,98,32,21,12,2,2,- ,5
,,Sector primário,13,82,21,6,2,1,1,- ,2
,,Sector secundário,10,10,5,10,9,- ,1,- ,- 
,,Sector terciário,4,6,6,5,1,1,- ,- ,3
Situação na profissão exterior à exploração,,,,,,,,,,,
,Patrão/empregador,,81,35,15,124,29,27,38,- ,30
,Trabalhador por conta própria,,61,46,26,148,39,44,24,- ,41
,Trabalhador por conta de outrem,,327,228,79,560,163,115,72,- ,210
,Trabalhador familiar remunerado,,- ,1,- ,1,- ,- ,1,- ,- 
,Outra situação,,3,- ,15,4,1,3,- ,- ,- 
Produtor singular dirigente,,,"1,217",861,628,"3,008",921,660,547,- ,880
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte."
