Principais características da população familiar - Mulher (Página 6),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 18/18
,,,Penafiel,Resende,Ribeira de Pena,Entre Douro e Vouga,Arouca,Oliveira de Azeméis,Santa Maria da Feira,São João da Madeira,Vale de Cambra
,,,nº de indivíduos,,,,,,,,
Mulher,,,,,,,,,,,
População familiar,,,"3,624","2,067","1,343","9,321","3,124","1,954","1,895",- ,"2,348"
Nível de instrução,,,,,,,,,,,
,Não sabe ler nem escrever,,693,465,316,"1,805",647,349,295,- ,514
,Sabe ler e escrever,,728,407,268,"1,673",438,454,364,- ,417
,Básico - 1º ciclo,,"1,075",623,416,"3,150","1,146",596,650,- ,758
,Básico - 2º ciclo,,624,251,148,"1,534",534,315,328,- ,357
,Básico - 3º ciclo,,184,133,111,460,142,100,102,- ,116
,Secundário agrícola,,11,9,5,28,19,2,5,- ,2
,Secundário não agrícola,,186,103,47,423,133,94,91,- ,105
,Politécnico / Superior agrícola,,9,4,2,6,2,- ,3,- ,1
,Politécnico / Superior não agrícola,,114,72,30,242,63,44,57,- ,78
Formação profissional agrícola,,,,,,,,,,,
,Exclusivamente prática,,"2,852","1,706","1,137","8,033","2,693","1,658","1,656",- ,"2,026"
,Curta duração,,49,21,9,97,19,34,9,- ,35
,Longa duração,,13,15,4,38,8,8,11,- ,11
,Longa e curta duração,,16,5,4,23,3,8,8,- ,4
,Completa,,20,13,7,34,21,2,8,- ,3
Tempo de actividade agrícola ,,,,,,,,,,,
,Sem actividade,,631,264,190,"1,009",229,245,211,- ,324
,Tempo parcial,,"2,232","1,474",917,"5,474","1,559","1,259","1,463",- ,"1,193"
,> 0 - < 25%,,"1,211",598,376,"2,823",892,643,754,- ,534
,25 - < 50%,,360,233,233,770,244,176,182,- ,168
,50 - < 75%,,263,367,170,400,121,68,130,- ,81
,75 - < 100%,,398,276,138,"1,481",302,372,397,- ,410
,Tempo completo,,761,329,236,"2,838","1,336",450,221,- ,831
Actividades remuneradas exterior à exploração,,,,,,,,,,,
,Principal,,868,206,96,"1,671",465,399,469,- ,338
,,Sector primário,35,17,5,36,15,9,8,- ,4
,,Sector secundário,404,6,14,875,232,230,259,- ,154
,,Sector terciário,429,183,77,760,218,160,202,- ,180
,Secundária,,7,43,7,32,10,3,13,- ,6
,,Sector primário,2,36,5,14,3,- ,8,- ,3
,,Sector secundário,3,3,- ,8,4,- ,2,- ,2
,,Sector terciário,2,4,2,10,3,3,3,- ,1
Situação na profissão exterior à exploração,,,,,,,,,,,
,Patrão/empregador,,48,6,3,54,9,16,15,- ,14
,Trabalhador por conta própria,,41,23,18,130,34,33,40,- ,23
,Trabalhador por conta de outrem,,770,207,72,"1,489",428,339,419,- ,303
,Trabalhador familiar remunerado,,9,13,- ,22,1,10,7,- ,4
,Outra situação,,7,- ,10,8,3,4,1,- ,- 
Dirigente na população familiar,,,567,305,201,"2,011",751,386,427,- ,447
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,
