Principais características da população familiar - Homem (Página 6),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 17/18
,,,Penafiel,Resende,Ribeira de Pena,Entre Douro e Vouga,Arouca,Oliveira de Azeméis,Santa Maria da Feira,São João da Madeira,Vale de Cambra
,,,nº de indivíduos,,,,,,,,
Homem,,,,,,,,,,,
População familiar,,,"3,638","2,104","1,413","9,065","3,079","1,934","1,716",- ,"2,336"
Nível de instrução,,,,,,,,,,,
,Não sabe ler nem escrever,,610,403,306,997,389,202,180,- ,226
,Sabe ler e escrever,,504,343,233,"1,095",375,236,187,- ,297
,Básico - 1º ciclo,,"1,282",748,508,"3,852","1,280",831,754,- ,987
,Básico - 2º ciclo,,718,307,205,"1,829",675,379,367,- ,408
,Básico - 3º ciclo,,249,132,113,703,205,164,104,- ,230
,Secundário agrícola,,16,3,9,13,7,2,1,- ,3
,Secundário não agrícola,,154,101,25,401,107,88,78,- ,128
,Politécnico / Superior agrícola,,8,4,2,10,1,2,4,- ,3
,Politécnico / Superior não agrícola,,97,63,12,165,40,30,41,- ,54
Formação profissional agrícola,,,,,,,,,,,
,Exclusivamente prática,,"2,909","1,701","1,132","7,806","2,661","1,611","1,495",- ,"2,039"
,Curta duração,,72,49,37,136,45,46,18,- ,27
,Longa duração,,27,6,22,63,24,17,13,- ,9
,Longa e curta duração,,18,9,26,48,11,25,11,- ,1
,Completa,,24,7,11,23,8,4,5,- ,6
Tempo de actividade agrícola ,,,,,,,,,,,
,Sem actividade,,528,258,169,826,207,205,148,- ,266
,Tempo parcial,,"2,476","1,591",790,"6,239","2,076","1,348","1,428",- ,"1,387"
,> 0 - < 25%,,"1,534",729,312,"3,899","1,312",886,963,- ,738
,25 - < 50%,,531,327,207,"1,328",449,268,145,- ,466
,50 - < 75%,,203,246,115,366,144,64,73,- ,85
,75 - < 100%,,208,289,156,646,171,130,247,- ,98
,Tempo completo,,634,255,454,"2,000",796,381,140,- ,683
Actividades remuneradas exterior à exploração,,,,,,,,,,,
,Principal,,"1,770",667,275,"3,908","1,306",871,809,- ,922
,,Sector primário,110,149,50,293,211,33,27,- ,22
,,Sector secundário,"1,056",245,132,"2,677",777,668,546,- ,686
,,Sector terciário,604,273,93,938,318,170,236,- ,214
,Secundária,,36,146,47,37,26,2,3,- ,6
,,Sector primário,18,113,27,12,7,1,2,- ,2
,,Sector secundário,11,21,11,20,18,- ,1,- ,1
,,Sector terciário,7,12,9,5,1,1,- ,- ,3
Situação na profissão exterior à exploração,,,,,,,,,,,
,Patrão/empregador,,131,59,23,307,99,75,70,- ,63
,Trabalhador por conta própria,,94,70,57,393,130,101,76,- ,86
,Trabalhador por conta de outrem,,"1,559",662,223,"3,181","1,087",667,654,- ,773
,Trabalhador familiar remunerado,,13,22,- ,37,5,17,10,- ,5
,Outra situação,,9,- ,19,27,11,13,2,- ,1
Dirigente na população familiar,,,"1,288",924,678,"3,034",926,669,549,- ,890
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,
