Mão-de-obra agrícola não familiar permanente segundo o tempo de actividade (Lezíria do Tejo),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,Pág.5/5
,LISBOA E VALE DO TEJO,Lezíria do Tejo,Almeirim,Alpiarça,Azambuja,Benavente,Cartaxo,Chamusca,Coruche,Golegã,Rio Maior,Salvaterra de Magos,Santarém
,nº de indivíduos,,,,,,,,,,,,
Tempo de actividade agrícola dos trabalhadores permanentes,"13,421","4,339",178,189,356,700,389,230,789,141,208,313,846
Tempo parcial,"4,429","1,068",24,42,86,141,73,29,349,27,76,53,168
> 0 - < 25%,"1,072",195,2,9,21,27,10,6,46,2,20,23,29
25 - < 50%,989,193,6,5,15,14,19,7,73,4,13,6,31
50 - < 75%,"1,027",242,9,16,18,21,5,10,116,2,13,7,25
75 - < 100%,"1,341",438,7,12,32,79,39,6,114,19,30,17,83
Tempo completo,"8,992","3,271",154,147,270,559,316,201,440,114,132,260,678
Homem,"8,599","3,002",118,147,272,437,259,179,560,106,158,227,539
Tempo parcial,"2,832",748,15,32,67,100,54,25,215,16,61,45,118
> 0 - < 25%,716,141,1,9,15,18,5,6,32,2,16,18,19
25 - < 50%,634,133,3,5,14,11,15,6,40,4,9,6,20
50 - < 75%,597,141,8,9,13,14,5,7,48,2,12,5,18
75 - < 100%,885,333,3,9,25,57,29,6,95,8,24,16,61
Tempo completo,"5,767","2,254",103,115,205,337,205,154,345,90,97,182,421
Mulher,"4,822","1,337",60,42,84,263,130,51,229,35,50,86,307
Tempo parcial,"1,597",320,9,10,19,41,19,4,134,11,15,8,50
> 0 - < 25%,356,54,1,- ,6,9,5,- ,14,- ,4,5,10
25 - < 50%,355,60,3,- ,1,3,4,1,33,- ,4,- ,11
50 - < 75%,430,101,1,7,5,7,- ,3,68,- ,1,2,7
75 - < 100%,456,105,4,3,7,22,10,- ,19,11,6,1,22
Tempo completo,"3,225","1,017",51,32,65,222,111,47,95,24,35,78,257
Tempo de actividade agrícola dos dirigentes assalariados,"1,752",630,25,35,66,67,75,37,117,22,33,60,93
Tempo parcial,"1,223",452,14,17,51,49,54,17,99,9,29,46,67
> 0 - < 25%,369,110,2,3,19,8,10,3,19,1,5,22,18
25 - < 50%,263,104,3,3,12,4,18,4,28,3,9,3,17
50 - < 75%,200,78,6,4,4,9,4,6,22,1,7,4,11
75 - < 100%,391,160,3,7,16,28,22,4,30,4,8,17,21
Tempo completo,529,178,11,18,15,18,21,20,18,13,4,14,26
Homem,"1,556",565,23,33,55,65,63,34,110,21,33,52,76
Tempo parcial,"1,063",400,12,15,42,47,44,15,94,9,29,40,53
> 0 - < 25%,298,86,1,3,14,6,5,3,18,1,5,18,12
25 - < 50%,230,95,3,3,11,4,14,4,27,3,9,3,14
50 - < 75%,177,72,6,4,3,9,4,4,20,1,7,3,11
75 - < 100%,358,147,2,5,14,28,21,4,29,4,8,16,16
Tempo completo,493,165,11,18,13,18,19,19,16,12,4,12,23
Mulher,196,65,2,2,11,2,12,3,7,1,- ,8,17
Tempo parcial,160,52,2,2,9,2,10,2,5,- ,- ,6,14
> 0 - < 25%,71,24,1,- ,5,2,5,- ,1,- ,- ,4,6
25 - < 50%,33,9,- ,- ,1,- ,4,- ,1,- ,- ,- ,3
50 - < 75%,23,6,- ,- ,1,- ,- ,2,2,- ,- ,1,- 
75 - < 100%,33,13,1,2,2,- ,1,- ,1,- ,- ,1,5
Tempo completo,36,13,- ,- ,2,- ,2,1,2,1,- ,2,3
Tempo de actividade agrícola dos outros trabalhadores permanentes,"11,669","3,709",153,154,290,633,314,193,672,119,175,253,753
Tempo parcial,"3,206",616,10,25,35,92,19,12,250,18,47,7,101
> 0 - < 25%,703,85,- ,6,2,19,- ,3,27,1,15,1,11
25 - < 50%,726,89,3,2,3,10,1,3,45,1,4,3,14
50 - < 75%,827,164,3,12,14,12,1,4,94,1,6,3,14
75 - < 100%,950,278,4,5,16,51,17,2,84,15,22,- ,62
Tempo completo,"8,463","3,093",143,129,255,541,295,181,422,101,128,246,652
Homem,"7,043","2,437",95,114,217,372,196,145,450,85,125,175,463
Tempo parcial,"1,769",348,3,17,25,53,10,10,121,7,32,5,65
> 0 - < 25%,418,55,- ,6,1,12,- ,3,14,1,11,- ,7
25 - < 50%,404,38,- ,2,3,7,1,2,13,1,- ,3,6
50 - < 75%,420,69,2,5,10,5,1,3,28,1,5,2,7
75 - < 100%,527,186,1,4,11,29,8,2,66,4,16,- ,45
Tempo completo,"5,274","2,089",92,97,192,319,186,135,329,78,93,170,398
Mulher,"4,626","1,272",58,40,73,261,118,48,222,34,50,78,290
Tempo parcial,"1,437",268,7,8,10,39,9,2,129,11,15,2,36
> 0 - < 25%,285,30,- ,- ,1,7,- ,- ,13,- ,4,1,4
25 - < 50%,322,51,3,- ,- ,3,- ,1,32,- ,4,- ,8
50 - < 75%,407,95,1,7,4,7,- ,1,66,- ,1,1,7
75 - < 100%,423,92,3,1,5,22,9,- ,18,11,6,- ,17
Tempo completo,"3,189","1,004",51,32,63,222,109,46,93,23,35,76,254
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,,
