Principais características do produtor singular - Homem/Mulher (Oeste),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,,,Pág.1/15
,,,LISBOA E VALE DO TEJO,Oeste,Alcobaça,Alenquer,Arruda dos Vinhos,Bombarral,Cadaval,Caldas da Rainha,Lourinhã,Mafra,Nazaré,Óbidos,Peniche,Sobral de Monte Agraço,Torres Vedras
,,,nº de indivíduos,,,,,,,,,,,,,,
Homem / Mulher,,,,,,,,,,,,,,,,,
Produtor singular,,,  59 944 ,  22 855 ,  3 097 ,  2 637 ,   785 ,  1 107 ,  1 655 ,  2 246 ,  1 962 ,  2 591 ,   305 ,  1 007 ,   790 ,   678 ,  3 995 
,Autónomo,,  56 575 ,  21 929 ,  3 006 ,  2 559 ,   766 ,  1 024 ,  1 587 ,  2 145 ,  1 906 ,  2 487 ,   289 ,   971 ,   755 ,   647 ,  3 787 
,Empresário,,  3 369 ,   926 ,   91 ,   78 ,   19 ,   83 ,   68 ,   101 ,   56 ,   104 ,   16 ,   36 ,   35 ,   31 ,   208 
Nível de instrução,,,,,,,,,,,,,,,,,
,Não sabe ler nem escrever,,  8 773 ,  3 949 ,   402 ,   588 ,   143 ,   187 ,   242 ,   384 ,   350 ,   446 ,   24 ,   169 ,   140 ,   152 ,   722 
,Sabe ler e escrever,,  8 935 ,  3 194 ,   401 ,   334 ,   90 ,   142 ,   188 ,   328 ,   322 ,   430 ,   28 ,   122 ,   115 ,   103 ,   591 
,Básico - 1º ciclo,,  32 260 ,  12 431 ,  1 913 ,  1 352 ,   442 ,   565 ,   933 ,  1 246 ,  1 008 ,  1 380 ,   194 ,   578 ,   437 ,   342 ,  2 041 
,Básico - 2º ciclo,,  4 169 ,  1 647 ,   192 ,   145 ,   57 ,   106 ,   144 ,   147 ,   168 ,   157 ,   28 ,   82 ,   67 ,   34 ,   320 
,Básico - 3º ciclo,,  2 621 ,   833 ,   104 ,   92 ,   17 ,   55 ,   82 ,   82 ,   66 ,   86 ,   15 ,   33 ,   25 ,   15 ,   161 
,Secundário agrícola,,   192 ,   59 ,   7 ,   7 ,   2 ,   6 ,   6 ,   6 ,   7 ,   8 ,   2 ,- ,- ,- ,   8 
,Secundário não agrícola,,  1 516 ,   401 ,   44 ,   61 ,   17 ,   21 ,   34 ,   30 ,   29 ,   40 ,   6 ,   15 ,   4 ,   16 ,   84 
,Politécnico / Superior agrícola,,   386 ,   103 ,   14 ,   12 ,   4 ,   6 ,   9 ,   14 ,   3 ,   9 ,   3 ,   3 ,   1 ,   6 ,   19 
,Politécnico / Superior não agrícola,,  1 092 ,   238 ,   20 ,   46 ,   13 ,   19 ,   17 ,   9 ,   9 ,   35 ,   5 ,   5 ,   1 ,   10 ,   49 
Formação profissional agrícola,,,,,,,,,,,,,,,,,
,Exclusivamente prática,,  55 260 ,  20 448 ,  2 772 ,  2 467 ,   759 ,   839 ,  1 354 ,  1 921 ,  1 767 ,  2 441 ,   270 ,   879 ,   712 ,   648 ,  3 619 
,Curta duração,,  1 649 ,   989 ,   187 ,   102 ,   10 ,   136 ,   190 ,   160 ,   27 ,   47 ,   5 ,   32 ,   14 ,   4 ,   75 
,Longa duração,,  1 524 ,   821 ,   70 ,   30 ,   7 ,   68 ,   41 ,   109 ,   101 ,   57 ,   16 ,   52 ,   32 ,   13 ,   225 
,Longa e curta duração,,   933 ,   435 ,   47 ,   19 ,   3 ,   52 ,   55 ,   36 ,   57 ,   29 ,   9 ,   41 ,   31 ,   7 ,   49 
,Completa,,   578 ,   162 ,   21 ,   19 ,   6 ,   12 ,   15 ,   20 ,   10 ,   17 ,   5 ,   3 ,   1 ,   6 ,   27 
Tempo de actividade agrícola ,,,,,,,,,,,,,,,,,
,Tempo parcial,,  50 349 ,  17 672 ,  2 467 ,  2 519 ,   721 ,   789 ,  1 496 ,  1 583 ,  1 381 ,  1 850 ,   144 ,   699 ,   432 ,   495 ,  3 096 
,,> 0 - < 25%,  19 777 ,  6 207 ,   568 ,  1 284 ,   208 ,   191 ,   588 ,   430 ,   454 ,   692 ,   58 ,   106 ,   49 ,   257 ,  1 322 
,,25 - < 50%,  13 882 ,  5 201 ,  1 013 ,   585 ,   218 ,   268 ,   483 ,   466 ,   347 ,   527 ,   46 ,   264 ,   155 ,   111 ,   718 
,,50 - < 75%,  7 414 ,  2 899 ,   467 ,   258 ,   110 ,   153 ,   231 ,   323 ,   218 ,   293 ,   18 ,   135 ,   90 ,   74 ,   529 
,,75 - < 100%,  9 276 ,  3 365 ,   419 ,   392 ,   185 ,   177 ,   194 ,   364 ,   362 ,   338 ,   22 ,   194 ,   138 ,   53 ,   527 
,Tempo completo,,  9 595 ,  5 183 ,   630 ,   118 ,   64 ,   318 ,   159 ,   663 ,   581 ,   741 ,   161 ,   308 ,   358 ,   183 ,   899 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,,,,,,
,Principal,,  21 183 ,  8 255 ,  1 167 ,  1 211 ,   327 ,   326 ,   619 ,   727 ,   576 ,   934 ,   72 ,   264 ,   168 ,   280 ,  1 584 
,,Sector primário,  3 299 ,  1 419 ,   146 ,   192 ,   44 ,   93 ,   128 ,   86 ,   153 ,   116 ,   9 ,   51 ,   34 ,   60 ,   307 
,,Sector secundário,  8 368 ,  3 276 ,   578 ,   543 ,   121 ,   93 ,   192 ,   342 ,   226 ,   313 ,   28 ,   76 ,   53 ,   102 ,   609 
,,Sector terciário,  9 516 ,  3 560 ,   443 ,   476 ,   162 ,   140 ,   299 ,   299 ,   197 ,   505 ,   35 ,   137 ,   81 ,   118 ,   668 
,Secúndária,,  1 387 ,   903 ,   143 ,   88 ,   1 ,   105 ,   94 ,   108 ,   83 ,   20 ,   4 ,   91 ,   42 ,- ,   124 
,,Sector primário,   781 ,   525 ,   72 ,   61 ,   1 ,   68 ,   64 ,   62 ,   62 ,   5 ,   1 ,   61 ,   13 ,- ,   55 
,,Sector secundário,   228 ,   129 ,   22 ,   11 ,- ,   13 ,   13 ,   20 ,   10 ,   3 ,   1 ,   10 ,   7 ,- ,   19 
,,Sector terciário,   378 ,   249 ,   49 ,   16 ,- ,   24 ,   17 ,   26 ,   11 ,   12 ,   2 ,   20 ,   22 ,- ,   50 
Situação na profissão exterior à exploração,,,,,,,,,,,,,,,,,
,Patrão/empregador,,  3 308 ,  1 197 ,   193 ,   154 ,   54 ,   41 ,   74 ,   91 ,   76 ,   156 ,   13 ,   30 ,   24 ,   53 ,   238 
,Trabalhador por conta própria,,  4 638 ,  1 823 ,   268 ,   186 ,   83 ,   75 ,   119 ,   166 ,   121 ,   253 ,   4 ,   78 ,   48 ,   65 ,   357 
,Trabalhador por conta de outrem,,  14 341 ,  6 051 ,   843 ,   949 ,   190 ,   311 ,   517 ,   572 ,   455 ,   536 ,   58 ,   245 ,   138 ,   149 ,  1 088 
,Trabalhador familiar remunerado,,   50 ,   29 ,   1 ,   6 ,- ,- ,   2 ,   5 ,   2 ,   1 ,- ,- ,- ,   5 ,   7 
,Outra situação,,   233 ,   58 ,   5 ,   4 ,   1 ,   4 ,   1 ,   1 ,   5 ,   8 ,   1 ,   2 ,- ,   8 ,   18 
Produtor singular dirigente,,,  59 154 ,  22 464 ,  3 056 ,  2 566 ,   776 ,  1 094 ,  1 632 ,  2 191 ,  1 936 ,  2 575 ,   299 ,   991 ,   781 ,   671 ,  3 896 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo."
