Actividade renumerada exterior à exploração da população agrícola familiar (Península de Setúbal),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,Pág.3/5
,,,LISBOA E VALE DO TEJO,Península de Setúbal,Alcochete,Almada,Barreiro,Moita,Montijo,Palmela,Seixal,Sesimbra,Setúbal
,,,nº de indivíduos,,,,,,,,,,
População agrícola familiar,,,  170 116 ,  15 825 ,   829 ,   389 ,   281 ,   997 ,  3 254 ,  7 536 ,   309 ,   919 ,  1 311 
,Actividade exterior - principal,,  56 025 ,  4 963 ,   243 ,   44 ,   83 ,   258 ,   977 ,  2 610 ,   117 ,   260 ,   371 
,,"Agric, prod. animal, caça e activ. seviços relacionados",  5 978 ,   767 ,   33 ,   1 ,- ,   20 ,   155 ,   506 ,   5 ,   14 ,   33 
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",   542 ,   45 ,- ,- ,- ,   2 ,   11 ,   21 ,- ,   4 ,   7 
,,"Pesca, aquacultura e activ. seviços relacionados",   205 ,   50 ,   5 ,- ,   1 ,- ,   3 ,   6 ,   2 ,   23 ,   10 
,,Ind. alimentares das bebidas e do tabaco,  1 334 ,   166 ,   15 ,   4 ,   1 ,   2 ,   41 ,   91 ,   1 ,   3 ,   8 
,,Outras indústrias,  10 475 ,   739 ,   39 ,   4 ,   17 ,   42 ,   118 ,   415 ,   9 ,   31 ,   64 
,,"Prod. e distribuição de  electricidade, gás e água",   803 ,   50 ,   2 ,   2 ,   3 ,   6 ,   10 ,   21 ,- ,   1 ,   5 
,,Construção,  8 039 ,   573 ,   15 ,   4 ,   14 ,   49 ,   86 ,   301 ,   9 ,   46 ,   49 
,,Comércio por grosso e retalho,  7 781 ,   718 ,   20 ,   11 ,   16 ,   44 ,   130 ,   397 ,   23 ,   35 ,   42 
,,Alojamento e restauração,  1 279 ,   118 ,   8 ,- ,   1 ,   8 ,   9 ,   60 ,   12 ,   14 ,   6 
,,Administração pública,  3 151 ,   307 ,   35 ,   10 ,   3 ,   20 ,   47 ,   151 ,   9 ,   16 ,   16 
,,Educação,  1 827 ,   153 ,   4 ,- ,- ,   11 ,   37 ,   70 ,   5 ,   6 ,   20 
