Actividade renumerada exterior à exploração da população agrícola familiar (Lezíria do Tejo),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,Pág.5/5
,,,LISBOA E VALE DO TEJO,Lezíria do Tejo,Almeirim,Alpiarça,Azambuja,Benavente,Cartaxo,Chamusca,Coruche,Golegã,Rio Maior,Salvaterra de Magos,Santarém
,,,nº de indivíduos,,,,,,,,,,,,
População agrícola familiar,,,  170 116 ,  39 422 ,  3 648 ,  1 725 ,  4 297 ,  1 684 ,  2 758 ,  1 467 ,  3 550 ,   653 ,  5 708 ,  2 371 ,  11 561 
,Actividade exterior - principal,,  56 025 ,  12 604 ,  1 146 ,   536 ,  1 472 ,   589 ,   963 ,   410 ,  1 216 ,   139 ,  1 707 ,   804 ,  3 622 
,,"Agric, prod. animal, caça e activ. seviços relacionados",  5 978 ,  1 781 ,   272 ,   187 ,   174 ,   96 ,   119 ,   88 ,   322 ,   16 ,   166 ,   131 ,   210 
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",   542 ,   186 ,   8 ,   6 ,   15 ,   6 ,   3 ,   9 ,   80 ,   1 ,   19 ,   14 ,   25 
,,"Pesca, aquacultura e activ. seviços relacionados",   205 ,   26 ,   3 ,   2 ,   2 ,   2 ,   2 ,- ,   4 ,- ,   4 ,   3 ,   4 
,,Ind. alimentares das bebidas e do tabaco,  1 334 ,   366 ,   70 ,   17 ,   46 ,   22 ,   13 ,   9 ,   47 ,   7 ,   46 ,   8 ,   81 
,,Outras indústrias,  10 475 ,  2 128 ,   74 ,   26 ,   259 ,   87 ,   217 ,   33 ,   117 ,   14 ,   427 ,   113 ,   761 
,,"Prod. e distribuição de  electricidade, gás e água",   803 ,   215 ,   27 ,   12 ,   33 ,   5 ,   23 ,   7 ,   20 ,   1 ,   19 ,   13 ,   55 
,,Construção,  8 039 ,  1 303 ,   207 ,   73 ,   138 ,   69 ,   57 ,   52 ,   142 ,   3 ,   165 ,   107 ,   290 
,,Comércio por grosso e retalho,  7 781 ,  1 646 ,   139 ,   56 ,   176 ,   99 ,   118 ,   17 ,   122 ,   21 ,   162 ,   130 ,   606 
,,Alojamento e restauração,  1 279 ,   262 ,   17 ,   8 ,   44 ,   26 ,   19 ,   4 ,   35 ,- ,   50 ,   9 ,   50 
,,Administração pública,  3 151 ,   817 ,   59 ,   31 ,   145 ,   35 ,   53 ,   21 ,   59 ,   25 ,   83 ,   47 ,   259 
,,Educação,  1 827 ,   484 ,   43 ,   23 ,   86 ,   20 ,   39 ,   10 ,   38 ,   13 ,   47 ,   21 ,   144 
,,Saúde e acção social,  1 420 ,   331 ,   23 ,   13 ,   70 ,   12 ,   36 ,   9 ,   25 ,   7 ,   36 ,   19 ,   81 
,,Outras,  13 191 ,  3 059 ,   204 ,   82 ,   284 ,   110 ,   264 ,   151 ,   205 ,   31 ,   483 ,   189 ,  1 056 
,Actividade exterior - secundária,,  2 031 ,   531 ,   114 ,   13 ,   19 ,   37 ,   23 ,   16 ,   79 ,- ,   45 ,   72 ,   113 
,,"Agric, prod. animal, caça e activ. seviços relacionados",  1 064 ,   283 ,   85 ,   8 ,   11 ,   22 ,   16 ,   4 ,   42 ,- ,   11 ,   60 ,   24 
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",   25 ,   13 ,- ,- ,- ,- ,- ,- ,   11 ,- ,- ,   1 ,   1 
,,"Pesca, aquacultura e activ. seviços relacionados",   18 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Ind. alimentares das bebidas e do tabaco,   19 ,   5 ,   1 ,- ,- ,- ,   1 ,   1 ,   1 ,- ,   1 ,- ,- 
,,Outras indústrias,   88 ,   19 ,- ,   1 ,- ,   1 ,   1 ,   2 ,- ,- ,   6 ,   1 ,   7 
,,"Prod. e distribuição de  electricidade, gás e água",   3 ,   1 ,- ,- ,- ,- ,- ,- ,- ,- ,   1 ,- ,- 
