População e mão-de-obra agrícola não familiar (UTA),,,,,,,,,
,,,,,,,,,1999
Região Agrícola,,,,Mão-de-obra não familiar,,,,,
,Nut III,,,Total,Permanente,,,Trabalhadores eventuais agrícolas,Trabalhadores eventuais agrícolas não contratados pelo produtor
,,Concelho,,,Total,Dirigente,Outros trabalhadores,,
Entre Douro e Minho,,,índ. (nº),- ,"10,039","1,196","8,843",- ,- 
,,,UTA,"13,036","6,696",642,"6,029","6,002",338
,Minho Lima ,,índ. (nº),- ,"1,289",257,"1,032",- ,- 
,,,UTA,"1,676",687,82,592,945,44
,,Arcos de Valdevez,índ. (nº),- ,216,48,168,- ,- 
,,,UTA,302,83,9,71,218,1
,,Caminha,índ. (nº),- ,58,16,42,- ,- 
,,,UTA,61,28,3,23,33,o 
,,Melgaço,índ. (nº),- ,34,15,19,- ,- 
,,,UTA,62,16,o ,15,45,1
,,Monção,índ. (nº),- ,157,32,125,- ,- 
,,,UTA,206,87,11,73,114,5
,,Paredes de Coura,índ. (nº),- ,72,18,54,- ,- 
,,,UTA,94,36,6,30,49,9
,,Ponte da Barca,índ. (nº),- ,58,13,45,- ,- 
,,,UTA,85,21,1,20,63,1
,,Ponte de Lima,índ. (nº),- ,346,61,285,- ,- 
,,,UTA,442,191,25,162,234,17
,,Valença,índ. (nº),- ,83,21,62,- ,- 
,,,UTA,104,63,11,52,41,o 
,,Viana do Castelo,índ. (nº),- ,215,22,193,- ,- 
,,,UTA,278,129,12,118,139,10
,,Vila Nova de Cerveira,índ. (nº),- ,50,11,39,- ,- 
,,,UTA,42,33,4,28,9,o 
,Cávado,,índ. (nº),- ,"2,072",171,"1,901",- ,- 
,,,UTA,"2,279","1,300",102,"1,191",905,74
,,Amares,índ. (nº),- ,428,18,410,- ,- 
,,,UTA,429,286,15,272,133,10
,,Barcelos,índ. (nº),- ,679,52,627,- ,- 
,,,UTA,713,427,35,388,252,34
,,Braga,índ. (nº),- ,593,47,546,- ,- 
,,,UTA,545,373,24,348,170,2
,,Esposende,índ. (nº),- ,86,7,79,- ,- 
,,,UTA,123,52,6,45,61,10
,,Terras de Bouro,índ. (nº),- ,62,26,36,- ,- 
,,,UTA,74,18,5,12,51,5
,,Vila Verde,índ. (nº),- ,224,21,203,- ,- 
,,,UTA,395,144,17,126,238,13
,Ave,,índ. (nº),- ,"2,265",230,"2,035",- ,- 
,,,UTA,"2,458","1,533",134,"1,394",885,40
,,Fafe,índ. (nº),- ,147,16,131,- ,- 
,,,UTA,237,108,8,100,120,9
,,Guimarães,índ. (nº),- ,477,66,411,- ,- 
,,,UTA,629,361,43,316,257,11
,,Póvoa de Lanhoso,índ. (nº),- ,231,14,217,- ,- 
,,,UTA,257,154,11,143,98,5
,,Santo Tirso,índ. (nº),- ,330,32,298,- ,- 
,,,UTA,340,227,18,209,112,1
,,Trofa,índ. (nº),- ,174,11,163,- ,- 
,,,UTA,147,113,9,104,31,3
,,Vieira do Minho,índ. (nº),- ,172,24,148,- ,- 
,,,UTA,142,58,4,52,79,5
,,Vila Nova de Famalicão,índ. (nº),- ,675,58,617,- ,- 
,,,UTA,627,472,35,436,150,5
,,Vizela,índ. (nº),- ,59,9,50,- ,- 
,,,UTA,79,40,6,34,38,1
,Grande Porto,,índ. (nº),- ,"1,031",119,912,- ,- 
,,,UTA,"1,339",798,93,701,517,24
,,Espinho,índ. (nº),- ,6,1,5,- ,- 
,,,UTA,13,6,1,5,7,o 
,,Gondomar,índ. (nº),- ,95,5,90,- ,- 
,,,UTA,164,55,1,54,108,1
,,Maia,índ. (nº),- ,123,10,113,- ,- 
,,,UTA,145,90,6,84,52,3
,,Matosinhos,índ. (nº),- ,59,3,56,- ,- 
,,,UTA,92,43,1,42,45,4
,,Póvoa de Varzim,índ. (nº),- ,171,29,142,- ,- 
,,,UTA,214,146,25,121,57,11
,,Valongo,índ. (nº),- ,70,7,63,- ,- 
,,,UTA,71,54,6,49,17,o 
,,Vila do Conde,índ. (nº),- ,336,35,301,- ,- 
,,,UTA,369,262,32,227,102,5
,,Vila Nova de Gaia,índ. (nº),- ,171,29,142,- ,- 
,,,UTA,271,142,21,119,129,o 
,Tâmega,,índ. (nº),- ,"3,142",369,"2,773",- ,- 
,,,UTA,"4,787","2,185",198,"1,989","2,469",133
,,Amarante,índ. (nº),- ,369,46,323,- ,- 
,,,UTA,664,286,25,260,355,23
,,Baião,índ. (nº),- ,247,47,200,- ,- 
,,,UTA,414,155,28,126,251,8
,,Cabeceiras de Basto,índ. (nº),- ,121,14,107,- ,- 
,,,UTA,227,79,4,73,139,9
,,Castelo de Paiva,índ. (nº),- ,35,7,28,- ,- 
,,,UTA,69,28,3,25,38,3
,,Celorico de Basto,índ. (nº),- ,145,39,106,- ,- 
,,,UTA,327,112,16,95,200,15
,,Cinfães,índ. (nº),- ,95,16,79,- ,- 
,,,UTA,189,60,11,49,123,6
,,Felgueiras,índ. (nº),- ,294,29,265,- ,- 
,,,UTA,419,220,11,207,186,13
,,Lousada,índ. (nº),- ,309,19,290,- ,- 
,,,UTA,373,226,12,214,138,9
,,Marco de Canaveses,índ. (nº),- ,421,47,374,- ,- 
,,,UTA,516,277,26,255,225,14
,,Mondim de Basto,índ. (nº),- ,35,11,24,- ,- 
,,,UTA,107,26,2,24,77,4
,,Paços de Ferreira,índ. (nº),- ,157,13,144,- ,- 
,,,UTA,170,102,10,92,67,1
,,Paredes,índ. (nº),- ,230,19,211,- ,- 
,,,UTA,288,168,12,157,115,5
,,Penafiel,índ. (nº),- ,561,51,510,- ,- 
,,,UTA,579,342,33,313,222,15
,,Resende,índ. (nº),- ,98,8,90,- ,- 
,,,UTA,330,82,3,79,246,2
,,Ribeira de Pena,índ. (nº),- ,25,3,22,- ,- 
,,,UTA,115,22,2,20,87,6
,Entre Douro e Vouga,,índ. (nº),- ,240,50,190,- ,- 
,,,UTA,497,193,33,162,281,23
,,Arouca,índ. (nº),- ,56,11,45,- ,- 
,,,UTA,138,41,4,37,85,12
,,Oliveira de Azeméis,índ. (nº),- ,92,21,71,- ,- 
,,,UTA,162,86,17,69,70,6
,,Santa Maria da Feira,índ. (nº),- ,61,5,56,- ,- 
,,,UTA,119,46,3,44,72,1
,,São João da Madeira,índ. (nº),- ,- ,- ,- ,- ,- 
,,,UTA,- ,- ,- ,- ,- ,- 
,,Vale de Cambra,índ. (nº),- ,31,13,18,- ,- 
,,,UTA,78,20,9,12,54,4
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,
,,,,,,,,,
