Principais características do produtor singular - Homem/Mulher (Página 6),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 16/18
,,,Penafiel,Resende,Ribeira de Pena,Entre Douro e Vouga,Arouca,Oliveira de Azeméis,Santa Maria da Feira,São João da Madeira,Vale de Cambra
,,,nº de indivíduos,,,,,,,,
Homem / Mulher,,,,,,,,,,,
Produtor singular,,,"1,864","1,230",879,"5,047","1,678","1,056",976,- ,"1,337"
,Autónomo,,"1,758","1,191",865,"4,978","1,659","1,024",964,- ,"1,331"
,Empresário,,106,39,14,69,19,32,12,- ,6
Nível de instrução,,,,,,,,,,,
,Não sabe ler nem escrever,,343,291,218,579,229,105,128,- ,117
,Sabe ler e escrever,,367,278,186,980,276,224,221,- ,259
,Básico - 1º ciclo,,906,509,387,"2,970",997,601,542,- ,830
,Básico - 2º ciclo,,107,76,47,343,122,85,52,- ,84
,Básico - 3º ciclo,,28,21,26,70,23,15,13,- ,19
,Secundário agrícola,,3,- ,2,3,2,1,- ,- ,- 
,Secundário não agrícola,,43,16,4,38,12,11,7,- ,8
,Politécnico / Superior agrícola,,6,3,- ,5,1,2,1,- ,1
,Politécnico / Superior não agrícola,,61,36,9,59,16,12,12,- ,19
Formação profissional agrícola,,,,,,,,,,,
,Exclusivamente prática,,"1,733","1,161",819,"4,804","1,606",975,932,- ,"1,291"
,Curta duração,,77,43,22,130,38,46,18,- ,28
,Longa duração,,22,15,15,64,22,13,14,- ,15
,Longa e curta duração,,23,8,21,41,9,19,11,- ,2
,Completa,,9,3,2,8,3,3,1,- ,1
Tempo de actividade agrícola ,,,,,,,,,,,
,Tempo parcial,,"1,079",930,525,"2,413",595,598,748,- ,472
,,> 0 - < 25%,321,164,137,581,140,148,184,- ,109
,,25 - < 50%,249,207,141,624,166,135,115,- ,208
,,50 - < 75%,208,268,94,302,85,60,99,- ,58
,,75 - < 100%,301,291,153,906,204,255,350,- ,97
,Tempo completo,,785,300,354,"2,634","1,083",458,228,- ,865
Actividades remuneradas exterior à exploração,,,,,,,,,,,
,Principal,,508,235,118,944,264,222,157,- ,301
,,Sector primário,78,66,15,98,60,16,12,- ,10
,,Sector secundário,177,43,50,508,117,130,72,- ,189
,,Sector terciário,253,126,53,338,87,76,73,- ,102
,Secúndária,,31,109,35,38,15,4,12,- ,7
,,Sector primário,14,89,24,14,4,1,6,- ,3
,,Sector secundário,12,13,5,12,9,- ,3,- ,- 
,,Sector terciário,5,7,6,12,2,3,3,- ,4
Situação na profissão exterior à exploração,,,,,,,,,,,
,Patrão/empregador,,90,36,16,137,30,31,42,- ,34
,Trabalhador por conta própria,,70,49,29,175,48,51,34,- ,42
,Trabalhador por conta de outrem,,374,258,89,658,197,137,92,- ,232
,Trabalhador familiar remunerado,,- ,1,- ,3,1,1,1,- ,- 
,Outra situação,,5,- ,19,9,3,6,- ,- ,- 
Produtor singular dirigente,,,"1,766","1,166",821,"4,933","1,659","1,034",972,- ,"1,268"
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte."
