Principais características da população familiar (Homens - Ilha do Corvo),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Pág. 2/6
Homem,,,Ilha Terceira,Angra do Heroísmo,Vila Praia da Vitória,Ilha da Graciosa (Sta C.Grac.),Ilha de São Jorge,Calheta,Velas,Ilha do Pico,Lajes do Pico,Madalena,São Roque do Pico,Ilha do Faial (Horta),Ilha das Flores,Lajes das Flores,Santa Cruz das Flores,Ilha do Corvo (Corvo)
População familiar (nº indivíduos),,,  8 048 ,  4 729 ,  3 319 ,  1 437 ,  2 382 ,  1 203 ,  1 179 ,  4 432 ,  1 749 ,  1 796 ,   887 ,  2 286 ,   953 ,   459 ,   494 ,   125 
Nível de instrução,,,,,,,,,,,,,,,,,,
,Não sabe ler nem escrever,,  1 249 ,   719 ,   530 ,   277 ,   387 ,   203 ,   184 ,   509 ,   187 ,   207 ,   115 ,   268 ,   161 ,   74 ,   87 ,   7 
,Sabe ler e escrever,,   589 ,   339 ,   250 ,   158 ,   371 ,   228 ,   143 ,   472 ,   200 ,   193 ,   79 ,   207 ,   76 ,   38 ,   38 ,   25 
,Básico - 1º ciclo,,  3 316 ,  1 940 ,  1 376 ,   586 ,   940 ,   461 ,   479 ,  1 941 ,   749 ,   802 ,   390 ,   969 ,   447 ,   218 ,   229 ,   52 
,Básico - 2º ciclo,,  1 354 ,   831 ,   523 ,   224 ,   382 ,   166 ,   216 ,   692 ,   320 ,   251 ,   121 ,   420 ,   132 ,   64 ,   68 ,   25 
,Básico - 3º ciclo,,   966 ,   526 ,   440 ,   123 ,   189 ,   89 ,   100 ,   488 ,   184 ,   193 ,   111 ,   302 ,   95 ,   38 ,   57 ,   10 
,Secundário agrícola,,   23 ,   17 ,   6 ,   1 ,- ,- ,- ,   11 ,   5 ,   4 ,   2 ,   1 ,- ,- ,- ,- 
,Secundário não agrícola,,   390 ,   239 ,   151 ,   57 ,   92 ,   42 ,   50 ,   245 ,   77 ,   108 ,   60 ,   100 ,   28 ,   17 ,   11 ,   5 
