Actividade remunerada exterior à exploração da população agrícola familiar (Ilha do Corvo),,,,,,,,
,,,,,,,,Pág. 3/3
,,Madalena,São Roque do Pico,Ilha do Faial (Horta),Ilha das Flores,Lajes das Flores,Santa Cruz das Flores,Ilha do Corvo (Corvo)
População agrícola familiar,,  3 575 ,  1 770 ,  4 391 ,  1 846 ,   897 ,   949 ,   233 
,Actividade exterior - principal,  1 051 ,   464 ,  1 368 ,   452 ,   229 ,   223 ,   59 
,"Agric, prod. animal, caça e activ. seviços relacionados",   55 ,   9 ,   31 ,   33 ,   31 ,   2 ,- 
,"Sivicult, exploraç. florestal e activ. seviços relacionados",   34 ,   10 ,   8 ,   7 ,   2 ,   5 ,- 
,"Pesca, aquacultura e activ. seviços relacionados",   79 ,   10 ,   16 ,   14 ,   9 ,   5 ,   3 
,Ind. alimentares das bebidas e do tabaco,   5 ,   2 ,   16 ,   7 ,   2 ,   5 ,- 
,Outras indústrias,   99 ,   23 ,   119 ,   7 ,   2 ,   5 ,- 
,"Prod. e distribuição de  electricidade, gás e água",   12 ,   11 ,   19 ,   11 ,   2 ,   9 ,- 
,Construção,   110 ,   63 ,   196 ,   95 ,   31 ,   64 ,   4 
,Comércio por grosso e retalho,   157 ,   47 ,   238 ,   41 ,   20 ,   21 ,   5 
,Alojamento e restauração,   38 ,   2 ,   26 ,   13 ,   6 ,   7 ,   1 
,Administração pública,   224 ,   89 ,   367 ,   93 ,   72 ,   21 ,   1 
,Educação,   57 ,   51 ,   29 ,   19 ,   8 ,   11 ,   1 
,Saúde e acção social,   26 ,   21 ,   44 ,   19 ,   7 ,   12 ,   2 
,Outras,   155 ,   126 ,   259 ,   93 ,   37 ,   56 ,   42 
,Actividade exterior - secundária,   37 ,   25 ,- ,   45 ,   36 ,   9 ,- 
,"Agric, prod. animal, caça e activ. seviços relacionados",   27 ,   5 ,- ,   1 ,- ,   1 ,- 
,"Sivicult, exploraç. florestal e activ. seviços relacionados",- ,   3 ,- ,- ,- ,- ,- 
,"Pesca, aquacultura e activ. seviços relacionados",- ,- ,- ,   3 ,   2 ,   1 ,- 
,Ind. alimentares das bebidas e do tabaco,- ,- ,- ,- ,- ,- ,- 
,Outras indústrias,   1 ,   3 ,- ,   1 ,   1 ,- ,- 
