Principais características da população familiar (Homem/Mulher - Ilha do Corvo),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Pág. 2/6
Homem/Mulher,,,Ilha Terceira,Angra do Heroísmo,Vila Praia da Vitória,Ilha da Graciosa (Sta C.Grac.),Ilha de São Jorge,Calheta,Velas,Ilha do Pico,Lajes do Pico,Madalena,São Roque do Pico,Ilha do Faial (Horta),Ilha das Flores,Lajes das Flores,Santa Cruz das Flores,Ilha do Corvo (Corvo)
População familiar (nº indivíduos),,,  15 550 ,  9 151 ,  6 399 ,  2 790 ,  4 520 ,  2 296 ,  2 224 ,  8 733 ,  3 388 ,  3 575 ,  1 770 ,  4 391 ,  1 846 ,   897 ,   949 ,   233 
Nível de instrução,,,,,,,,,,,,,,,,,,
,Não sabe ler nem escrever,,  2 305 ,  1 336 ,   969 ,   507 ,   650 ,   343 ,   307 ,   948 ,   346 ,   405 ,   197 ,   475 ,   285 ,   135 ,   150 ,   10 
,Sabe ler e escrever,,  1 504 ,   869 ,   635 ,   395 ,   744 ,   450 ,   294 ,  1 060 ,   420 ,   447 ,   193 ,   407 ,   173 ,   87 ,   86 ,   49 
,Básico - 1º ciclo,,  6 257 ,  3 648 ,  2 609 ,  1 120 ,  1 797 ,   866 ,   931 ,  3 773 ,  1 460 ,  1 546 ,   767 ,  1 937 ,   869 ,   428 ,   441 ,   103 
,Básico - 2º ciclo,,  2 342 ,  1 431 ,   911 ,   390 ,   692 ,   337 ,   355 ,  1 238 ,   564 ,   445 ,   229 ,   693 ,   234 ,   109 ,   125 ,   35 
,Básico - 3º ciclo,,  1 725 ,   983 ,   742 ,   245 ,   374 ,   172 ,   202 ,   921 ,   346 ,   374 ,   201 ,   586 ,   195 ,   80 ,   115 ,   22 
,Secundário agrícola,,   40 ,   25 ,   15 ,   1 ,- ,- ,- ,   29 ,   13 ,   12 ,   4 ,   1 ,- ,- ,- ,- 
,Secundário não agrícola,,   972 ,   578 ,   394 ,   102 ,   208 ,   98 ,   110 ,   578 ,   180 ,   254 ,   144 ,   229 ,   69 ,   43 ,   26 ,   12 
,Politécnico / Superior agrícola,,   58 ,   41 ,   17 ,   4 ,   3 ,   2 ,   1 ,   23 ,   9 ,   10 ,   4 ,   4 ,   3 ,   1 ,   2 ,- 
,Politécnico / Superior não agrícola,,   347 ,   240 ,   107 ,   26 ,   52 ,   28 ,   24 ,   163 ,   50 ,   82 ,   31 ,   59 ,   18 ,   14 ,   4 ,   2 
Formação profissional agrícola,,,,,,,,,,,,,,,,,,
,Exclusivamente prática,,  8 977 ,  5 273 ,  3 704 ,  1 670 ,  2 389 ,  1 228 ,  1 161 ,  5 688 ,  1 945 ,  2 499 ,  1 244 ,  2 246 ,  1 322 ,   578 ,   744 ,   199 
,Curta duração,,   153 ,   114 ,   39 ,   7 ,   64 ,   20 ,   44 ,   73 ,   38 ,   16 ,   19 ,   13 ,   72 ,   43 ,   29 ,   13 
,Longa duração,,   95 ,   67 ,   28 ,   5 ,   50 ,   18 ,   32 ,   25 ,   14 ,   6 ,   5 ,   21 ,   15 ,   11 ,   4 ,   1 
,Longa e curta duração,,   102 ,   82 ,   20 ,   1 ,   27 ,   18 ,   9 ,   31 ,   17 ,   8 ,   6 ,   42 ,   9 ,   1 ,   8 ,- 
,Completa,,   98 ,   66 ,   32 ,   5 ,   3 ,   2 ,   1 ,   52 ,   22 ,   22 ,   8 ,   5 ,   3 ,   1 ,   2 ,- 
Tempo de actividade agrícola ,,,,,,,,,,,,,,,,,,
,Sem actividade,,  6 574 ,  3 774 ,  2 800 ,  1 119 ,  2 060 ,  1 024 ,  1 036 ,  2 982 ,  1 345 ,  1 117 ,   520 ,  2 154 ,   503 ,   261 ,   242 ,   13 
