Principais características do produtor singular (Mulher - Ilha do Pico - Laje do Pico),,,,,,,,,,,
,,,,,,,,,,,Pág. 2/9
Mulher,,,Ilha Terceira,Angra do Heroísmo,Vila Praia da Vitória,Ilha da Graciosa (Sta C.Grac.),Ilha de São Jorge,Calheta,Velas,Ilha do Pico,Lajes do Pico
Produtor singular,,,   495 ,   280 ,   215 ,   145 ,   140 ,   77 ,   63 ,   436 ,   151 
,Autónomo,,   485 ,   274 ,   211 ,   143 ,   136 ,   74 ,   62 ,   433 ,   151 
,Empresário,,   10 ,   6 ,   4 ,   2 ,   4 ,   3 ,   1 ,   3 ,- 
Nível de instrução,,,,,,,,,,,
,Não sabe ler nem escrever,,   37 ,   13 ,   24 ,   19 ,   7 ,   3 ,   4 ,   24 ,   5 
,Sabe ler e escrever,,   60 ,   33 ,   27 ,   22 ,   29 ,   20 ,   9 ,   67 ,   25 
,Básico - 1º ciclo,,   285 ,   170 ,   115 ,   92 ,   78 ,   40 ,   38 ,   265 ,   91 
,Básico - 2º ciclo,,   51 ,   29 ,   22 ,   5 ,   16 ,   10 ,   6 ,   47 ,   21 
,Básico - 3º ciclo,,   28 ,   15 ,   13 ,   4 ,   5 ,   3 ,   2 ,   17 ,   6 
,Secundário agrícola,,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Secundário não agrícola,,   14 ,   6 ,   8 ,   2 ,   2 ,- ,   2 ,   9 ,   2 
,Politécnico / Superior agrícola,,   3 ,   2 ,   1 ,- ,- ,- ,- ,- ,- 
,Politécnico / Superior não agrícola,,   17 ,   12 ,   5 ,   1 ,   3 ,   1 ,   2 ,   7 ,   1 
Formação profissional agrícola,,,,,,,,,,,
,Exclusivamente prática,,   482 ,   272 ,   210 ,   145 ,   137 ,   76 ,   61 ,   436 ,   151 
,Curta duração,,   3 ,   3 ,- ,- ,- ,- ,- ,- ,- 
,Longa duração,,   5 ,   1 ,   4 ,- ,   2 ,- ,   2 ,- ,- 
,Longa e curta duração,,   2 ,   2 ,- ,- ,   1 ,   1 ,- ,- ,- 
,Completa,,   3 ,   2 ,   1 ,- ,- ,- ,- ,- ,- 
Tempo de actividade agrícola ,,,,,,,,,,,
,Tempo parcial,,   482 ,   272 ,   210 ,   144 ,   137 ,   74 ,   63 ,   423 ,   148 
,,> 0 - < 25%,   347 ,   167 ,   180 ,   110 ,   54 ,   24 ,   30 ,   291 ,   84 
,,25 - < 50%,   85 ,   62 ,   23 ,   20 ,   42 ,   22 ,   20 ,   62 ,   15 
,,50 - < 75%,   21 ,   18 ,   3 ,   11 ,   26 ,   18 ,   8 ,   40 ,   22 
,,75 - < 100%,   29 ,   25 ,   4 ,   3 ,   15 ,   10 ,   5 ,   30 ,   27 
,Tempo completo,,   13 ,   8 ,   5 ,   1 ,   3 ,   3 ,- ,   13 ,   3 
Actividades remuneradas exterior à exploração,,,,,,,,,,,
,Principal,,   85 ,   48 ,   37 ,   23 ,   15 ,   9 ,   6 ,   69 ,   18 
,,Sector primário,   1 ,   1 ,- ,   4 ,   3 ,   2 ,   1 ,   2 ,- 
,,Sector secundário,   6 ,   2 ,   4 ,   2 ,   3 ,   2 ,   1 ,   10 ,   2 
,,Sector terciário,   78 ,   45 ,   33 ,   17 ,   9 ,   5 ,   4 ,   57 ,   16 
,Secundária,,   4 ,   1 ,   3 ,- ,   3 ,   1 ,   2 ,   12 ,   6 
,,Sector primário,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sector secundário,- ,- ,- ,- ,   2 ,   1 ,   1 ,   4 ,   4 
,,Sector terciário,   4 ,   1 ,   3 ,- ,   1 ,- ,   1 ,   8 ,   2 
Situação na profissão exterior à exploração,,,,,,,,,,,
,Patrão/empregador,,   6 ,   2 ,   4 ,   5 ,   2 ,   1 ,   1 ,   5 ,   3 
,Trabalhador por conta própria,,   13 ,   3 ,   10 ,   4 ,- ,- ,- ,   12 ,   1 
,Trabalhador por conta de outrem,,   66 ,   42 ,   24 ,   14 ,   16 ,   9 ,   7 ,   63 ,   20 
,Trabalhador familiar remunerado,,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outra situação,,   4 ,   2 ,   2 ,- ,- ,- ,- ,   1 ,- 
Produtor singular  dirigente,,,   298 ,   166 ,   132 ,   101 ,   114 ,   65 ,   49 ,   413 ,   138 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
