Principais características do Produtor Singular - Homem (Serra da Estrela),,,,,,
,,,,,,1999
,,,,,,pág. 5/15
,,,Serra da Estrela,Fornos de Algodres,Gouveia,Seia
,,,nº de indivíduos,,,
Homem,,,,,,
Produtor singular,,,"3,709",565,"1,234","1,910"
,Autónomo,,"3,631",550,"1,194","1,887"
,Empresário,,78,15,40,23
Nível de instrução,,,,,,
,Não sabe ler nem escrever,,503,124,134,245
,Sabe ler e escrever,,637,82,228,327
,Básico - 1º ciclo,,"2,113",301,694,"1,118"
,Básico - 2º ciclo,,169,19,64,86
,Básico - 3º ciclo,,91,10,32,49
,Secundário agrícola,,3,1,1,1
,Secundário não agrícola,,74,10,30,34
,Politécnico / Superior agrícola,,13,2,6,5
,Politécnico / Superior não agrícola,,106,16,45,45
Formação profissional agrícola,,,,,,
,Exclusivamente prática,,"3,585",550,"1,179","1,856"
,Curta duração,,68,7,33,28
,Longa duração,,24,5,7,12
,Longa e curta duração,,16,- ,8,8
,Completa,,16,3,7,6
Tempo de actividade agrícola ,,,,,,
,Tempo parcial,,"3,446",504,"1,130","1,812"
,,> 0 - < 25%,"1,163",212,358,593
,,25 - < 50%,"1,217",174,419,624
,,50 - < 75%,490,60,182,248
,,75 - < 100%,576,58,171,347
,Tempo completo,,263,61,104,98
Actividades remuneradas exterior à exploração,,,,,,
,Principal,,"1,215",166,362,687
,,Sector primário,181,28,55,98
,,Sector secundário,541,70,141,330
,,Sector terciário,493,68,166,259
,Secúndária,,54,21,14,19
,,Sector primário,33,16,8,9
,,Sector secundário,5,1,1,3
,,Sector terciário,16,4,5,7
Situação na profissão exterior à exploração,,,,,,
,Patrão/empregador,,217,48,68,101
,Trabalhador por conta própria,,332,32,116,184
,Trabalhador por conta de outrem,,710,105,190,415
,Trabalhador familiar remunerado,,3,2,- ,1
,Outra situação,,7,- ,2,5
Produtor singular dirigente,,,"3,677",562,"1,219","1,896"
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro."
