Actividade renumerada exterior à exploração da População Agrícola Familiar (Beira Interior Sul),,,,,,,
,,,,,,,1999
,,,,,,,pág. 4/5
,,,Beira Interior Sul,Castelo Branco,Idanha-a-Nova,Penamacor,Vila Velha de Rodão
,,,nº de indivíduos,,,,
População agrícola familiar,,,"22,417","11,313","4,901","3,655","2,548"
,Actividade exterior - principal,,"5,787","3,162","1,141",786,698
,,"Agric, prod. animal, caça e activ. seviços relacionados",418,123,177,84,34
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",154,81,29,22,22
,,"Pesca, aquacultura e activ. seviços relacionados",8,3,1,4,- 
,,Ind. alimentares das bebidas e do tabaco,120,59,18,15,28
,,Outras indústrias,814,535,84,43,152
,,"Prod. e distribuição de  electricidade, gás e água",88,72,7,4,5
,,Construção,824,527,149,118,30
,,Comércio por grosso e retalho,693,417,144,74,58
,,Alojamento e restauração,150,57,58,13,22
,,Administração pública,731,386,147,106,92
,,Educação,378,207,102,31,38
,,Saúde e acção social,290,148,60,43,39
,,Outras,"1,119",547,165,229,178
,Actividade exterior - secundária,,106,73,19,9,5
,,"Agric, prod. animal, caça e activ. seviços relacionados",21,11,5,3,2
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",17,16,1,- ,- 
,,"Pesca, aquacultura e activ. seviços relacionados",- ,- ,- ,- ,- 
,,Ind. alimentares das bebidas e do tabaco,2,- ,2,- ,- 
,,Outras indústrias,11,9,2,- ,- 
,,"Prod. e distribuição de  electricidade, gás e água",- ,- ,- ,- ,- 
,,Construção,12,8,- ,4,- 
,,Comércio por grosso e retalho,18,13,3,2,- 
,,Alojamento e restauração,3,- ,3,- ,- 
,,Administração pública,3,2,- ,- ,1
,,Educação,1,- ,- ,- ,1
,,Saúde e acção social,1,1,- ,- ,- 
,,Outras,17,13,3,- ,1
Produtor Singular,,,"9,570","4,709","2,108","1,633","1,120"
,Actividade exterior - principal,,"2,469","1,318",516,350,285
,,"Agric, prod. animal, caça e activ. seviços relacionados",209,67,84,38,20
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",81,44,12,9,16
,,"Pesca, aquacultura e activ. seviços relacionados",4,2,- ,2,- 
,,Ind. alimentares das bebidas e do tabaco,55,30,9,9,7
,,Outras indústrias,322,185,34,15,88
,,"Prod. e distribuição de  electricidade, gás e água",34,27,4,1,2
,,Construção,472,297,97,68,10
,,Comércio por grosso e retalho,310,188,64,34,24
,,Alojamento e restauração,61,28,20,5,8
,,Administração pública,326,171,70,50,35
,,Educação,87,35,34,12,6
,,Saúde e acção social,76,37,16,11,12
,,Outras,432,207,72,96,57
,Actividade exterior - secundária,,68,45,14,6,3
,,"Agric, prod. animal, caça e activ. seviços relacionados",14,9,4,1,- 
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",11,10,1,- ,- 
,,"Pesca, aquacultura e activ. seviços relacionados",- ,- ,- ,- ,- 
,,Ind. alimentares das bebidas e do tabaco,2,- ,2,- ,- 
,,Outras indústrias,7,5,2,- ,- 
,,"Prod. e distribuição de  electricidade, gás e água",- ,- ,- ,- ,- 
,,Construção,7,4,- ,3,- 
,,Comércio por grosso e retalho,14,10,2,2,- 
,,Alojamento e restauração,1,- ,1,- ,- 
,,Administração pública,2,1,- ,- ,1
,,Educação,1,- ,- ,- ,1
,,Saúde e acção social,- ,- ,- ,- ,- 
,,Outras,9,6,2,- ,1
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,
