Principais Características da População Familiar - Homem (Beira Interior Sul),,,,,,,,,
,,,,,,,1999,,
,,,,,,,pág. 11/15,,
,,,Beira Interior Sul,Castelo Branco,Idanha-a-Nova,Penamacor,Vila Velha de Rodão,,
,,,nº de indivíduos,,,,,,
Homem,,,,,,,,,
População familiar,,,"11,302","5,755","2,469","1,820","1,258",,
Nível de instrução,,,,,,,,,
,Não sabe ler nem escrever,,"2,043",936,556,422,129,,
,Sabe ler e escrever,,"1,364",690,242,263,169,,
,Básico - 1º ciclo,,"4,410","2,346",918,625,521,,
,Básico - 2º ciclo,,"1,099",519,218,212,150,,
,Básico - 3º ciclo,,"1,055",587,236,111,121,,
,Secundário agrícola,,66,30,20,7,9,,
,Secundário não agrícola,,724,381,143,111,89,,
,Politécnico / Superior agrícola,,111,62,27,12,10,,
,Politécnico / Superior não agrícola,,430,204,109,57,60
Formação profissional agrícola,,,,,,,
,Exclusivamente prática,,"9,864","5,181","2,010","1,534","1,139"
,Curta duração,,107,47,12,44,4
,Longa duração,,116,35,42,33,6
,Longa e curta duração,,67,25,24,14,4
,Completa,,177,92,47,19,19
Tempo de actividade agrícola ,,,,,,,
,Sem actividade,,"1,074",426,361,192,95
,Tempo parcial,,"9,684","5,035","1,916","1,591","1,142"
,,> 0 - < 25%,"3,938","1,931",843,496,668
,,25 - < 50%,"2,338","1,368",379,364,227
,,50 - < 75%,"1,456",663,325,316,152
,,75 - < 100%,"1,952","1,073",369,415,95
,Tempo completo,,544,294,192,37,21
Actividades remuneradas exterior à exploração,,,,,,,
,Principal,,"3,672","2,048",684,514,426
,,Sector primário,421,171,133,71,46
,,Sector secundário,"1,490",939,216,161,174
,,Sector terciário,"1,761",938,335,282,206
,Secundária,,83,55,17,8,3
,,Sector primário,29,21,5,2,1
,,Sector secundário,23,15,4,4,- 
,,Sector terciário,31,19,8,2,2
Situação na profissão exterior à exploração,,,,,,,
,Patrão/empregador,,419,239,92,41,47
,Trabalhador por conta própria,,490,291,82,76,41
,Trabalhador por conta de outrem,,"2,757","1,527",519,383,328
,Trabalhador familiar remunerado,,10,6,1,2,1
,Outra situação,,79,40,7,20,12
Dirigente na população familiar,,,"7,547","3,761","1,652","1,247",887
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,
