Principais Características da População Familiar - Mulher (Serra da Estrela),,,,,,
,,,,,,1999
,,,,,,pág. 6/15
,,,Serra da Estrela,Fornos de Algodres,Gouveia,Seia
,,,nº de indivíduos,,,
Mulher,,,,,,
População familiar,,,"6,440","1,061","2,006","3,373"
Nível de instrução,,,,,,
,Não sabe ler nem escrever,,"1,202",250,376,576
,Sabe ler e escrever,,"1,307",211,436,660
,Básico - 1º ciclo,,"2,223",357,669,"1,197"
,Básico - 2º ciclo,,562,87,168,307
,Básico - 3º ciclo,,429,51,115,263
,Secundário agrícola,,19,4,8,7
,Secundário não agrícola,,359,53,108,198
,Politécnico / Superior agrícola,,19,3,5,11
,Politécnico / Superior não agrícola,,320,45,121,154
Formação profissional agrícola,,,,,,
,Exclusivamente prática,,"5,315",922,"1,664","2,729"
,Curta duração,,26,3,14,9
,Longa duração,,16,3,8,5
,Longa e curta duração,,8,3,4,1
,Completa,,38,7,13,18
Tempo de actividade agrícola ,,,,,,
,Sem actividade,,"1,241",170,352,719
,Tempo parcial,,"5,110",870,"1,630","2,610"
,,> 0 - < 25%,"2,594",487,825,"1,282"
,,25 - < 50%,"1,334",186,407,741
,,50 - < 75%,592,111,216,265
,,75 - < 100%,590,86,182,322
,Tempo completo,,89,21,24,44
Actividades remuneradas exterior à exploração,,,,,,
,Principal,,"1,280",158,394,728
,,Sector primário,86,11,23,52
,,Sector secundário,390,33,100,257
,,Sector terciário,804,114,271,419
,Secundária,,27,11,5,11
,,Sector primário,14,5,2,7
,,Sector secundário,3,1,- ,2
,,Sector terciário,10,5,3,2
Situação na profissão exterior à exploração,,,,,,
,Patrão/empregador,,74,15,24,35
,Trabalhador por conta própria,,157,16,50,91
,Trabalhador por conta de outrem,,"1,054",131,316,607
,Trabalhador familiar remunerado,,15,7,7,1
,Outra situação,,7,- ,2,5
Dirigente na população familiar,,,"1,033",205,290,538
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,
