Principais características da população familiar (Homem/Mulher / Alto Alentejo - Arronches),,,,,,,,,,,,
,,,,,,,,,,,,Pág 1/15
,,,ALENTEJO,Alentejo Litoral,Alcácer do Sal,Grândola,Odemira,Santiago do Cacém,Sines,Alto Alentejo,Alter do Chão,Arronches
Homem / Mulher (nº indivíduos),,,,,,,,,,,,
População familiar,,,  91 678 ,  15 147 ,  2 482 ,  2 602 ,  5 058 ,  4 387 ,   618 ,  26 936 ,   778 ,  1 154 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,  17 802 ,  3 791 ,   452 ,   641 ,  1 548 ,   996 ,   154 ,  5 552 ,   66 ,   253 
,Sabe ler e escrever,,  12 111 ,  2 133 ,   271 ,   355 ,   814 ,   609 ,   84 ,  3 400 ,   70 ,   150 
,Básico - 1º ciclo,,  31 020 ,  4 800 ,   910 ,   847 ,  1 404 ,  1 433 ,   206 ,  9 548 ,   366 ,   343 
,Básico - 2º ciclo,,  9 448 ,  1 547 ,   257 ,   241 ,   530 ,   447 ,   72 ,  2 400 ,   66 ,   113 
,Básico - 3º ciclo,,  8 579 ,  1 333 ,   225 ,   210 ,   369 ,   481 ,   48 ,  2 306 ,   64 ,   96 
,Secundário agrícola,,   731 ,   91 ,   32 ,   33 ,   12 ,   12 ,   2 ,   211 ,   11 ,   8 
,Secundário não agrícola,,  6 401 ,   831 ,   157 ,   144 ,   247 ,   250 ,   33 ,  1 826 ,   54 ,   121 
,Politécnico / Superior agrícola,,  1 222 ,   154 ,   51 ,   31 ,   31 ,   37 ,   4 ,   339 ,   26 ,   8 
,Politécnico / Superior não agrícola,,  4 364 ,   467 ,   127 ,   100 ,   103 ,   122 ,   15 ,  1 354 ,   55 ,   62 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,  65 304 ,  11 037 ,  1 731 ,  1 988 ,  3 812 ,  3 112 ,   394 ,  20 440 ,   651 ,   690 
,Curta duração,,   691 ,   65 ,   13 ,   9 ,   13 ,   28 ,   2 ,   122 ,   6 ,   3 
,Longa duração,,  1 253 ,   161 ,   30 ,   19 ,   63 ,   47 ,   2 ,   262 ,   1 ,   14 
,Longa e curta duração,,   658 ,   85 ,   10 ,   7 ,   19 ,   36 ,   13 ,   159 ,   9 ,   8 
,Completa,,  1 953 ,   245 ,   83 ,   64 ,   43 ,   49 ,   6 ,   550 ,   37 ,   16 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Sem actividade,,  24 679 ,  4 208 ,   704 ,   609 ,  1 241 ,  1 449 ,   205 ,  6 137 ,   152 ,   430 
,Tempo parcial,,  59 221 ,  9 817 ,  1 458 ,  1 646 ,  3 591 ,  2 716 ,   406 ,  18 701 ,   584 ,   658 
,,> 0 - < 25%,  36 451 ,  4 981 ,   650 ,   794 ,  1 883 ,  1 421 ,   233 ,  10 577 ,   407 ,   260 
,,25 - < 50%,  11 644 ,  2 270 ,   328 ,   392 ,   872 ,   589 ,   89 ,  4 321 ,   77 ,   182 
,,50 - < 75%,  5 659 ,  1 427 ,   281 ,   207 ,   563 ,   319 ,   57 ,  1 908 ,   30 ,   105 
,,75 - < 100%,  5 467 ,  1 139 ,   199 ,   253 ,   273 ,   387 ,   27 ,  1 895 ,   70 ,   111 
,Tempo completo,,  7 778 ,  1 122 ,   320 ,   347 ,   226 ,   222 ,   7 ,  2 098 ,   42 ,   66 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,  26 262 ,  4 217 ,   877 ,   703 ,  1 208 ,  1 262 ,   167 ,  7 474 ,   178 ,   327 
,,Sector primário,  5 395 ,   982 ,   287 ,   149 ,   317 ,   204 ,   25 ,  1 212 ,   37 ,   68 
,,Sector secundário,  5 740 ,   922 ,   181 ,   120 ,   281 ,   305 ,   35 ,  1 904 ,   31 ,   71 
,,Sector terciário,  15 127 ,  2 313 ,   409 ,   434 ,   610 ,   753 ,   107 ,  4 358 ,   110 ,   188 
,Seundária,,   591 ,   167 ,   22 ,   48 ,   69 ,   25 ,   3 ,   71 ,   1 ,   2 
,,Sector primário,   291 ,   88 ,   17 ,   18 ,   39 ,   13 ,   1 ,   39 ,- ,- 
,,Sector secundário,   76 ,   19 ,   1 ,   7 ,   3 ,   8 ,- ,   10 ,   1 ,- 
,,Sector terciário,   224 ,   60 ,   4 ,   23 ,   27 ,   4 ,   2 ,   22 ,- ,   2 
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,  2 371 ,   292 ,   76 ,   54 ,   81 ,   75 ,   6 ,   677 ,   16 ,   37 
,Trabalhador por conta própria,,  4 581 ,   985 ,   274 ,   177 ,   269 ,   242 ,   23 ,  1 047 ,   18 ,   33 
,Trabalhador por conta de outrem,,  19 361 ,  3 011 ,   545 ,   507 ,   883 ,   939 ,   137 ,  5 748 ,   142 ,   257 
,Trabalhador familiar remunerado,,   251 ,   47 ,   3 ,   9 ,   16 ,   15 ,   4 ,   42 ,   1 ,- 
,Outra situação,,   289 ,   49 ,   1 ,   4 ,   28 ,   16 ,- ,   31 ,   2 ,   2 
Dirigente na população familiar,,,  34 359 ,  5 464 ,   818 ,   977 ,  1 877 ,  1 579 ,   213 ,  10 830 ,   329 ,   463 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
