Principais características da população familiar (Mulher / Alentejo Central - Montemor-o-Novo),,,,,,,,,,,,
,,,,,,,,,,,,Pág 13/15
,,,Nisa,Ponte Sôr,Portalegre,Alentejo Central,Alandroal,Arraiolos,Borba,Estremoz,Évora,Montemor-o-Novo
Homem (nº indivíduos),,,,,,,,,,,,
População familiar,,,  1 558 ,  2 422 ,  1 977 ,  11 236 ,   999 ,   478 ,   657 ,  1 368 ,  1 429 ,  1 034 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,   310 ,   778 ,   521 ,  2 049 ,   235 ,   69 ,   168 ,   319 ,   201 ,   182 
,Sabe ler e escrever,,   314 ,   370 ,   319 ,  1 841 ,   179 ,   90 ,   73 ,   206 ,   231 ,   149 
,Básico - 1º ciclo,,   567 ,   748 ,   569 ,  3 455 ,   344 ,   127 ,   208 ,   387 ,   410 ,   278 
,Básico - 2º ciclo,,   91 ,   169 ,   124 ,   930 ,   69 ,   41 ,   55 ,   117 ,   115 ,   75 
,Básico - 3º ciclo,,   83 ,   134 ,   158 ,   970 ,   80 ,   46 ,   51 ,   108 ,   129 ,   93 
,Secundário agrícola,,   8 ,   3 ,   21 ,   57 ,   2 ,   2 ,   3 ,   11 ,   11 ,   7 
,Secundário não agrícola,,   94 ,   127 ,   145 ,   989 ,   42 ,   53 ,   61 ,   126 ,   159 ,   116 
,Politécnico / Superior agrícola,,   6 ,   6 ,   10 ,   93 ,   2 ,   4 ,- ,   10 ,   30 ,   12 
,Politécnico / Superior não agrícola,,   85 ,   87 ,   110 ,   852 ,   46 ,   46 ,   38 ,   84 ,   143 ,   122 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,  1 131 ,  2 087 ,  1 485 ,  7 381 ,   866 ,   219 ,   454 ,   751 ,   834 ,   725 
,Curta duração,,   1 ,   4 ,   3 ,   58 ,   10 ,- ,   3 ,   2 ,   7 ,   2 
,Longa duração,,   2 ,   4 ,   10 ,   90 ,   7 ,   5 ,   1 ,   6 ,   22 ,   13 
,Longa e curta duração,,   2 ,   1 ,   15 ,   31 ,   5 ,   2 ,   6 ,   4 ,   4 ,   1 
,Completa,,   14 ,   9 ,   31 ,   150 ,   4 ,   6 ,   3 ,   21 ,   41 ,   19 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Sem actividade,,   522 ,   343 ,   540 ,  4 116 ,   164 ,   280 ,   218 ,   616 ,   651 ,   331 
,Tempo parcial,,   996 ,  2 006 ,  1 356 ,  6 611 ,   698 ,   176 ,   421 ,   693 ,   663 ,   658 
,,> 0 - < 25%,   525 ,  1 314 ,   947 ,  5 061 ,   609 ,   112 ,   297 ,   567 ,   502 ,   486 
,,25 - < 50%,   279 ,   426 ,   255 ,   918 ,   56 ,   32 ,   77 ,   73 ,   104 ,   88 
,,50 - < 75%,   136 ,   202 ,   91 ,   379 ,   27 ,   26 ,   28 ,   40 ,   35 ,   40 
,,75 - < 100%,   56 ,   64 ,   63 ,   253 ,   6 ,   6 ,   19 ,   13 ,   22 ,   44 
,Tempo completo,,   40 ,   73 ,   81 ,   509 ,   137 ,   22 ,   18 ,   59 ,   115 ,   45 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,   270 ,   568 ,   415 ,  2 919 ,   177 ,   130 ,   197 ,   318 ,   427 ,   257 
,,Sector primário,   1 ,   210 ,   25 ,   475 ,   47 ,   11 ,   38 ,   73 ,   31 ,   29 
,,Sector secundário,   40 ,   34 ,   72 ,   317 ,   26 ,   12 ,   25 ,   24 ,   61 ,   23 
,,Sector terciário,   229 ,   324 ,   318 ,  2 127 ,   104 ,   107 ,   134 ,   221 ,   335 ,   205 
,Seundária,,   1 ,   4 ,   5 ,   22 ,- ,   2 ,   2 ,- ,   2 ,   1 
,,Sector primário,- ,   4 ,   3 ,   13 ,- ,   1 ,   1 ,- ,   1 ,- 
,,Sector secundário,- ,- ,- ,   2 ,- ,- ,   1 ,- ,- ,- 
,,Sector terciário,   1 ,- ,   2 ,   7 ,- ,   1 ,- ,- ,   1 ,   1 
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,   16 ,   21 ,   26 ,   214 ,   11 ,   8 ,   28 ,   21 ,   40 ,   22 
,Trabalhador por conta própria,,   37 ,   100 ,   35 ,   397 ,   26 ,   27 ,   28 ,   39 ,   50 ,   19 
,Trabalhador por conta de outrem,,   212 ,   438 ,   353 ,  2 267 ,   138 ,   85 ,   139 ,   254 ,   332 ,   211 
,Trabalhador familiar remunerado,,   5 ,   6 ,   6 ,   49 ,- ,   12 ,   4 ,   3 ,   5 ,   6 
,Outra situação,,   1 ,   7 ,- ,   14 ,   2 ,- ,- ,   1 ,   2 ,- 
Dirigente na população familiar,,,   258 ,   422 ,   221 ,  1 342 ,   195 ,   51 ,   61 ,   160 ,   161 ,   111 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
