Principais características da população familiar (Homem/Mulher / Alto Alentejo - Mora),,,,,,,,,,,,
,,,,,,,,,,,,Pág 2/15
,,,Avis,Campo Maior,Castelo de Vide,Crato,Elvas,Fronteira,Gavião,Marvão,Monforte,Mora
Homem / Mulher (nº indivíduos),,,,,,,,,,,,
População familiar,,,  1 130 ,  1 785 ,   775 ,  1 097 ,  2 105 ,   684 ,  2 172 ,  1 169 ,   549 ,  1 223 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,   184 ,   296 ,   201 ,   173 ,   301 ,   91 ,   458 ,   336 ,   82 ,   218 
,Sabe ler e escrever,,   100 ,   202 ,   79 ,   138 ,   183 ,   85 ,   357 ,   126 ,   78 ,   99 
,Básico - 1º ciclo,,   393 ,   598 ,   230 ,   445 ,   654 ,   217 ,   880 ,   442 ,   188 ,   523 
,Básico - 2º ciclo,,   100 ,   158 ,   99 ,   92 ,   286 ,   67 ,   150 ,   85 ,   58 ,   81 
,Básico - 3º ciclo,,   108 ,   227 ,   45 ,   80 ,   244 ,   77 ,   142 ,   91 ,   55 ,   132 
,Secundário agrícola,,   7 ,   15 ,   4 ,   15 ,   29 ,   7 ,   18 ,   4 ,   1 ,   10 
,Secundário não agrícola,,   98 ,   154 ,   61 ,   73 ,   190 ,   62 ,   76 ,   42 ,   49 ,   70 
,Politécnico / Superior agrícola,,   22 ,   39 ,   10 ,   24 ,   50 ,   33 ,   17 ,   8 ,   10 ,   14 
,Politécnico / Superior não agrícola,,   118 ,   96 ,   46 ,   57 ,   168 ,   45 ,   74 ,   35 ,   28 ,   76 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,   919 ,   984 ,   600 ,   730 ,  1 138 ,   490 ,  1 808 ,   973 ,   355 ,  1 007 
,Curta duração,,   5 ,   14 ,   1 ,   7 ,   18 ,   13 ,   13 ,   2 ,   2 ,   2 
,Longa duração,,   28 ,   21 ,   2 ,   15 ,   65 ,   7 ,   6 ,   11 ,   5 ,   6 
,Longa e curta duração,,   3 ,   14 ,   2 ,   3 ,   30 ,   17 ,   2 ,   4 ,   6 ,   2 
,Completa,,   29 ,   54 ,   14 ,   39 ,   79 ,   40 ,   35 ,   12 ,   11 ,   24 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Sem actividade,,   181 ,   730 ,   160 ,   322 ,   823 ,   111 ,   408 ,   185 ,   181 ,   232 
,Tempo parcial,,   791 ,   893 ,   439 ,   715 ,  1 030 ,   417 ,  1 708 ,   930 ,   357 ,   906 
,,> 0 - < 25%,   619 ,   326 ,   221 ,   395 ,   619 ,   362 ,   692 ,   477 ,   201 ,   654 
,,25 - < 50%,   100 ,   328 ,   128 ,   199 ,   237 ,   26 ,   491 ,   140 ,   52 ,   205 
,,50 - < 75%,   45 ,   83 ,   49 ,   71 ,   94 ,   17 ,   313 ,   67 ,   27 ,   28 
,,75 - < 100%,   27 ,   156 ,   41 ,   50 ,   80 ,   12 ,   212 ,   246 ,   77 ,   19 
,Tempo completo,,   158 ,   162 ,   176 ,   60 ,   252 ,   156 ,   56 ,   54 ,   11 ,   85 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,   325 ,   552 ,   189 ,   313 ,   616 ,   182 ,   488 ,   235 ,   161 ,   341 
