Principais características da População Familiar - Homem (Serra da Estrela),,,,,,
,,,,,,1999
,,,,,,pág. 5/15
,,,Serra da Estrela,Fornos de Algodres,Gouveia,Seia
,,,nº de indivíduos,,,
Homem,,,,,,
População familiar,,,"6,444","1,074","1,970","3,400"
Nível de instrução,,,,,,
,Não sabe ler nem escrever,,922,228,248,446
,Sabe ler e escrever,,910,137,294,479
,Básico - 1º ciclo,,"2,760",433,854,"1,473"
,Básico - 2º ciclo,,691,103,205,383
,Básico - 3º ciclo,,506,71,149,286
,Secundário agrícola,,19,2,8,9
,Secundário não agrícola,,405,61,134,210
,Politécnico / Superior agrícola,,25,5,7,13
,Politécnico / Superior não agrícola,,206,34,71,101
Formação profissional agrícola,,,,,,
,Exclusivamente prática,,"5,359",919,"1,639","2,801"
,Curta duração,,81,8,41,32
,Longa duração,,37,6,12,19
,Longa e curta duração,,22,- ,13,9
,Completa,,44,7,15,22
Tempo de actividade agrícola ,,,,,,
,Sem actividade,,964,133,260,571
,Tempo parcial,,"5,168",864,"1,589","2,715"
,,> 0 - < 25%,"2,369",469,645,"1,255"
,,25 - < 50%,"1,541",223,536,782
,,50 - < 75%,575,83,204,288
,,75 - < 100%,683,89,204,390
,Tempo completo,,312,77,121,114
Actividades remuneradas exterior à exploração,,,,,,
,Principal,,"2,225",332,612,"1,281"
,,Sector primário,259,42,68,149
,,Sector secundário,"1,107",172,267,668
,,Sector terciário,859,118,277,464
,Secundária,,65,25,18,22
,,Sector primário,40,19,11,10
,,Sector secundário,9,2,2,5
,,Sector terciário,16,4,5,7
Situação na profissão exterior à exploração,,,,,,
,Patrão/empregador,,277,58,84,135
,Trabalhador por conta própria,,429,38,154,237
,Trabalhador por conta de outrem,,"1,562",256,386,920
,Trabalhador familiar remunerado,,11,5,3,3
,Outra situação,,11,- ,3,8
Dirigente na população familiar,,,"3,704",565,"1,232","1,907"
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,
