Principais características do Produtor Singular - Homem (Beira Interior Sul),,,,,,,
,,,,,,,1999
,,,,,,,pág. 11/15
,,,Beira Interior Sul,Castelo Branco,Idanha-a-Nova,Penamacor,Vila Velha de Rodão
,,,nº de indivíduos,,,,
Homem,,,,,,,
Produtor singular,,,"7,565","3,769","1,651","1,256",889
,Autónomo,,"7,257","3,655","1,510","1,226",866
,Empresário,,308,114,141,30,23
Nível de instrução,,,,,,,
,Não sabe ler nem escrever,,"1,583",725,430,336,92
,Sabe ler e escrever,,"1,136",575,187,226,148
,Básico - 1º ciclo,,"3,567","1,884",735,501,447
,Básico - 2º ciclo,,457,176,94,98,89
,Básico - 3º ciclo,,342,180,78,30,54
,Secundário agrícola,,24,4,13,5,2
,Secundário não agrícola,,216,116,42,27,31
,Politécnico / Superior agrícola,,57,34,16,4,3
,Politécnico / Superior não agrícola,,183,75,56,29,23
Formação profissional agrícola,,,,,,,
,Exclusivamente prática,,"7,287","3,656","1,571","1,187",873
,Curta duração,,76,36,7,30,3
,Longa duração,,81,25,30,22,4
,Longa e curta duração,,40,14,14,8,4
,Completa,,81,38,29,9,5
Tempo de actividade agrícola ,,,,,,,
,Tempo parcial,,"7,115","3,512","1,503","1,229",871
,,> 0 - < 25%,"2,322",992,591,298,441
,,25 - < 50%,"1,795",984,308,292,211
,,50 - < 75%,"1,249",577,273,260,139
,,75 - < 100%,"1,749",959,331,379,80
,Tempo completo,,450,257,148,27,18
Actividades remuneradas exterior à exploração,,,,,,,
,Principal,,"2,120","1,147",422,301,250
,,Sector primário,257,103,81,42,31
,,Sector secundário,836,505,140,88,103
,,Sector terciário,"1,027",539,201,171,116
,Secúndária,,62,41,13,6,2
,,Sector primário,22,17,4,1,- 
,,Sector secundário,15,8,4,3,- 
,,Sector terciário,25,16,5,2,2
Situação na profissão exterior à exploração,,,,,,,
,Patrão/empregador,,334,196,75,31,32
,Trabalhador por conta própria,,357,213,57,60,27
,Trabalhador por conta de outrem,,"1,456",765,298,206,187
,Trabalhador familiar remunerado,,1,- ,- ,1,- 
,Outra situação,,34,14,5,9,6
Produtor singular dirigente,,,"7,493","3,735","1,642","1,240",876
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro."
