Principais características da população familiar (Homem/Mulher / Alentejo Central - Montemor-o-Novo),,,,,,,,,,,,
,,,,,,,,,,,,Pág 3/15
,,,Nisa,Ponte Sôr,Portalegre,Alentejo Central,Alandroal,Arraiolos,Borba,Estremoz,Évora,Montemor-o-Novo
Homem / Mulher (nº indivíduos),,,,,,,,,,,,
População familiar,,,  3 247 ,  4 977 ,  4 091 ,  23 360 ,  2 030 ,  1 037 ,  1 346 ,  2 825 ,  3 049 ,  2 130 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,   573 ,  1 338 ,   982 ,  3 748 ,   424 ,   132 ,   280 ,   552 ,   389 ,   330 
,Sabe ler e escrever,,   543 ,   632 ,   558 ,  3 121 ,   285 ,   150 ,   144 ,   345 ,   406 ,   257 
,Básico - 1º ciclo,,  1 219 ,  1 744 ,  1 306 ,  7 825 ,   760 ,   320 ,   447 ,   898 ,   923 ,   668 
,Básico - 2º ciclo,,   256 ,   451 ,   338 ,  2 365 ,   186 ,   110 ,   127 ,   292 ,   313 ,   188 
,Básico - 3º ciclo,,   247 ,   346 ,   352 ,  2 336 ,   185 ,   119 ,   140 ,   285 ,   323 ,   205 
,Secundário agrícola,,   24 ,   15 ,   43 ,   195 ,   7 ,   4 ,   9 ,   29 ,   43 ,   31 
,Secundário não agrícola,,   208 ,   269 ,   299 ,  1 976 ,   95 ,   110 ,   126 ,   239 ,   309 ,   209 
,Politécnico / Superior agrícola,,   23 ,   29 ,   26 ,   387 ,   14 ,   20 ,   10 ,   38 ,   110 ,   57 
,Politécnico / Superior não agrícola,,   154 ,   153 ,   187 ,  1 407 ,   74 ,   72 ,   63 ,   147 ,   233 ,   185 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,  2 536 ,  4 325 ,  3 234 ,  16 541 ,  1 765 ,   599 ,  1 006 ,  1 802 ,  1 966 ,  1 558 
,Curta duração,,   5 ,   21 ,   10 ,   293 ,   20 ,   9 ,   34 ,   26 ,   29 ,   8 
,Longa duração,,   24 ,   22 ,   35 ,   372 ,   23 ,   31 ,   4 ,   42 ,   73 ,   29 
,Longa e curta duração,,   14 ,   8 ,   37 ,   190 ,   17 ,   12 ,   21 ,   27 ,   11 ,   25 
,Completa,,   47 ,   44 ,   69 ,   582 ,   21 ,   24 ,   19 ,   67 ,   153 ,   88 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Sem actividade,,   778 ,   569 ,   875 ,  6 103 ,   269 ,   405 ,   296 ,   895 ,   965 ,   489 
,Tempo parcial,,  2 197 ,  4 107 ,  2 969 ,  14 862 ,  1 411 ,   466 ,   946 ,  1 603 ,  1 628 ,  1 386 
,,> 0 - < 25%,  1 057 ,  2 527 ,  1 760 ,  10 100 ,  1 190 ,   286 ,   594 ,  1 129 ,  1 154 ,   820 
,,25 - < 50%,   602 ,   931 ,   623 ,  2 502 ,   145 ,   96 ,   202 ,   276 ,   274 ,   275 
