Principais características do produtor singular (Mulher / Baixo Alentejo - Vidigueira),,,,,,,,,,,,,,
,,,,,,,,,,,,,,Pág 15/15
,,,Almodôvar,Alvito,Barrancos,Beja,Castro Verde,Cuba,Ferreira do Alentejo,Mértola,Moura,Ourique,Serpa,Vidigueira
Mulher (nº indivíduos),,,,,,,,,,,,,,
Produtor singular,,,   99 ,   32 ,   49 ,   192 ,   38 ,   46 ,   89 ,   96 ,   262 ,   96 ,   294 ,   98 
,Autónomo,,   95 ,   29 ,   44 ,   154 ,   29 ,   41 ,   82 ,   86 ,   215 ,   91 ,   245 ,   83 
,Empresário,,   4 ,   3 ,   5 ,   38 ,   9 ,   5 ,   7 ,   10 ,   47 ,   5 ,   49 ,   15 
Nível de instrução,,,,,,,,,,,,,,
,Não sabe ler nem escrever,,   22 ,   1 ,   13 ,   31 ,   3 ,   8 ,   11 ,   16 ,   49 ,   41 ,   62 ,   18 
,Sabe ler e escrever,,   21 ,   1 ,   9 ,   23 ,   6 ,   5 ,   7 ,   23 ,   48 ,   16 ,   59 ,   17 
,Básico - 1º ciclo,,   42 ,   15 ,   20 ,   72 ,   15 ,   21 ,   45 ,   47 ,   93 ,   26 ,   109 ,   35 
,Básico - 2º ciclo,,   4 ,   3 ,   2 ,   12 ,   4 ,   2 ,   10 ,   4 ,   22 ,   3 ,   20 ,   2 
,Básico - 3º ciclo,,   1 ,   4 ,- ,   22 ,   3 ,   4 ,   8 ,   2 ,   19 ,   4 ,   11 ,   13 
,Secundário agrícola,,- ,- ,- ,- ,- ,- ,   1 ,- ,   1 ,   1 ,   2 ,- 
,Secundário não agrícola,,   3 ,   2 ,- ,   6 ,   4 ,   1 ,   3 ,   4 ,   12 ,   2 ,   11 ,   7 
,Politécnico / Superior agrícola,,   1 ,   1 ,- ,   5 ,- ,   1 ,   2 ,- ,   2 ,- ,   1 ,   1 
,Politécnico / Superior não agrícola,,   5 ,   5 ,   5 ,   21 ,   3 ,   4 ,   2 ,- ,   16 ,   3 ,   19 ,   5 
Formação profissional agrícola,,,,,,,,,,,,,,
,Exclusivamente prática,,   97 ,   29 ,   49 ,   184 ,   36 ,   44 ,   83 ,   89 ,   230 ,   93 ,   283 ,   92 
,Curta duração,,- ,- ,- ,   1 ,   1 ,- ,   1 ,   1 ,   3 ,   2 ,- ,   1 
,Longa duração,,   1 ,   2 ,- ,   1 ,- ,   1 ,   2 ,   4 ,   17 ,- ,   6 ,   3 
,Longa e curta duração,,- ,- ,- ,   1 ,   1 ,- ,- ,   2 ,   9 ,- ,   2 ,   1 
,Completa,,   1 ,   1 ,- ,   5 ,- ,   1 ,   3 ,- ,   3 ,   1 ,   3 ,   1 
Tempo de actividade agrícola ,,,,,,,,,,,,,,
,Tempo parcial,,   95 ,   29 ,   49 ,   175 ,   31 ,   41 ,   73 ,   84 ,   261 ,   86 ,   269 ,   91 
,,> 0 - < 25%,   54 ,   17 ,   45 ,   120 ,   16 ,   38 ,   60 ,   53 ,   191 ,   64 ,   214 ,   80 
,,25 - < 50%,   21 ,   6 ,- ,   26 ,   7 ,   3 ,   4 ,   13 ,   23 ,   9 ,   28 ,   10 
,,50 - < 75%,   11 ,   1 ,   2 ,   15 ,   4 ,- ,   6 ,   9 ,   21 ,   3 ,   12 ,   1 
,,75 - < 100%,   9 ,   5 ,   2 ,   14 ,   4 ,- ,   3 ,   9 ,   26 ,   10 ,   15 ,- 
,Tempo completo,,   4 ,   3 ,- ,   17 ,   7 ,   5 ,   16 ,   12 ,   1 ,   10 ,   25 ,   7 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,,,
,Principal,,   11 ,   15 ,   9 ,   40 ,   6 ,   14 ,   18 ,   11 ,   57 ,   14 ,   63 ,   29 
,,Sector primário,   1 ,- ,- ,   1 ,   1 ,- ,   5 ,- ,   6 ,- ,   12 ,   2 
,,Sector secundário,- ,   1 ,- ,- ,- ,   1 ,- ,   2 ,   4 ,- ,   5 ,   3 
,,Sector terciário,   10 ,   14 ,   9 ,   39 ,   5 ,   13 ,   13 ,   9 ,   47 ,   14 ,   46 ,   24 
,Secundária,,   1 ,- ,   1 ,   2 ,   1 ,- ,- ,   1 ,   1 ,- ,   3 ,   1 
,,Sector primário,- ,- ,- ,   1 ,- ,- ,- ,   1 ,   1 ,- ,   1 ,- 
,,Sector secundário,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,   1 ,- 
,,Sector terciário,   1 ,- ,   1 ,   1 ,   1 ,- ,- ,- ,- ,- ,   1 ,   1 
Situação na profissão exterior à exploração,,,,,,,,,,,,,,
,Patrão/empregador,,- ,   2 ,- ,   3 ,   1 ,- ,   3 ,- ,   2 ,   2 ,   2 ,- 
,Trabalhador por conta própria,,   6 ,   4 ,   3 ,   5 ,   3 ,   4 ,   4 ,   4 ,   16 ,   2 ,   11 ,   10 
,Trabalhador por conta de outrem,,   6 ,   9 ,   6 ,   27 ,   3 ,   10 ,   11 ,   5 ,   38 ,   10 ,   50 ,   18 
,Trabalhador familiar remunerado,,- ,- ,- ,   1 ,- ,- ,- ,   2 ,- ,- ,- ,   1 
,Outra situação,,- ,- ,   1 ,   6 ,- ,- ,- ,   1 ,   2 ,- ,   3 ,   1 
Produtor singular dirigente,,,   83 ,   31 ,   46 ,   158 ,   26 ,   46 ,   79 ,   91 ,   243 ,   91 ,   276 ,   90 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
