Principais características da população familiar (Homem/Mulher / Baixo Alentejo - Vidigueira),,,,,,,,,,,,,,
,,,,,,,,,,,,,,Pág 5/15
,,,Almodôvar,Alvito,Barrancos,Beja,Castro Verde,Cuba,Ferreira do Alentejo,Mértola,Moura,Ourique,Serpa,Vidigueira
Homem / Mulher (nº indivíduos),,,,,,,,,,,,,,
População familiar,,,  2 038 ,   548 ,   694 ,  3 261 ,   782 ,  1 132 ,  1 945 ,  1 950 ,  4 258 ,  1 689 ,  4 940 ,  1 623 
Nível de instrução,,,,,,,,,,,,,,
,Não sabe ler nem escrever,,   508 ,   75 ,   115 ,   504 ,   83 ,   234 ,   262 ,   355 ,   683 ,   490 ,   913 ,   310 
,Sabe ler e escrever,,   332 ,   48 ,   97 ,   322 ,   86 ,   138 ,   177 ,   339 ,   566 ,   215 ,   782 ,   194 
,Básico - 1º ciclo,,   697 ,   204 ,   219 ,   984 ,   315 ,   382 ,   772 ,   699 ,  1 465 ,   538 ,  1 570 ,   524 
,Básico - 2º ciclo,,   207 ,   57 ,   104 ,   385 ,   91 ,   104 ,   218 ,   209 ,   650 ,   166 ,   597 ,   159 
,Básico - 3º ciclo,,   132 ,   66 ,   38 ,   461 ,   86 ,   120 ,   214 ,   150 ,   386 ,   133 ,   467 ,   188 
,Secundário agrícola,,   2 ,   19 ,   1 ,   49 ,   8 ,   29 ,   8 ,   12 ,   27 ,   14 ,   48 ,   14 
,Secundário não agrícola,,   81 ,   31 ,   85 ,   254 ,   76 ,   71 ,   192 ,   98 ,   263 ,   75 ,   292 ,   147 
,Politécnico / Superior agrícola,,   11 ,   17 ,   5 ,   86 ,   12 ,   9 ,   20 ,   22 ,   40 ,   13 ,   49 ,   28 
,Politécnico / Superior não agrícola,,   68 ,   31 ,   30 ,   216 ,   25 ,   45 ,   82 ,   66 ,   178 ,   45 ,   222 ,   59 
Formação profissional agrícola,,,,,,,,,,,,,,
,Exclusivamente prática,,  1 700 ,   336 ,   326 ,  1 602 ,   598 ,   660 ,  1 447 ,  1 282 ,  2 586 ,  1 318 ,  3 300 ,  1 123 
,Curta duração,,   10 ,   2 ,   2 ,   7 ,   32 ,   2 ,   18 ,   17 ,   35 ,   12 ,   19 ,   50 
,Longa duração,,   25 ,   3 ,   3 ,   70 ,   10 ,   11 ,   41 ,   42 ,   124 ,   16 ,   75 ,   29 
,Longa e curta duração,,   6 ,   2 ,   2 ,   20 ,   3 ,   8 ,   17 ,   15 ,   51 ,   7 ,   64 ,   27 
,Completa,,   13 ,   36 ,   6 ,   135 ,   20 ,   38 ,   28 ,   34 ,   67 ,   27 ,   97 ,   42 
Tempo de actividade agrícola ,,,,,,,,,,,,,,
,Sem actividade,,   419 ,   202 ,   360 ,  1 469 ,   136 ,   462 ,   428 ,   581 ,  1 468 ,   357 ,  1 557 ,   419 
,Tempo parcial,,  1 485 ,   273 ,   331 ,  1 460 ,   536 ,   589 ,  1 276 ,  1 153 ,  2 742 ,  1 143 ,  2 999 ,  1 051 
,,> 0 - < 25%,   910 ,   129 ,   258 ,   775 ,   346 ,   414 ,  1 065 ,   633 ,  1 853 ,   904 ,  2 084 ,   751 
,,25 - < 50%,   293 ,   69 ,   34 ,   402 ,   98 ,   115 ,   115 ,   277 ,   341 ,   121 ,   413 ,   193 
,,50 - < 75%,   131 ,   12 ,   16 ,   156 ,   34 ,   23 ,   60 ,   133 ,   211 ,   53 ,   211 ,   40 
,,75 - < 100%,   151 ,   63 ,   23 ,   127 ,   58 ,   37 ,   36 ,   110 ,   337 ,   65 ,   291 ,   67 
,Tempo completo,,   134 ,   73 ,   3 ,   332 ,   110 ,   81 ,   241 ,   216 ,   48 ,   189 ,   384 ,   153 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,,,
,Principal,,   448 ,   167 ,   220 ,   979 ,   164 ,   313 ,   471 ,   400 ,  1 136 ,   408 ,  1 311 ,   502 
,,Sector primário,   88 ,   23 ,   28 ,   162 ,   51 ,   79 ,   160 ,   116 ,   284 ,   97 ,   360 ,   99 
,,Sector secundário,   108 ,   41 ,   51 ,   99 ,   19 ,   30 ,   52 ,   57 ,   238 ,   55 ,   221 ,   68 
,,Sector terciário,   252 ,   103 ,   141 ,   718 ,   94 ,   204 ,   259 ,   227 ,   614 ,   256 ,   730 ,   335 
,Seundária,,   17 ,- ,   1 ,   60 ,   4 ,   13 ,   10 ,   17 ,   14 ,   27 ,   54 ,   10 
,,Sector primário,   6 ,- ,- ,   32 ,   1 ,   9 ,   4 ,   7 ,   10 ,   13 ,   22 ,   3 
,,Sector secundário,   4 ,- ,- ,   2 ,- ,- ,- ,   2 ,   2 ,   6 ,   10 ,   1 
,,Sector terciário,   7 ,- ,   1 ,   26 ,   3 ,   4 ,   6 ,   8 ,   2 ,   8 ,   22 ,   6 
Situação na profissão exterior à exploração,,,,,,,,,,,,,,
,Patrão/empregador,,   12 ,   20 ,   18 ,   119 ,   20 ,   35 ,   47 ,   25 ,   72 ,   30 ,   106 ,   16 
,Trabalhador por conta própria,,   110 ,   14 ,   40 ,   162 ,   41 ,   47 ,   88 ,   104 ,   208 ,   92 ,   198 ,   131 
,Trabalhador por conta de outrem,,   343 ,   129 ,   159 ,   652 ,   105 ,   234 ,   331 ,   270 ,   841 ,   305 ,  1 034 ,   353 
,Trabalhador familiar remunerado,,- ,   2 ,- ,   16 ,   2 ,   1 ,   6 ,   15 ,   10 ,   7 ,   6 ,   5 
,Outra situação,,- ,   2 ,   4 ,   90 ,- ,   9 ,   9 ,   3 ,   19 ,   1 ,   21 ,   7 
Dirigente na população familiar,,,   713 ,   215 ,   276 ,  1 130 ,   252 ,   425 ,   710 ,   684 ,  1 542 ,   639 ,  1 809 ,   590 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
