Origem do rendimento do agregado doméstico do produtor singular (Página 6),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 6/6
,,,Penafiel,Resende,Ribeira de Pena,Entre Douro e Vouga,Arouca,Oliveira de Azeméis,Santa Maria da Feira,São João da Madeira,Vale de Cambra
,,,expl. (nº),,,,,,,,
Total explorações com produtor singular,,,"1,864","1,230",879,"5,047","1,678","1,056",976,- ,"1,337"
Exclusivamente da actividade da exploração,,,81,124,144,413,150,90,72,- ,101
Principalmente da actividade da exploração,,,376,364,309,"1,398",479,428,261,- ,230
,Salários do sector primário,,33,109,40,95,45,18,23,- ,9
,,1ª opção,19,93,23,87,42,15,21,- ,9
,,2ª opção,14,16,17,6,3,2,1,- ,- 
,,3ª opção,- ,- ,- ,2,- ,1,1,- ,- 
,Salários do sector secúndário,,145,47,38,526,150,220,97,- ,59
,,1ª opção,102,45,27,379,114,164,49,- ,52
,,2ª opção,38,1,11,140,36,54,43,- ,7
,,3ª opção,5,1,- ,7,- ,2,5,- ,- 
,Salários do sector terciário,,90,35,32,270,85,95,63,- ,27
,,1ª opção,47,28,21,144,48,46,30,- ,20
,,2ª opção,38,6,10,118,34,45,32,- ,7
,,3ª opção,5,1,1,8,3,4,1,- ,- 
,Actividade empresarial,,26,18,7,43,14,18,1,- ,10
,,1ª opção,22,15,7,40,14,15,1,- ,10
,,2ª opção,4,2,- ,3,- ,3,- ,- ,- 
,,3ª opção,- ,1,- ,- ,- ,- ,- ,- ,- 
,Pensões rurais/reformas,,217,189,244,843,294,227,174,- ,148
,,1ª opção,176,164,219,683,248,157,152,- ,126
,,2ª opção,35,24,24,144,44,58,21,- ,21
,,3ª opção,6,1,1,16,2,12,1,- ,1
,Juros e dividendos,,4,7,13,12,- ,5,4,- ,3
,,1ª opção,3,5,2,9,- ,4,2,- ,3
,,2ª opção,1,2,10,2,- ,- ,2,- ,- 
,,3ª opção,- ,- ,1,1,- ,1,- ,- ,- 
,Remessas de emigrantes,,- ,3,10,7,- ,1,4,- ,2
,,1ª opção,- ,3,4,2,- ,1,1,- ,- 
,,2ª opção,- ,- ,4,5,- ,- ,3,- ,2
,,3ª opção,- ,- ,2,- ,- ,- ,- ,- ,- 
,Outras,,9,22,15,93,16,54,8,- ,15
,,1ª opção,7,11,6,54,13,26,5,- ,10
,,2ª opção,2,9,8,32,3,21,3,- ,5
,,3ª opção,- ,2,1,7,- ,7,- ,- ,- 
Principalmente origem exterior à actividade da exploração,,,"1,407",742,426,"3,236","1,049",538,643,- ,"1,006"
,Salários do sector primário,,84,121,35,152,84,17,30,- ,21
,,1ª opção,49,73,18,90,60,11,8,- ,11
,,2ª opção,23,40,16,51,20,6,19,- ,6
,,3ª opção,12,8,1,11,4,- ,3,- ,4
,Salários do sector secúndário,,668,148,86,"1,567",492,267,337,- ,471
,,1ª opção,429,115,65,"1,193",365,211,229,- ,388
,,2ª opção,205,30,21,338,118,48,94,- ,78
,,3ª opção,34,3,- ,36,9,8,14,- ,5
,Salários do sector terciário,,534,227,84,817,268,110,197,- ,242
,,1ª opção,299,160,65,450,164,49,102,- ,135
,,2ª opção,204,62,17,315,81,54,83,- ,97
,,3ª opção,31,5,2,52,23,7,12,- ,10
,Actividade empresarial,,187,105,24,286,109,57,39,- ,81
,,1ª opção,146,88,20,231,89,51,20,- ,71
,,2ª opção,34,14,4,48,16,4,18,- ,10
,,3ª opção,7,3,- ,7,4,2,1,- ,- 
,Pensões rurais/reformas,,725,428,281,"1,763",538,288,351,- ,586
,,1ª opção,449,288,238,"1,141",342,177,258,- ,364
,,2ª opção,220,117,37,524,170,94,74,- ,186
,,3ª opção,56,23,6,98,26,17,19,- ,36
,Juros e dividendos,,11,9,6,45,4,26,10,- ,5
,,1ª opção,2,5,- ,18,1,8,5,- ,4
,,2ª opção,8,4,6,25,3,17,5,- ,- 
,,3ª opção,1,- ,- ,2,- ,1,- ,- ,1
,Remessas de emigrantes,,5,9,23,48,19,4,2,- ,23
,,1ª opção,4,6,16,35,16,1,1,- ,17
,,2ª opção,1,2,6,12,3,3,- ,- ,6
,,3ª opção,- ,1,1,1,- ,- ,1,- ,- 
,Outras,,62,44,9,183,25,77,46,- ,35
,,1ª opção,29,7,4,78,12,30,20,- ,16
,,2ª opção,28,24,4,80,11,34,21,- ,14
,,3ª opção,5,13,1,25,2,13,5,- ,5
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,
