Principais características da população familiar (Homem/Mulher - Ilha de São Miguel - Vila Franca do Campo),,,,,,,,,,,
,,,,,,,,,,,Pág. 3/6
Homem/Mulher,,,AÇORES,Ilha de Santa Maria (Vila Porto),Ilha de São Miguel,Lagoa,Nordeste,Ponta Delgada,Povoação,Ribeira Grande,Vila Franca do Campo
População familiar (nº indivíduos),,,  68 340 ,  1 952 ,  28 325 ,  2 320 ,  2 321 ,  10 942 ,  2 315 ,  6 861 ,  3 566 
Nível de instrução,,,,,,,,,,,
,Não sabe ler nem escrever,,  9 646 ,   328 ,  4 138 ,   309 ,   351 ,  1 492 ,   374 ,  1 027 ,   585 
,Sabe ler e escrever,,  8 387 ,   249 ,  3 806 ,   304 ,   286 ,  1 426 ,   295 ,   933 ,   562 
,Básico - 1º ciclo,,  25 069 ,   692 ,  8 521 ,   784 ,   789 ,  3 011 ,   766 ,  1 965 ,  1 206 
,Básico - 2º ciclo,,  12 062 ,   383 ,  6 055 ,   434 ,   484 ,  2 521 ,   478 ,  1 524 ,   614 
,Básico - 3º ciclo,,  7 365 ,   197 ,  3 100 ,   246 ,   262 ,  1 272 ,   244 ,   739 ,   337 
,Secundário agrícola,,   80 ,- ,   9 ,   2 ,- ,   4 ,- ,   2 ,   1 
,Secundário não agrícola,,  4 152 ,   83 ,  1 899 ,   165 ,   112 ,   846 ,   114 ,   461 ,   201 
,Politécnico / Superior agrícola,,   170 ,   3 ,   72 ,   7 ,   3 ,   27 ,   3 ,   27 ,   5 
,Politécnico / Superior não agrícola,,  1 409 ,   17 ,   725 ,   69 ,   34 ,   343 ,   41 ,   183 ,   55 
Formação profissional agrícola,,,,,,,,,,,
,Exclusivamente prática,,  46 026 ,  1 253 ,  22 282 ,  1 838 ,  1 827 ,  8 618 ,  1 876 ,  5 309 ,  2 814 
,Curta duração,,   780 ,   32 ,   353 ,   19 ,   77 ,   108 ,   33 ,   96 ,   20 
,Longa duração,,   384 ,   3 ,   169 ,   12 ,   11 ,   79 ,   11 ,   36 ,   20 
,Longa e curta duração,,   291 ,- ,   79 ,   14 ,   1 ,   29 ,   4 ,   14 ,   17 
,Completa,,   250 ,   3 ,   81 ,   9 ,   3 ,   31 ,   3 ,   29 ,   6 
Tempo de actividade agrícola ,,,,,,,,,,,
,Sem actividade,,  23 618 ,   685 ,  7 528 ,   342 ,   653 ,  2 855 ,   758 ,  2 349 ,   571 
,Tempo parcial,,  41 197 ,  1 250 ,  19 146 ,  1 886 ,  1 553 ,  7 339 ,  1 425 ,  4 080 ,  2 863 
,,> 0 - < 25%,  32 478 ,   833 ,  16 760 ,  1 653 ,  1 224 ,  6 710 ,  1 237 ,  3 415 ,  2 521 
,,25 - < 50%,  5 152 ,   286 ,  1 400 ,   127 ,   168 ,   430 ,   112 ,   411 ,   152 
,,50 - < 75%,  1 703 ,   72 ,   505 ,   66 ,   59 ,   134 ,   37 ,   137 ,   72 
,,75 - < 100%,  1 864 ,   59 ,   481 ,   40 ,   102 ,   65 ,   39 ,   117 ,   118 
,Tempo completo,,  3 525 ,   17 ,  1 651 ,   92 ,   115 ,   748 ,   132 ,   432 ,   132 
Actividades remuneradas exterior à exploração,,,,,,,,,,,
,Principal,,  19 141 ,   616 ,  7 818 ,   695 ,   563 ,  3 176 ,   568 ,  1 908 ,   908 
Sector primário,,,  2 171 ,   48 ,  1 110 ,   115 ,   69 ,   330 ,   89 ,   278 ,   229 
Sector secundário,,,  4 357 ,   129 ,  1 839 ,   152 ,   101 ,   653 ,   160 ,   478 ,   295 
Sector terciário,,,  12 613 ,   439 ,  4 869 ,   428 ,   393 ,  2 193 ,   319 ,  1 152 ,   384 
,Secundária,,   438 ,   8 ,   178 ,   21 ,   24 ,   45 ,   10 ,   61 ,   17 
Sector primário,,,   182 ,   2 ,   86 ,   11 ,   10 ,   19 ,   7 ,   24 ,   15 
Sector secundário,,,   71 ,   2 ,   15 ,   2 ,   4 ,   3 ,- ,   6 ,- 
Sector terciário,,,   185 ,   4 ,   77 ,   8 ,   10 ,   23 ,   3 ,   31 ,   2 
Situação na profissão exterior à exploração,,,,,,,,,,,
,,Patrão/empregador,  1 257 ,   19 ,   524 ,   45 ,   15 ,   199 ,   46 ,   153 ,   66 
,,Trabalhador por conta própria,  1 877 ,   55 ,   785 ,   92 ,   57 ,   290 ,   65 ,   202 ,   79 
,,Trabalhador por conta de outrem,  16 067 ,   534 ,  6 517 ,   552 ,   510 ,  2 698 ,   460 ,  1 532 ,   765 
,,Trabalhador familiar remunerado,   141 ,   4 ,   100 ,   12 ,   3 ,   25 ,   5 ,   41 ,   14 
,,Outra situação,   237 ,   12 ,   70 ,   15 ,   2 ,   9 ,   2 ,   41 ,   1 
Dirigente na população familiar,,,  19 042 ,   575 ,  7 246 ,   556 ,   665 ,  2 828 ,   660 ,  1 690 ,   847 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
