Principais características do produtor singular (Homem/Mulher - Ilha do Pico - Laje do Pico),,,,,,,,,,,
,,,,,,,,,,,Pág. 2/9
Homem / Mulher,,,Ilha Terceira,Angra do Heroísmo,Vila Praia da Vitória,Ilha da Graciosa (Sta C.Grac.),Ilha de São Jorge,Calheta,Velas,Ilha do Pico,Lajes do Pico
Produtor singular,,,  4 464 ,  2 592 ,  1 872 ,   921 ,  1 279 ,   641 ,   638 ,  2 640 ,  1 002 
,Autónomo,,  4 354 ,  2 512 ,  1 842 ,   909 ,  1 234 ,   607 ,   627 ,  2 624 ,   999 
,Empresário,,   110 ,   80 ,   30 ,   12 ,   45 ,   34 ,   11 ,   16 ,   3 
Nível de instrução,,,,,,,,,,,
,Não sabe ler nem escrever,,   502 ,   263 ,   239 ,   176 ,   141 ,   68 ,   73 ,   179 ,   51 
,Sabe ler e escrever,,   321 ,   178 ,   143 ,   108 ,   241 ,   153 ,   88 ,   285 ,   118 
,Básico - 1º ciclo,,  2 598 ,  1 493 ,  1 105 ,   508 ,   712 ,   339 ,   373 ,  1 684 ,   621 
,Básico - 2º ciclo,,   487 ,   298 ,   189 ,   79 ,   118 ,   52 ,   66 ,   252 ,   116 
,Básico - 3º ciclo,,   322 ,   188 ,   134 ,   29 ,   37 ,   19 ,   18 ,   125 ,   57 
,Secundário agrícola,,   5 ,   4 ,   1 ,- ,- ,- ,- ,   2 ,   1 
,Secundário não agrícola,,   111 ,   78 ,   33 ,   13 ,   21 ,   5 ,   16 ,   76 ,   25 
,Politécnico / Superior agrícola,,   31 ,   26 ,   5 ,   2 ,   3 ,   2 ,   1 ,   6 ,   1 
,Politécnico / Superior não agrícola,,   87 ,   64 ,   23 ,   6 ,   6 ,   3 ,   3 ,   31 ,   12 
Formação profissional agrícola,,,,,,,,,,,
,Exclusivamente prática,,  4 130 ,  2 343 ,  1 787 ,   908 ,  1 170 ,   601 ,   569 ,  2 517 ,   939 
,Curta duração,,   127 ,   92 ,   35 ,   6 ,   54 ,   14 ,   40 ,   67 ,   34 
,Longa duração,,   84 ,   59 ,   25 ,   4 ,   34 ,   13 ,   21 ,   24 ,   13 
,Longa e curta duração,,   87 ,   68 ,   19 ,   1 ,   18 ,   11 ,   7 ,   24 ,   14 
,Completa,,   36 ,   30 ,   6 ,   2 ,   3 ,   2 ,   1 ,   8 ,   2 
Tempo de actividade agrícola ,,,,,,,,,,,
,Tempo parcial,,  3 708 ,  2 103 ,  1 605 ,   873 ,  1 162 ,   563 ,   599 ,  2 423 ,   896 
,,> 0 - < 25%,  1 984 ,  1 028 ,   956 ,   605 ,   465 ,   173 ,   292 ,  1 683 ,   619 
,,25 - < 50%,  1 065 ,   683 ,   382 ,   156 ,   271 ,   151 ,   120 ,   388 ,   117 
,,50 - < 75%,   265 ,   163 ,   102 ,   52 ,   148 ,   95 ,   53 ,   172 ,   64 
,,75 - < 100%,   394 ,   229 ,   165 ,   60 ,   278 ,   144 ,   134 ,   180 ,   96 
