Principais características da população familiar (Homens - Ilha de São Miguel - Vila Franca do Campo),,,,,,,,,,,
,,,,,,,,,,,Pág. 1/6
Homem,,,AÇORES,Ilha de Santa Maria (Vila Porto),Ilha de São Miguel,Lagoa,Nordeste,Ponta Delgada,Povoação,Ribeira Grande,Vila Franca do Campo
População familiar (nº indivíduos),,,  35 313 ,  1 038 ,  14 612 ,  1 201 ,  1 236 ,  5 564 ,  1 182 ,  3 559 ,  1 870 
Nível de instrução,,,,,,,,,,,
,Não sabe ler nem escrever,,  5 419 ,   192 ,  2 369 ,   181 ,   226 ,   832 ,   204 ,   577 ,   349 
,Sabe ler e escrever,,  3 701 ,   107 ,  1 696 ,   131 ,   128 ,   602 ,   140 ,   434 ,   261 
,Básico - 1º ciclo,,  13 288 ,   387 ,  4 650 ,   433 ,   440 ,  1 616 ,   411 ,  1 084 ,   666 
,Básico - 2º ciclo,,  6 700 ,   220 ,  3 251 ,   236 ,   257 ,  1 366 ,   247 ,   831 ,   314 
,Básico - 3º ciclo,,  3 823 ,   95 ,  1 555 ,   112 ,   133 ,   669 ,   114 ,   357 ,   170 
,Secundário agrícola,,   42 ,- ,   6 ,   1 ,- ,   4 ,- ,- ,   1 
,Secundário não agrícola,,  1 729 ,   28 ,   784 ,   72 ,   46 ,   335 ,   46 ,   200 ,   85 
,Politécnico / Superior agrícola,,   126 ,   3 ,   54 ,   6 ,   3 ,   19 ,   3 ,   20 ,   3 
,Politécnico / Superior não agrícola,,   485 ,   6 ,   247 ,   29 ,   3 ,   121 ,   17 ,   56 ,   21 
Formação profissional agrícola,,,,,,,,,,,
,Exclusivamente prática,,  25 670 ,   746 ,  11 263 ,   923 ,   927 ,  4 317 ,   946 ,  2 700 ,  1 450 
,Curta duração,,   725 ,   24 ,   342 ,   19 ,   77 ,   106 ,   32 ,   89 ,   19 
,Longa duração,,   358 ,   2 ,   159 ,   11 ,   10 ,   76 ,   11 ,   32 ,   19 
,Longa e curta duração,,   267 ,- ,   69 ,   13 ,   1 ,   25 ,   3 ,   12 ,   15 
,Completa,,   168 ,   3 ,   60 ,   7 ,   3 ,   23 ,   3 ,   20 ,   4 
Tempo de actividade agrícola ,,,,,,,,,,,
,Sem actividade,,  8 584 ,   270 ,  3 005 ,   172 ,   262 ,  1 134 ,   240 ,   915 ,   282 
,Tempo parcial,,  23 334 ,   752 ,  9 972 ,   937 ,   859 ,  3 693 ,   810 ,  2 217 ,  1 456 
,,> 0 - < 25%,  16 177 ,   464 ,  7 725 ,   714 ,   555 ,  3 105 ,   626 ,  1 602 ,  1 123 
,,25 - < 50%,  4 121 ,   197 ,  1 287 ,   119 ,   146 ,   396 ,   111 ,   369 ,   146 
,,50 - < 75%,  1 375 ,   47 ,   488 ,   64 ,   57 ,   131 ,   34 ,   131 ,   71 
,,75 - < 100%,  1 661 ,   44 ,   472 ,   40 ,   101 ,   61 ,   39 ,   115 ,   116 
,Tempo completo,,  3 395 ,   16 ,  1 635 ,   92 ,   115 ,   737 ,   132 ,   427 ,   132 
Actividades remuneradas exterior à exploração,,,,,,,,,,,
,Principal,,  13 187 ,   465 ,  5 505 ,   494 ,   381 ,  2 185 ,   417 ,  1 329 ,   699 
Sector primário,,,  2 026 ,   47 ,  1 079 ,   114 ,   66 ,   320 ,   89 ,   267 ,   223 
Sector secundário,,,  3 861 ,   119 ,  1 651 ,   138 ,   95 ,   588 ,   151 ,   406 ,   273 
Sector terciário,,,  7 300 ,   299 ,  2 775 ,   242 ,   220 ,  1 277 ,   177 ,   656 ,   203 
,Secundária,,   366 ,   7 ,   166 ,   20 ,   23 ,   42 ,   9 ,   55 ,   17 
Sector primário,,,   180 ,   2 ,   86 ,   11 ,   10 ,   19 ,   7 ,   24 ,   15 
Sector secundário,,,   55 ,   2 ,   15 ,   2 ,   4 ,   3 ,- ,   6 ,- 
Sector terciário,,,   131 ,   3 ,   65 ,   7 ,   9 ,   20 ,   2 ,   25 ,   2 
Situação na profissão exterior à exploração,,,,,,,,,,,
