Principais características da população familiar (Mulher / Alto Alentejo - Mora),,,,,,,,,,,,
,,,,,,,,,,,,Pág 12/15
,,,Avis,Campo Maior,Castelo de Vide,Crato,Elvas,Fronteira,Gavião,Marvão,Monforte,Mora
Homem (nº indivíduos),,,,,,,,,,,,
População familiar,,,   544 ,   863 ,   385 ,   526 ,  1 008 ,   331 ,  1 077 ,   565 ,   256 ,   594 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,   93 ,   155 ,   108 ,   98 ,   153 ,   45 ,   281 ,   167 ,   49 ,   118 
,Sabe ler e escrever,,   64 ,   124 ,   47 ,   68 ,   97 ,   50 ,   217 ,   70 ,   41 ,   58 
,Básico - 1º ciclo,,   184 ,   259 ,   109 ,   212 ,   309 ,   101 ,   380 ,   210 ,   81 ,   227 
,Básico - 2º ciclo,,   38 ,   67 ,   43 ,   43 ,   134 ,   32 ,   56 ,   34 ,   23 ,   41 
,Básico - 3º ciclo,,   54 ,   108 ,   18 ,   17 ,   103 ,   39 ,   47 ,   41 ,   19 ,   57 
,Secundário agrícola,,   1 ,   5 ,   1 ,   9 ,   14 ,   1 ,   5 ,   1 ,- ,   3 
,Secundário não agrícola,,   47 ,   75 ,   35 ,   39 ,   99 ,   34 ,   40 ,   19 ,   22 ,   42 
,Politécnico / Superior agrícola,,   5 ,   11 ,   2 ,   4 ,   13 ,   5 ,   6 ,- ,   1 ,   3 
,Politécnico / Superior não agrícola,,   58 ,   59 ,   22 ,   36 ,   86 ,   24 ,   45 ,   23 ,   20 ,   45 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,   452 ,   350 ,   267 ,   307 ,   443 ,   248 ,   844 ,   452 ,   134 ,   481 
,Curta duração,,   1 ,   4 ,- ,   3 ,   2 ,   8 ,   3 ,- ,- ,- 
,Longa duração,,   7 ,   6 ,- ,   2 ,   21 ,   3 ,   4 ,   4 ,- ,   1 
,Longa e curta duração,,   1 ,   3 ,   1 ,   2 ,   3 ,   4 ,- ,   2 ,- ,- 
,Completa,,   6 ,   16 ,   3 ,   13 ,   27 ,   6 ,   11 ,   1 ,   1 ,   6 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Sem actividade,,   106 ,   504 ,   117 ,   212 ,   545 ,   62 ,   294 ,   121 ,   128 ,   152 
,Tempo parcial,,   411 ,   331 ,   220 ,   310 ,   426 ,   228 ,   777 ,   437 ,   127 ,   426 
,,> 0 - < 25%,   357 ,   116 ,   117 ,   213 ,   290 ,   205 ,   385 ,   267 ,   89 ,   361 
,,25 - < 50%,   29 ,   110 ,   60 ,   73 ,   83 ,   10 ,   221 ,   42 ,   20 ,   59 
,,50 - < 75%,   16 ,   39 ,   22 ,   14 ,   30 ,   8 ,   107 ,   32 ,   6 ,   3 
,,75 - < 100%,   9 ,   66 ,   21 ,   10 ,   23 ,   5 ,   64 ,   96 ,   12 ,   3 
,Tempo completo,,   27 ,   28 ,   48 ,   4 ,   37 ,   41 ,   6 ,   7 ,   1 ,   16 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,   145 ,   192 ,   72 ,   115 ,   264 ,   75 ,   159 ,   83 ,   67 ,   128 
,,Sector primário,   18 ,   9 ,   1 ,   3 ,   36 ,   18 ,   20 ,   2 ,   14 ,   27 
,,Sector secundário,   16 ,   50 ,   3 ,   9 ,   23 ,   2 ,   5 ,   12 ,   5 ,   20 
,,Sector terciário,   111 ,   133 ,   68 ,   103 ,   205 ,   55 ,   134 ,   69 ,   48 ,   81 
,Seundária,,   2 ,- ,   1 ,- ,   1 ,   1 ,   1 ,- ,- ,   2 
,,Sector primário,   2 ,- ,- ,- ,   1 ,- ,- ,- ,- ,   2 
,,Sector secundário,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sector terciário,- ,- ,   1 ,- ,- ,   1 ,   1 ,- ,- ,- 
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,   10 ,   29 ,   3 ,   11 ,   35 ,   4 ,   3 ,   4 ,   5 ,   14 
,Trabalhador por conta própria,,   24 ,   9 ,   18 ,   14 ,   38 ,   15 ,   25 ,   20 ,   12 ,   13 
,Trabalhador por conta de outrem,,   111 ,   154 ,   52 ,   88 ,   192 ,   56 ,   132 ,   58 ,   48 ,   102 
,Trabalhador familiar remunerado,,   1 ,- ,- ,   1 ,- ,   1 ,- ,- ,   2 ,   1 
,Outra situação,,   1 ,- ,- ,   1 ,- ,- ,- ,   1 ,- ,- 
Dirigente na população familiar,,,   90 ,   98 ,   46 ,   82 ,   137 ,   27 ,   164 ,   67 ,   26 ,   68 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
