Principais características do produtor singular (Homem/Mulher / Alto Alentejo - Mora),,,,,,,,,,,,
,,,,,,,,,,,,Pág 2/15
,,,Avis,Campo Maior,Castelo de Vide,Crato,Elvas,Fronteira,Gavião,Marvão,Monforte,Mora
Homem / Mulher (nº indivíduos),,,,,,,,,,,,
Produtor singular,,,   437 ,   651 ,   298 ,   450 ,   767 ,   234 ,   958 ,   554 ,   222 ,   502 
,Autónomo,,   370 ,   528 ,   271 ,   441 ,   633 ,   208 ,   932 ,   540 ,   189 ,   444 
,Empresário,,   67 ,   123 ,   27 ,   9 ,   134 ,   26 ,   26 ,   14 ,   33 ,   58 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,   61 ,   106 ,   94 ,   72 ,   91 ,   28 ,   201 ,   169 ,   28 ,   89 
,Sabe ler e escrever,,   35 ,   65 ,   27 ,   67 ,   66 ,   32 ,   157 ,   55 ,   33 ,   36 
,Básico - 1º ciclo,,   210 ,   309 ,   112 ,   213 ,   308 ,   104 ,   459 ,   243 ,   101 ,   277 
,Básico - 2º ciclo,,   27 ,   49 ,   25 ,   27 ,   85 ,   17 ,   57 ,   30 ,   20 ,   18 
,Básico - 3º ciclo,,   33 ,   43 ,   6 ,   27 ,   67 ,   14 ,   46 ,   31 ,   17 ,   29 
,Secundário agrícola,,   3 ,   3 ,   2 ,   6 ,   12 ,   1 ,   2 ,   1 ,   1 ,   3 
,Secundário não agrícola,,   18 ,   22 ,   10 ,   17 ,   49 ,   10 ,   15 ,   12 ,   9 ,   11 
,Politécnico / Superior agrícola,,   14 ,   24 ,   4 ,   12 ,   30 ,   16 ,   4 ,   4 ,   8 ,   9 
,Politécnico / Superior não agrícola,,   36 ,   30 ,   18 ,   9 ,   59 ,   12 ,   17 ,   9 ,   5 ,   30 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,   394 ,   588 ,   289 ,   416 ,   652 ,   199 ,   939 ,   536 ,   203 ,   484 
,Curta duração,,   4 ,   13 ,   1 ,   3 ,   13 ,   5 ,   9 ,   2 ,   2 ,   1 
,Longa duração,,   21 ,   13 ,   1 ,   11 ,   42 ,   4 ,   2 ,   9 ,   3 ,   4 
,Longa e curta duração,,   1 ,   10 ,   1 ,   2 ,   18 ,   9 ,   2 ,   2 ,   5 ,   1 
,Completa,,   17 ,   27 ,   6 ,   18 ,   42 ,   17 ,   6 ,   5 ,   9 ,   12 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Tempo parcial,,   293 ,   511 ,   170 ,   395 ,   562 ,   124 ,   913 ,   506 ,   212 ,   432 
,,> 0 - < 25%,   176 ,   200 ,   64 ,   177 ,   285 ,   91 ,   273 ,   215 ,   95 ,   254 
,,25 - < 50%,   66 ,   178 ,   62 ,   129 ,   155 ,   15 ,   279 ,   102 ,   34 ,   144 
,,50 - < 75%,   33 ,   44 ,   26 ,   47 ,   63 ,   10 ,   210 ,   41 ,   18 ,   21 
,,75 - < 100%,   18 ,   89 ,   18 ,   42 ,   59 ,   8 ,   151 ,   148 ,   65 ,   13 
,Tempo completo,,   144 ,   140 ,   128 ,   55 ,   205 ,   110 ,   45 ,   48 ,   10 ,   70 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
