Principais características do produtor singular (Homem / Alentejo Central - Montemor-o-Novo),,,,,,,,,,,,
,,,,,,,,,,,,Pág 8/15
,,,Nisa,Ponte Sôr,Portalegre,Alentejo Central,Alandroal,Arraiolos,Borba,Estremoz,Évora,Montemor-o-Novo
Homem (nº indivíduos),,,,,,,,,,,,
Produtor singular,,,  1 104 ,  1 545 ,  1 386 ,  7 162 ,   681 ,   311 ,   427 ,   886 ,   871 ,   631 
,Autónomo,,  1 085 ,  1 493 ,  1 349 ,  6 423 ,   649 ,   263 ,   377 ,   809 ,   773 ,   543 
,Empresário,,   19 ,   52 ,   37 ,   739 ,   32 ,   48 ,   50 ,   77 ,   98 ,   88 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,   200 ,   423 ,   366 ,  1 129 ,   165 ,   33 ,   81 ,   148 ,   120 ,   94 
,Sabe ler e escrever,,   187 ,   191 ,   174 ,   929 ,   79 ,   37 ,   61 ,   103 ,   117 ,   74 
,Básico - 1º ciclo,,   516 ,   702 ,   586 ,  3 339 ,   340 ,   148 ,   192 ,   416 ,   362 ,   287 
,Básico - 2º ciclo,,   61 ,   94 ,   78 ,   499 ,   33 ,   25 ,   33 ,   63 ,   64 ,   36 
,Básico - 3º ciclo,,   59 ,   59 ,   77 ,   465 ,   30 ,   21 ,   29 ,   61 ,   66 ,   37 
,Secundário agrícola,,   9 ,   6 ,   7 ,   53 ,   1 ,- ,   1 ,   8 ,   13 ,   7 
,Secundário não agrícola,,   31 ,   33 ,   49 ,   300 ,   10 ,   20 ,   13 ,   38 ,   46 ,   33 
,Politécnico / Superior agrícola,,   9 ,   13 ,   11 ,   167 ,   7 ,   10 ,   6 ,   14 ,   42 ,   29 
,Politécnico / Superior não agrícola,,   32 ,   24 ,   38 ,   281 ,   16 ,   17 ,   11 ,   35 ,   41 ,   34 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,  1 059 ,  1 491 ,  1 334 ,  6 468 ,   650 ,   276 ,   380 ,   805 ,   766 ,   558 
,Curta duração,,   3 ,   15 ,   6 ,   188 ,   8 ,   6 ,   27 ,   19 ,   17 ,   4 
,Longa duração,,   12 ,   16 ,   16 ,   181 ,   8 ,   13 ,   3 ,   28 ,   30 ,   14 
,Longa e curta duração,,   12 ,   4 ,   12 ,   105 ,   7 ,   6 ,   10 ,   12 ,   3 ,   19 
,Completa,,   18 ,   19 ,   18 ,   220 ,   8 ,   10 ,   7 ,   22 ,   55 ,   36 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Tempo parcial,,   903 ,  1 345 ,  1 238 ,  5 504 ,   495 ,   191 ,   349 ,   644 ,   582 ,   450 
,,> 0 - < 25%,   354 ,   611 ,   549 ,  2 908 ,   399 ,   122 ,   151 ,   340 ,   352 ,   148 
,,25 - < 50%,   256 ,   389 ,   303 ,  1 208 ,   62 ,   41 ,   99 ,   172 ,   119 ,   129 
,,50 - < 75%,   157 ,   180 ,   140 ,   693 ,   20 ,   18 ,   45 ,   109 ,   79 ,   87 
,,75 - < 100%,   136 ,   165 ,   246 ,   695 ,   14 ,   10 ,   54 ,   23 ,   32 ,   86 
,Tempo completo,,   201 ,   200 ,   148 ,  1 658 ,   186 ,   120 ,   78 ,   242 ,   289 ,   181 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,   294 ,   551 ,   410 ,  2 572 ,   205 ,   103 ,   167 ,   297 ,   345 ,   223 
,,Sector primário,   38 ,   139 ,   48 ,   630 ,   52 ,   27 ,   27 ,   68 ,   74 ,   70 
,,Sector secundário,   96 ,   205 ,   161 ,   720 ,   77 ,   22 ,   69 ,   79 ,   84 ,   51 
,,Sector terciário,   160 ,   207 ,   201 ,  1 222 ,   76 ,   54 ,   71 ,   150 ,   187 ,   102 
,Secundária,,   1 ,   8 ,   9 ,   86 ,- ,   6 ,   7 ,   9 ,   10 ,   6 
,,Sector primário,   1 ,   2 ,   5 ,   35 ,- ,- ,   1 ,   5 ,   3 ,   4 
,,Sector secundário,- ,   2 ,   2 ,   14 ,- ,   2 ,   2 ,   1 ,   2 ,   1 
,,Sector terciário,- ,   4 ,   2 ,   37 ,- ,   4 ,   4 ,   3 ,   5 ,   1 
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,   39 ,   53 ,   54 ,   448 ,   15 ,   17 ,   40 ,   66 ,   62 ,   42 
,Trabalhador por conta própria,,   62 ,   115 ,   55 ,   557 ,   44 ,   38 ,   25 ,   66 ,   68 ,   49 
,Trabalhador por conta de outrem,,   193 ,   389 ,   309 ,  1 625 ,   145 ,   51 ,   105 ,   173 ,   220 ,   135 
,Trabalhador familiar remunerado,,   1 ,- ,- ,   15 ,- ,   3 ,   4 ,   1 ,   2 ,   2 
,Outra situação,,- ,   2 ,   1 ,   13 ,   1 ,- ,- ,- ,   3 ,   1 
Produtor singular dirigente,,,  1 098 ,  1 542 ,  1 379 ,  7 079 ,   678 ,   306 ,   416 ,   880 ,   858 ,   626 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
