Principais características do produtor singular (Homem / Baixo Alentejo - Aljustrel),,,,,,,,,,,,
,,,,,,,,,,,,Pág 9/15
,,,Mourão,Portel,Redondo,Reguengos de Monsaraz,Sousel,Vendas Novas,Viana do Alentejo,Vila Viçosa,Baixo Alentejo,Aljustrel
Homem (nº indivíduos),,,,,,,,,,,,
Produtor singular,,,   303 ,   594 ,   542 ,   798 ,   411 ,   199 ,   258 ,   250 ,  8 005 ,   384 
,Autónomo,,   273 ,   558 ,   470 ,   704 ,   359 ,   183 ,   228 ,   234 ,  7 124 ,   359 
,Empresário,,   30 ,   36 ,   72 ,   94 ,   52 ,   16 ,   30 ,   16 ,   881 ,   25 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,   31 ,   110 ,   97 ,   95 ,   45 ,   19 ,   47 ,   44 ,  1 420 ,   52 
,Sabe ler e escrever,,   44 ,   81 ,   63 ,   142 ,   39 ,   22 ,   36 ,   31 ,  1 060 ,   32 
,Básico - 1º ciclo,,   144 ,   290 ,   252 ,   350 ,   230 ,   114 ,   105 ,   109 ,  3 804 ,   191 
,Básico - 2º ciclo,,   27 ,   39 ,   37 ,   71 ,   26 ,   11 ,   16 ,   18 ,   606 ,   42 
,Básico - 3º ciclo,,   21 ,   35 ,   31 ,   57 ,   31 ,   14 ,   17 ,   15 ,   493 ,   35 
,Secundário agrícola,,   1 ,   3 ,   6 ,   3 ,   3 ,   1 ,   4 ,   2 ,   61 ,- 
,Secundário não agrícola,,   16 ,   13 ,   25 ,   37 ,   16 ,   9 ,   13 ,   11 ,   227 ,   7 
,Politécnico / Superior agrícola,,   2 ,   9 ,   12 ,   11 ,   7 ,   4 ,   9 ,   5 ,   152 ,   16 
,Politécnico / Superior não agrícola,,   17 ,   14 ,   19 ,   32 ,   14 ,   5 ,   11 ,   15 ,   182 ,   9 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,   282 ,   554 ,   484 ,   692 ,   374 ,   176 ,   233 ,   238 ,  7 288 ,   356 
,Curta duração,,   7 ,   5 ,   21 ,   53 ,   7 ,   10 ,   3 ,   1 ,   132 ,   2 
,Longa duração,,   7 ,   19 ,   15 ,   16 ,   17 ,   3 ,   6 ,   2 ,   259 ,   8 
,Longa e curta duração,,   4 ,   4 ,   4 ,   23 ,   3 ,   5 ,   3 ,   2 ,   113 ,   2 
,Completa,,   3 ,   12 ,   18 ,   14 ,   10 ,   5 ,   13 ,   7 ,   213 ,   16 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Tempo parcial,,   298 ,   481 ,   447 ,   757 ,   311 ,   132 ,   171 ,   196 ,  6 303 ,   216 
,,> 0 - < 25%,   140 ,   346 ,   310 ,   219 ,   211 ,   27 ,   56 ,   87 ,  3 451 ,   147 
