Principais características do produtor singular (Mulher / Alto Alentejo - Mora),,,,,,,,,,,,
,,,,,,,,,,,,Pág 12/15
,,,Avis,Campo Maior,Castelo de Vide,Crato,Elvas,Fronteira,Gavião,Marvão,Monforte,Mora
Mulher (nº indivíduos),,,,,,,,,,,,
Produtor singular,,,   93 ,   102 ,   51 ,   89 ,   135 ,   36 ,   169 ,   78 ,   28 ,   80 
,Autónomo,,   77 ,   76 ,   44 ,   89 ,   107 ,   30 ,   165 ,   73 ,   24 ,   64 
,Empresário,,   16 ,   26 ,   7 ,- ,   28 ,   6 ,   4 ,   5 ,   4 ,   16 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,   14 ,   11 ,   6 ,   15 ,   14 ,   1 ,   49 ,   16 ,   3 ,   14 
,Sabe ler e escrever,,   16 ,   18 ,   7 ,   19 ,   13 ,   8 ,   35 ,   7 ,   6 ,   8 
,Básico - 1º ciclo,,   31 ,   35 ,   22 ,   36 ,   47 ,   13 ,   63 ,   41 ,   12 ,   34 
,Básico - 2º ciclo,,   4 ,   11 ,   4 ,   5 ,   10 ,   3 ,   8 ,   4 ,   3 ,   7 
,Básico - 3º ciclo,,   9 ,   9 ,   2 ,   2 ,   14 ,   4 ,   7 ,   3 ,   1 ,   4 
,Secundário agrícola,,- ,   1 ,- ,   3 ,   5 ,- ,- ,   1 ,- ,- 
,Secundário não agrícola,,   7 ,   6 ,   3 ,   7 ,   12 ,   1 ,   2 ,   1 ,   1 ,   5 
,Politécnico / Superior agrícola,,   2 ,   3 ,   2 ,- ,   3 ,   2 ,- ,- ,   1 ,- 
,Politécnico / Superior não agrícola,,   10 ,   8 ,   5 ,   2 ,   17 ,   4 ,   5 ,   5 ,   1 ,   8 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,   87 ,   91 ,   49 ,   83 ,   117 ,   31 ,   167 ,   74 ,   27 ,   79 
,Curta duração,,- ,   3 ,- ,   1 ,   1 ,- ,   2 ,- ,- ,- 
,Longa duração,,   4 ,   2 ,- ,   1 ,   8 ,   1 ,- ,   2 ,- ,   1 
,Longa e curta duração,,- ,   2 ,- ,   1 ,   1 ,   2 ,- ,   1 ,- ,- 
,Completa,,   2 ,   4 ,   2 ,   3 ,   8 ,   2 ,- ,   1 ,   1 ,- 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Tempo parcial,,   77 ,   85 ,   44 ,   87 ,   119 ,   25 ,   168 ,   73 ,   28 ,   70 
,,> 0 - < 25%,   59 ,   52 ,   25 ,   55 ,   76 ,   18 ,   82 ,   41 ,   18 ,   53 
,,25 - < 50%,   9 ,   16 ,   12 ,   24 ,   29 ,   3 ,   43 ,   13 ,   4 ,   15 
,,50 - < 75%,   7 ,   7 ,   5 ,   3 ,   8 ,   3 ,   25 ,   9 ,- ,   2 
,,75 - < 100%,   2 ,   10 ,   2 ,   5 ,   6 ,   1 ,   18 ,   10 ,   6 ,- 
,Tempo completo,,   16 ,   17 ,   7 ,   2 ,   16 ,   11 ,   1 ,   5 ,- ,   10 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,   24 ,   22 ,   13 ,   15 ,   39 ,   5 ,   26 ,   11 ,   5 ,   14 
,,Sector primário,   3 ,   2 ,- ,- ,   4 ,   1 ,   5 ,   1 ,- ,- 
,,Sector secundário,- ,   2 ,   1 ,   3 ,   1 ,- ,- ,   2 ,- ,   4 
,,Sector terciário,   21 ,   18 ,   12 ,   12 ,   34 ,   4 ,   21 ,   8 ,   5 ,   10 
,Secundária,,   1 ,- ,- ,- ,   1 ,- ,   1 ,- ,- ,- 
,,Sector primário,   1 ,- ,- ,- ,   1 ,- ,- ,- ,- ,- 
,,Sector secundário,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sector terciário,- ,- ,- ,- ,- ,- ,   1 ,- ,- ,- 
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,   1 ,   5 ,   2 ,   1 ,   4 ,   2 ,   2 ,   2 ,- ,   5 
,Trabalhador por conta própria,,   7 ,   1 ,   4 ,   2 ,   7 ,   1 ,   7 ,   4 ,   1 ,   1 
,Trabalhador por conta de outrem,,   17 ,   16 ,   7 ,   11 ,   29 ,   2 ,   18 ,   5 ,   4 ,   8 
,Trabalhador familiar remunerado,,- ,- ,- ,   1 ,- ,- ,- ,- ,- ,- 
,Outra situação,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Produtor singular dirigente,,,   90 ,   98 ,   44 ,   80 ,   133 ,   26 ,   158 ,   67 ,   25 ,   68 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
