Principais características do produtor singular (Homem/Mulher / Alentejo Central - Montemor-o-Novo),,,,,,,,,,,,
,,,,,,,,,,,,Pág 3/15
,,,Nisa,Ponte Sôr,Portalegre,Alentejo Central,Alandroal,Arraiolos,Borba,Estremoz,Évora,Montemor-o-Novo
Homem / Mulher (nº indivíduos),,,,,,,,,,,,
Produtor singular,,,  1 388 ,  1 993 ,  1 617 ,  8 639 ,   877 ,   366 ,   498 ,  1 059 ,  1 065 ,   747 
,Autónomo,,  1 360 ,  1 929 ,  1 576 ,  7 725 ,   836 ,   301 ,   441 ,   962 ,   936 ,   632 
,Empresário,,   28 ,   64 ,   41 ,   914 ,   41 ,   65 ,   57 ,   97 ,   129 ,   115 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,   266 ,   593 ,   433 ,  1 415 ,   221 ,   36 ,   101 ,   187 ,   145 ,   109 
,Sabe ler e escrever,,   235 ,   268 ,   207 ,  1 198 ,   117 ,   48 ,   69 ,   138 ,   143 ,   90 
,Básico - 1º ciclo,,   638 ,   848 ,   673 ,  3 843 ,   408 ,   167 ,   220 ,   469 ,   418 ,   321 
,Básico - 2º ciclo,,   74 ,   113 ,   92 ,   583 ,   43 ,   28 ,   38 ,   71 ,   78 ,   39 
,Básico - 3º ciclo,,   69 ,   70 ,   87 ,   557 ,   40 ,   24 ,   32 ,   73 ,   78 ,   51 
,Secundário agrícola,,   12 ,   7 ,   8 ,   60 ,   2 ,- ,   1 ,   11 ,   14 ,   9 
,Secundário não agrícola,,   38 ,   42 ,   58 ,   380 ,   15 ,   28 ,   17 ,   49 ,   64 ,   40 
,Politécnico / Superior agrícola,,   10 ,   13 ,   11 ,   188 ,   8 ,   10 ,   6 ,   15 ,   50 ,   33 
,Politécnico / Superior não agrícola,,   46 ,   39 ,   48 ,   415 ,   23 ,   25 ,   14 ,   46 ,   75 ,   55 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,  1 338 ,  1 932 ,  1 551 ,  7 846 ,   833 ,   328 ,   448 ,   967 ,   937 ,   661 
,Curta duração,,   3 ,   17 ,   6 ,   208 ,   13 ,   6 ,   29 ,   20 ,   18 ,   6 
,Longa duração,,   13 ,   20 ,   20 ,   219 ,   11 ,   15 ,   3 ,   32 ,   40 ,   19 
,Longa e curta duração,,   12 ,   4 ,   21 ,   118 ,   10 ,   7 ,   11 ,   14 ,   6 ,   19 
,Completa,,   22 ,   20 ,   19 ,   248 ,   10 ,   10 ,   7 ,   26 ,   64 ,   42 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Tempo parcial,,  1 170 ,  1 749 ,  1 456 ,  6 822 ,   660 ,   236 ,   416 ,   794 ,   741 ,   551 
,,> 0 - < 25%,   522 ,   843 ,   685 ,  3 887 ,   539 ,   148 ,   201 ,   465 ,   467 ,   207 
,,25 - < 50%,   318 ,   483 ,   346 ,  1 390 ,   78 ,   48 ,   108 ,   186 ,   141 ,   145 
