Principais características da população familiar (Homem / Baixo Alentejo - Vidigueira),,,,,,,,,,,,,,
,,,,,,,,,,,,,,Pág 10/15
,,,Almodôvar,Alvito,Barrancos,Beja,Castro Verde,Cuba,Ferreira do Alentejo,Mértola,Moura,Ourique,Serpa,Vidigueira
Homem (nº indivíduos),,,,,,,,,,,,,,
População familiar,,,  1 101 ,   293 ,   369 ,  1 711 ,   418 ,   589 ,  1 040 ,  1 042 ,  2 205 ,   908 ,  2 628 ,   825 
Nível de instrução,,,,,,,,,,,,,,
,Não sabe ler nem escrever,,   264 ,   35 ,   57 ,   223 ,   40 ,   116 ,   125 ,   191 ,   300 ,   246 ,   411 ,   146 
,Sabe ler e escrever,,   166 ,   26 ,   40 ,   125 ,   42 ,   67 ,   80 ,   143 ,   248 ,   100 ,   365 ,   80 
,Básico - 1º ciclo,,   404 ,   113 ,   123 ,   555 ,   178 ,   204 ,   433 ,   398 ,   833 ,   321 ,   914 ,   299 
,Básico - 2º ciclo,,   123 ,   32 ,   60 ,   234 ,   54 ,   53 ,   123 ,   136 ,   355 ,   86 ,   377 ,   85 
,Básico - 3º ciclo,,   81 ,   36 ,   23 ,   261 ,   48 ,   71 ,   133 ,   87 ,   222 ,   80 ,   269 ,   106 
,Secundário agrícola,,   1 ,   11 ,   1 ,   35 ,   8 ,   20 ,   4 ,   8 ,   18 ,   9 ,   35 ,   5 
,Secundário não agrícola,,   32 ,   15 ,   48 ,   133 ,   35 ,   36 ,   98 ,   44 ,   131 ,   37 ,   142 ,   51 
,Politécnico / Superior agrícola,,   8 ,   9 ,   4 ,   61 ,   8 ,   3 ,   15 ,   15 ,   29 ,   9 ,   33 ,   25 
,Politécnico / Superior não agrícola,,   22 ,   16 ,   13 ,   84 ,   5 ,   19 ,   29 ,   20 ,   69 ,   20 ,   82 ,   28 
Formação profissional agrícola,,,,,,,,,,,,,,
,Exclusivamente prática,,   945 ,   209 ,   244 ,  1 106 ,   299 ,   437 ,   789 ,   743 ,  1 520 ,   731 ,  1 909 ,   585 
,Curta duração,,   6 ,   2 ,   2 ,   3 ,   28 ,   2 ,   16 ,   13 ,   28 ,   10 ,   18 ,   43 
,Longa duração,,   13 ,   1 ,   3 ,   65 ,   10 ,   9 ,   36 ,   35 ,   91 ,   14 ,   60 ,   22 
,Longa e curta duração,,   6 ,   1 ,   2 ,   13 ,   1 ,   8 ,   14 ,   12 ,   35 ,   6 ,   58 ,   23 
,Completa,,   9 ,   20 ,   5 ,   96 ,   16 ,   23 ,   19 ,   23 ,   47 ,   18 ,   68 ,   30 
Tempo de actividade agrícola ,,,,,,,,,,,,,,
,Sem actividade,,   175 ,   68 ,   114 ,   440 ,   71 ,   127 ,   175 ,   220 ,   514 ,   148 ,   554 ,   128 
,Tempo parcial,,   800 ,   168 ,   252 ,   961 ,   245 ,   394 ,   644 ,   625 ,  1 646 ,   606 ,  1 793 ,   564 
,,> 0 - < 25%,   409 ,   72 ,   193 ,   449 ,   126 ,   257 ,   499 ,   293 ,   975 ,   455 ,  1 185 ,   336 
,,25 - < 50%,   173 ,   45 ,   30 ,   301 ,   52 ,   87 ,   77 ,   167 ,   236 ,   72 ,   244 ,   140 
,,50 - < 75%,   85 ,   9 ,   12 ,   118 ,   19 ,   20 ,   39 ,   85 ,   162 ,   40 ,   133 ,   30 
,,75 - < 100%,   133 ,   42 ,   17 ,   93 ,   48 ,   30 ,   29 ,   80 ,   273 ,   39 ,   231 ,   58 
,Tempo completo,,   126 ,   57 ,   3 ,   310 ,   102 ,   68 ,   221 ,   197 ,   45 ,   154 ,   281 ,   133 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,,,
,Principal,,   329 ,   109 ,   158 ,   597 ,   102 ,   187 ,   289 ,   271 ,   746 ,   268 ,   834 ,   298 
,,Sector primário,   81 ,   20 ,   26 ,   138 ,   43 ,   64 ,   121 ,   97 ,   214 ,   78 ,   259 ,   74 
,,Sector secundário,   101 ,   39 ,   42 ,   89 ,   19 ,   29 ,   49 ,   54 ,   202 ,   51 ,   185 ,   58 
,,Sector terciário,   147 ,   50 ,   90 ,   370 ,   40 ,   94 ,   119 ,   120 ,   330 ,   139 ,   390 ,   166 
,Seundária,,   15 ,- ,- ,   56 ,   3 ,   13 ,   9 ,   14 ,   12 ,   26 ,   45 ,   8 
,,Sector primário,   6 ,- ,- ,   30 ,   1 ,   9 ,   3 ,   5 ,   8 ,   12 ,   17 ,   2 
,,Sector secundário,   4 ,- ,- ,   2 ,- ,- ,- ,   2 ,   2 ,   6 ,   8 ,   1 
,,Sector terciário,   5 ,- ,- ,   24 ,   2 ,   4 ,   6 ,   7 ,   2 ,   8 ,   20 ,   5 
Situação na profissão exterior à exploração,,,,,,,,,,,,,,
,Patrão/empregador,,   7 ,   17 ,   15 ,   82 ,   17 ,   29 ,   34 ,   18 ,   60 ,   20 ,   85 ,   13 
,Trabalhador por conta própria,,   73 ,   8 ,   24 ,   115 ,   23 ,   28 ,   53 ,   73 ,   130 ,   70 ,   130 ,   84 
,Trabalhador por conta de outrem,,   264 ,   81 ,   116 ,   395 ,   63 ,   139 ,   201 ,   188 ,   549 ,   200 ,   648 ,   205 
,Trabalhador familiar remunerado,,- ,   1 ,- ,   10 ,   2 ,- ,   5 ,   4 ,   7 ,   4 ,   2 ,   2 
,Outra situação,,- ,   2 ,   3 ,   51 ,- ,   4 ,   5 ,   2 ,   12 ,- ,   14 ,   2 
Dirigente na população familiar,,,   628 ,   184 ,   230 ,   972 ,   225 ,   379 ,   631 ,   592 ,  1 297 ,   548 ,  1 526 ,   498 
