Principais características da população familiar (Mulher / Baixo Alentejo - Vidigueira),,,,,,,,,,,,,,
,,,,,,,,,,,,,,Pág 15/15
,,,Almodôvar,Alvito,Barrancos,Beja,Castro Verde,Cuba,Ferreira do Alentejo,Mértola,Moura,Ourique,Serpa,Vidigueira
Homem (nº indivíduos),,,,,,,,,,,,,,
População familiar,,,   937 ,   255 ,   325 ,  1 550 ,   364 ,   543 ,   905 ,   908 ,  2 053 ,   781 ,  2 312 ,   798 
Nível de instrução,,,,,,,,,,,,,,
,Não sabe ler nem escrever,,   244 ,   40 ,   58 ,   281 ,   43 ,   118 ,   137 ,   164 ,   383 ,   244 ,   502 ,   164 
,Sabe ler e escrever,,   166 ,   22 ,   57 ,   197 ,   44 ,   71 ,   97 ,   196 ,   318 ,   115 ,   417 ,   114 
,Básico - 1º ciclo,,   293 ,   91 ,   96 ,   429 ,   137 ,   178 ,   339 ,   301 ,   632 ,   217 ,   656 ,   225 
,Básico - 2º ciclo,,   84 ,   25 ,   44 ,   151 ,   37 ,   51 ,   95 ,   73 ,   295 ,   80 ,   220 ,   74 
,Básico - 3º ciclo,,   51 ,   30 ,   15 ,   200 ,   38 ,   49 ,   81 ,   63 ,   164 ,   53 ,   198 ,   82 
,Secundário agrícola,,   1 ,   8 ,- ,   14 ,- ,   9 ,   4 ,   4 ,   9 ,   5 ,   13 ,   9 
,Secundário não agrícola,,   49 ,   16 ,   37 ,   121 ,   41 ,   35 ,   94 ,   54 ,   132 ,   38 ,   150 ,   96 
,Politécnico / Superior agrícola,,   3 ,   8 ,   1 ,   25 ,   4 ,   6 ,   5 ,   7 ,   11 ,   4 ,   16 ,   3 
,Politécnico / Superior não agrícola,,   46 ,   15 ,   17 ,   132 ,   20 ,   26 ,   53 ,   46 ,   109 ,   25 ,   140 ,   31 
Formação profissional agrícola,,,,,,,,,,,,,,
,Exclusivamente prática,,   755 ,   127 ,   82 ,   496 ,   299 ,   223 ,   658 ,   539 ,  1 066 ,   587 ,  1 391 ,   538 
,Curta duração,,   4 ,- ,- ,   4 ,   4 ,- ,   2 ,   4 ,   7 ,   2 ,   1 ,   7 
,Longa duração,,   12 ,   2 ,- ,   5 ,- ,   2 ,   5 ,   7 ,   33 ,   2 ,   15 ,   7 
,Longa e curta duração,,- ,   1 ,- ,   7 ,   2 ,- ,   3 ,   3 ,   16 ,   1 ,   6 ,   4 
,Completa,,   4 ,   16 ,   1 ,   39 ,   4 ,   15 ,   9 ,   11 ,   20 ,   9 ,   29 ,   12 
Tempo de actividade agrícola ,,,,,,,,,,,,,,
,Sem actividade,,   244 ,   134 ,   246 ,  1 029 ,   65 ,   335 ,   253 ,   361 ,   954 ,   209 ,  1 003 ,   291 
,Tempo parcial,,   685 ,   105 ,   79 ,   499 ,   291 ,   195 ,   632 ,   528 ,  1 096 ,   537 ,  1 206 ,   487 
,,> 0 - < 25%,   501 ,   57 ,   65 ,   326 ,   220 ,   157 ,   566 ,   340 ,   878 ,   449 ,   899 ,   415 
,,25 - < 50%,   120 ,   24 ,   4 ,   101 ,   46 ,   28 ,   38 ,   110 ,   105 ,   49 ,   169 ,   53 
,,50 - < 75%,   46 ,   3 ,   4 ,   38 ,   15 ,   3 ,   21 ,   48 ,   49 ,   13 ,   78 ,   10 
,,75 - < 100%,   18 ,   21 ,   6 ,   34 ,   10 ,   7 ,   7 ,   30 ,   64 ,   26 ,   60 ,   9 
,Tempo completo,,   8 ,   16 ,- ,   22 ,   8 ,   13 ,   20 ,   19 ,   3 ,   35 ,   103 ,   20 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,,,
,Principal,,   119 ,   58 ,   62 ,   382 ,   62 ,   126 ,   182 ,   129 ,   390 ,   140 ,   477 ,   204 
,,Sector primário,   7 ,   3 ,   2 ,   24 ,   8 ,   15 ,   39 ,   19 ,   70 ,   19 ,   101 ,   25 
,,Sector secundário,   7 ,   2 ,   9 ,   10 ,- ,   1 ,   3 ,   3 ,   36 ,   4 ,   36 ,   10 
,,Sector terciário,   105 ,   53 ,   51 ,   348 ,   54 ,   110 ,   140 ,   107 ,   284 ,   117 ,   340 ,   169 
,Seundária,,   2 ,- ,   1 ,   4 ,   1 ,- ,   1 ,   3 ,   2 ,   1 ,   9 ,   2 
,,Sector primário,- ,- ,- ,   2 ,- ,- ,   1 ,   2 ,   2 ,   1 ,   5 ,   1 
,,Sector secundário,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,   2 ,- 
,,Sector terciário,   2 ,- ,   1 ,   2 ,   1 ,- ,- ,   1 ,- ,- ,   2 ,   1 
Situação na profissão exterior à exploração,,,,,,,,,,,,,,
,Patrão/empregador,,   5 ,   3 ,   3 ,   37 ,   3 ,   6 ,   13 ,   7 ,   12 ,   10 ,   21 ,   3 
,Trabalhador por conta própria,,   37 ,   6 ,   16 ,   47 ,   18 ,   19 ,   35 ,   31 ,   78 ,   22 ,   68 ,   47 
,Trabalhador por conta de outrem,,   79 ,   48 ,   43 ,   257 ,   42 ,   95 ,   130 ,   82 ,   292 ,   105 ,   386 ,   148 
,Trabalhador familiar remunerado,,- ,   1 ,- ,   6 ,- ,   1 ,   1 ,   11 ,   3 ,   3 ,   4 ,   3 
,Outra situação,,- ,- ,   1 ,   39 ,- ,   5 ,   4 ,   1 ,   7 ,   1 ,   7 ,   5 
Dirigente na população familiar,,,   85 ,   31 ,   46 ,   158 ,   27 ,   46 ,   79 ,   92 ,   245 ,   91 ,   283 ,   92 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
