Principais culturas temporárias,,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 3/3
Região Agrária,,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,,Portimão,,,,,,,,,,,
,,,Culturas temporárias,281,659,256,639,43,20,4,4,41,16
,,,Cereais para grão,63,151,58,150,6,3,1,... ,5,2
,,,Leguminosas secas para grão,12,6,10,6,2,... ,- ,- ,2,... 
,,,Prados temporários,7,47,7,47,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,89,273,87,269,3,5,1,... ,2,... 
,,,Batata,63,14,41,12,24,2,- ,- ,24,2
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,184,140,162,130,30,10,2,... ,29,8
,,,Flores e plantas ornamentais,3,3,3,3,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,São Brás de Alportel,,,,,,,,,,,
,,,Culturas temporárias,190,250,152,211,63,39,4,2,60,37
,,,Cereais para grão,57,80,51,73,9,7,1,... ,8,7
,,,Leguminosas secas para grão,35,24,30,21,7,3,1,... ,7,2
,,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,39,57,35,51,7,6,1,... ,6,6
,,,Batata,65,13,58,12,7,1,- ,- ,7,1
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,131,75,98,53,44,22,1,... ,43,21
,,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Silves,,,,,,,,,,,
,,,Culturas temporárias,851,"2,595",797,"2,489",152,104,19,17,134,87
,,,Cereais para grão,529,"1,433",516,"1,388",55,45,8,11,47,34
,,,Leguminosas secas para grão,145,57,132,46,20,10,- ,- ,20,10
,,,Prados temporários,19,91,16,91,3,1,- ,- ,3,1
,,,Culturas forrageiras,163,625,158,611,18,14,3,2,15,12
,,,Batata,135,19,121,16,17,2,5,1,12,1
,,,Beterraba sacarina,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,2,... ,2,... ,- ,- ,- ,- ,- ,- 
