Principais culturas temporárias,,,,,,,,,,,,,
,,,Culturas hortícolas,352,216,301,183,73,33,5,3,69,30
,,,Flores e plantas ornamentais,5,8,5,8,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Tavira,,,,,,,,,,,
,,,Culturas temporárias,"1,349","2,367","1,201","2,102",528,264,165,30,411,234
,,,Cereais para grão,679,"1,496",635,"1,381",168,114,35,13,138,104
,,,Leguminosas secas para grão,400,201,346,183,73,16,7,o ,67,15
,,,Prados temporários,9,6,6,2,3,4,- ,- ,3,4
,,,Culturas forrageiras,409,326,318,267,141,59,93,10,51,49
,,,Batata,"1,054",108,896,94,192,15,17,o ,175,14
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,796,224,687,168,207,55,40,7,176,48
,,,Flores e plantas ornamentais,12,1,11,1,1,... ,- ,- ,1,... 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,130,5,121,5,11,1,3,o ,8,1
,,Vila do Bispo,,,,,,,,,,,
,,,Culturas temporárias,150,"1,403",150,"1,403",- ,- ,- ,- ,- ,- 
,,,Cereais para grão,111,"1,178",111,"1,178",- ,- ,- ,- ,- ,- 
,,,Leguminosas secas para grão,68,58,68,58,- ,- ,- ,- ,- ,- 
,,,Prados temporários,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,37,148,37,148,- ,- ,- ,- ,- ,- 
,,,Batata,16,5,16,5,- ,- ,- ,- ,- ,- 
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,67,16,67,16,- ,- ,- ,- ,- ,- 
,,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Vila Real de Santo António,,,,,,,,,,,
,,,Culturas temporárias,245,360,235,305,44,55,2,... ,42,54
,,,Cereais para grão,70,148,64,115,11,34,1,... ,10,33
,,,Leguminosas secas para grão,83,21,81,18,3,3,- ,- ,3,3
,,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,35,53,33,47,5,6,- ,- ,5,6
,,,Batata,108,17,95,15,16,2,- ,- ,16,2
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,220,121,209,110,18,10,1,... ,17,10
,,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,1,... ,1,... ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve.",,,,,,,,,,,,,
