Produtor singular segundo a OTE e as classes de idade  (Página 4),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 4/4
Região Agrária,,,,Bovinos              para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
,Nut III,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,
,,Loulé,,,,,,,,,,
,,,Total,1,100,7,307,28,5,12,144,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,2,- 
,,,25 - 34,- ,5,- ,6,1,- ,1,4,- 
,,,35 - 44,- ,7,2,19,1,- ,4,14,- 
,,,45 - 54,- ,16,2,38,8,- ,2,24,- 
,,,55 - 64,1,38,2,86,9,3,1,36,- 
,,,>= 65,- ,34,1,158,9,2,4,64,- 
,,Monchique,,,,,,,,,,
,,,Total,- ,45,74,158,19,35,17,97,- 
,,,15 - 24,- ,1,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,3,4,3,- ,2,- ,3,- 
,,,35 - 44,- ,5,12,9,4,9,- ,11,- 
,,,45 - 54,- ,6,17,22,2,3,- ,17,- 
,,,55 - 64,- ,14,24,41,8,15,8,33,- 
,,,>= 65,- ,16,17,83,5,6,9,33,- 
,,Olhão,,,,,,,,,,
,,,Total,- ,16,3,99,3,3,- ,20,1
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,2,- ,- ,- ,- ,- 
,,,35 - 44,- ,1,- ,7,- ,2,- ,1,1
,,,45 - 54,- ,5,- ,14,- ,1,- ,2,- 
,,,55 - 64,- ,3,2,31,2,- ,- ,11,- 
,,,>= 65,- ,7,1,45,1,- ,- ,6,- 
,,Portimão,,,,,,,,,,
,,,Total,- ,18,4,84,5,4,2,36,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,3,- ,- ,- ,- ,- 
,,,35 - 44,- ,3,- ,6,- ,2,1,8,- 
,,,45 - 54,- ,4,- ,10,- ,1,- ,8,- 
,,,55 - 64,- ,5,- ,26,4,- ,1,13,- 
,,,>= 65,- ,6,4,39,1,1,- ,7,- 
,,São Brás de Alportel,,,,,,,,,,
,,,Total,- ,21,2,63,3,1,4,32,2
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,2,- ,- ,- ,- ,- ,1,1
,,,35 - 44,- ,1,- ,2,- ,- ,- ,3,- 
,,,45 - 54,- ,1,1,8,- ,1,1,3,1
,,,55 - 64,- ,8,- ,14,- ,- ,3,12,- 
,,,>= 65,- ,9,1,39,3,- ,- ,13,- 
,,Silves,,,,,,,,,,
,,,Total,1,86,30,192,45,37,42,109,1
,,,15 - 24,- ,1,- ,3,1,- ,1,- ,- 
,,,25 - 34,- ,8,4,6,3,1,3,- ,- 
,,,35 - 44,- ,11,5,20,2,7,4,20,- 
,,,45 - 54,- ,17,6,29,17,11,5,18,- 
,,,55 - 64,1,18,6,46,15,8,11,33,1
,,,>= 65,- ,31,9,88,7,10,18,38,- 
,,Tavira,,,,,,,,,,
,,,Total,2,31,6,493,14,6,16,107,3
,,,15 - 24,- ,1,- ,1,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,1,7,- ,- ,1,1,- 
,,,35 - 44,- ,1,- ,27,3,1,- ,12,2
,,,45 - 54,- ,5,- ,65,4,1,2,21,- 
,,,55 - 64,2,9,1,147,5,2,2,25,- 
,,,>= 65,- ,15,4,246,2,2,11,48,1
,,Vila do Bispo,,,,,,,,,,
,,,Total,- ,16,1,33,6,1,14,6,1
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,1,- ,- ,- ,- ,1,- ,- 
,,,35 - 44,- ,2,- ,3,- ,- ,2,2,- 
,,,45 - 54,- ,1,- ,5,2,1,2,1,- 
,,,55 - 64,- ,9,1,12,1,- ,2,1,1
,,,>= 65,- ,3,- ,13,3,- ,7,2,- 
,,Vila Real de Santo António,,,,,,,,,,
,,,Total,1,14,1,93,2,1,1,7,- 
,,,15 - 24,- ,1,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,1,- ,- ,- ,- ,- 
,,,35 - 44,- ,2,- ,3,- ,- ,- ,- ,- 
,,,45 - 54,1,3,- ,16,1,- ,1,3,- 
,,,55 - 64,- ,4,- ,21,- ,- ,- ,2,- 
,,,>= 65,- ,4,1,52,1,1,- ,2,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve.",,,,,,,,,,,,
