Produtor singular segundo a OTE e as classes de idade  (Página 1),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 1/4
Região Agrária,,,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos                de leite,Bovinos para gado/carne
,Nut III,,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,,
Algarve,,,,,,,,,,,,,
,,,Total,"18,656",178,608,719,277,"9,642",228,"2,483",1,119
,,,15 - 24,45,- ,- ,9,1,13,- ,5,- ,- 
,,,25 - 34,372,4,6,54,5,164,2,15,- ,7
,,,35 - 44,"1,182",11,29,100,9,536,7,89,1,19
,,,45 - 54,"2,723",22,70,154,42,"1,401",24,292,- ,30
,,,55 - 64,"4,946",41,167,176,67,"2,473",47,666,- ,33
,,,>= 65,"9,388",100,336,226,153,"5,055",148,"1,416",- ,30
,Algarve,,,,,,,,,,,,
,,,Total,"18,656",178,608,719,277,"9,642",228,"2,483",1,119
,,,15 - 24,45,- ,- ,9,1,13,- ,5,- ,- 
,,,25 - 34,372,4,6,54,5,164,2,15,- ,7
,,,35 - 44,"1,182",11,29,100,9,536,7,89,1,19
,,,45 - 54,"2,723",22,70,154,42,"1,401",24,292,- ,30
,,,55 - 64,"4,946",41,167,176,67,"2,473",47,666,- ,33
,,,>= 65,"9,388",100,336,226,153,"5,055",148,"1,416",- ,30
,,Albufeira,,,,,,,,,,,
,,,Total,"1,127",1,11,3,18,877,6,97,- ,1
,,,15 - 24,2,- ,- ,- ,- ,1,- ,- ,- ,- 
,,,25 - 34,13,- ,- ,1,- ,9,1,- ,- ,- 
,,,35 - 44,69,1,- ,1,- ,50,- ,- ,- ,1
,,,45 - 54,177,- ,- ,- ,4,132,2,12,- ,- 
,,,55 - 64,290,- ,5,- ,5,218,1,34,- ,- 
,,,>= 65,576,- ,6,1,9,467,2,51,- ,- 
,,Alcoutim,,,,,,,,,,,
,,,Total,"1,036",3,11,5,2,405,28,240,- ,1
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,16,- ,- ,- ,- ,8,- ,2,- ,- 
,,,35 - 44,53,- ,- ,- ,- ,20,- ,9,- ,- 
,,,45 - 54,141,- ,2,4,1,44,5,34,- ,1
,,,55 - 64,271,1,2,1,1,92,11,64,- ,- 
,,,>= 65,555,2,7,- ,- ,241,12,131,- ,- 
,,Aljezur,,,,,,,,,,,
,,,Total,710,65,215,70,40,18,- ,7,- ,27
,,,15 - 24,1,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,12,1,2,- ,1,- ,- ,- ,- ,3
,,,35 - 44,38,3,10,5,- ,- ,- ,- ,- ,7
,,,45 - 54,87,11,18,8,4,1,- ,1,- ,8
,,,55 - 64,179,14,54,17,10,6,- ,4,- ,1
,,,>= 65,393,36,131,40,25,11,- ,2,- ,8
,,Castro Marim,,,,,,,,,,,
,,,Total,913,1,3,8,13,406,8,247,- ,3
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,11,- ,- ,- ,- ,3,- ,2,- ,- 
,,,35 - 44,50,- ,- ,2,2,21,- ,4,- ,- 
,,,45 - 54,122,- ,1,1,1,38,- ,33,- ,1
,,,55 - 64,220,1,2,1,2,84,1,65,- ,1
,,,>= 65,510,- ,- ,4,8,260,7,143,- ,1
,,Faro,,,,,,,,,,,
,,,Total,"1,531",1,16,251,3,914,9,161,- ,2
,,,15 - 24,15,- ,- ,8,- ,5,- ,1,- ,- 
,,,25 - 34,45,- ,- ,33,- ,9,- ,- ,- ,- 
,,,35 - 44,117,- ,- ,43,- ,53,- ,6,- ,- 
,,,45 - 54,246,- ,4,64,1,142,- ,14,- ,- 
,,,55 - 64,396,- ,3,62,- ,231,2,40,- ,1
,,,>= 65,712,1,9,41,2,474,7,100,- ,1
,,Lagoa,,,,,,,,,,,
,,,Total,484,1,25,4,47,245,1,79,- ,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,6,- ,1,- ,- ,4,- ,- ,- ,- 
,,,35 - 44,30,- ,- ,2,2,14,- ,5,- ,- 
,,,45 - 54,51,- ,3,- ,4,26,- ,5,- ,- 
,,,55 - 64,122,1,6,1,10,59,- ,23,- ,- 
,,,>= 65,275,- ,15,1,31,142,1,46,- ,- 
,,Lagos,,,,,,,,,,,
,,,Total,638,4,15,85,16,139,1,48,- ,25
,,,15 - 24,2,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,17,- ,- ,1,- ,2,- ,- ,- ,1
,,,35 - 44,47,- ,4,6,- ,11,- ,1,- ,4
,,,45 - 54,97,1,3,14,2,26,- ,4,- ,9
,,,55 - 64,170,- ,3,24,5,25,- ,13,- ,5
,,,>= 65,305,3,5,40,9,75,1,30,- ,6
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve.",,,,,,,,,,,,,
