Mão-de-obra agrícola não familiar permanente segundo o tempo de actividade ( Ilha de Porto Santo),,,,,,,
,,,,,,,Pág. 2/2
,,Porto Moniz,Ribeira Brava,Santa Cruz,Santana,São Vivente,Ilha de Porto Santo (P.Santo)
Tempo de actividade agrícola dos trabalhadores permanentes,,   25 ,   153 ,   156 ,   177 ,   31 ,   70 
Tempo parcial,,   4 ,   148 ,   29 ,   138 ,   27 ,   16 
,> 0 - < 25%,   1 ,   108 ,   7 ,   18 ,   5 ,- 
,25 - < 50%,   2 ,   30 ,   5 ,   32 ,   15 ,- 
,50 - < 75%,- ,   6 ,   6 ,   17 ,   6 ,   12 
,75 - < 100%,   1 ,   4 ,   11 ,   71 ,   1 ,   4 
Tempo completo,,   21 ,   5 ,   127 ,   39 ,   4 ,   54 
Homem,,   11 ,   131 ,   106 ,   118 ,   12 ,   65 
Tempo parcial,,   2 ,   128 ,   22 ,   89 ,   10 ,   14 
,> 0 - < 25%,   1 ,   95 ,   5 ,   12 ,   2 ,- 
,25 - < 50%,   1 ,   25 ,   4 ,   23 ,   7 ,- 
,50 - < 75%,- ,   5 ,   5 ,   8 ,   1 ,   11 
,75 - < 100%,- ,   3 ,   8 ,   46 ,- ,   3 
Tempo completo,,   9 ,   3 ,   84 ,   29 ,   2 ,   51 
Mulher,,   14 ,   22 ,   50 ,   59 ,   19 ,   5 
Tempo parcial,,   2 ,   20 ,   7 ,   49 ,   17 ,   2 
,> 0 - < 25%,- ,   13 ,   2 ,   6 ,   3 ,- 
,25 - < 50%,   1 ,   5 ,   1 ,   9 ,   8 ,- 
,50 - < 75%,- ,   1 ,   1 ,   9 ,   5 ,   1 
,75 - < 100%,   1 ,   1 ,   3 ,   25 ,   1 ,   1 
Tempo completo,,   12 ,   2 ,   43 ,   10 ,   2 ,   3 
Tempo de actividade agrícola dos dirigentes assalariados,,   2 ,   3 ,   18 ,   31 ,   9 ,   2 
Tempo parcial,,   2 ,   2 ,   10 ,   27 ,   9 ,   1 
,> 0 - < 25%,   1 ,- ,   4 ,   17 ,   3 ,- 
,25 - < 50%,- ,- ,   1 ,   6 ,   2 ,- 
,50 - < 75%,- ,   1 ,   2 ,   1 ,   3 ,- 
,75 - < 100%,   1 ,   1 ,   3 ,   3 ,   1 ,   1 
Tempo completo,,- ,   1 ,   8 ,   4 ,- ,   1 
Homem,,   1 ,   3 ,   15 ,   19 ,   4 ,   1 
Tempo parcial,,   1 ,   2 ,   8 ,   16 ,   4 ,- 
,> 0 - < 25%,   1 ,- ,   2 ,   11 ,   2 ,- 
