Principais características da população familiar (Homem),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Pág. 2/3
Homem (nº indivíduos),,,MADEIRA,Ilha da Madeira,Calheta,Câmara de Lobos,Funchal,Machico,Ponta do Sol,Porto Moniz,Ribeira Brava,Santa Cruz,Santana,São Vivente,Ilha de Porto Santo (P.Santo)
População familiar,,,  20 635 ,  20 389 ,  2 350 ,  2 715 ,  1 778 ,  2 010 ,  1 769 ,   771 ,  2 524 ,  1 978 ,  2 772 ,  1 722 ,   246 
Nível de instrução,,,,,,,,,,,,,,,
,Não sabe ler nem escrever,,  4 604 ,  4 569 ,   538 ,   565 ,   244 ,   393 ,   471 ,   152 ,   657 ,   314 ,   714 ,   521 ,   35 
,Sabe ler e escrever,,  2 405 ,  2 385 ,   334 ,   305 ,   157 ,   153 ,   219 ,   76 ,   376 ,   172 ,   383 ,   210 ,   20 
,Básico - 1º ciclo,,  7 168 ,  7 077 ,   853 ,   944 ,   659 ,   838 ,   553 ,   283 ,   766 ,   749 ,   850 ,   582 ,   91 
,Básico - 2º ciclo,,  2 880 ,  2 837 ,   280 ,   424 ,   227 ,   270 ,   246 ,   122 ,   320 ,   353 ,   401 ,   194 ,   43 
,Básico - 3º ciclo,,  2 110 ,  2 075 ,   215 ,   309 ,   248 ,   234 ,   147 ,   66 ,   264 ,   218 ,   244 ,   130 ,   35 
,Secundário agrícola,,   8 ,   8 ,- ,   1 ,- ,   1 ,   2 ,- ,- ,- ,   3 ,   1 ,- 
,Secundário não agrícola,,  1 082 ,  1 060 ,   108 ,   119 ,   157 ,   101 ,   100 ,   49 ,   99 ,   132 ,   135 ,   60 ,   22 
,Politécnico / Superior agrícola,,   13 ,   13 ,   1 ,- ,   2 ,- ,- ,   2 ,- ,   1 ,   6 ,   1 ,- 
,Politécnico / Superior não agrícola,,   365 ,   365 ,   21 ,   48 ,   84 ,   20 ,   31 ,   21 ,   42 ,   39 ,   36 ,   23 ,- 
Formação profissional agrícola,,,,,,,,,,,,,,,
,Exclusivamente prática,,  15 687 ,  15 558 ,  1 850 ,  2 107 ,  1 254 ,  1 557 ,  1 333 ,   537 ,  1 933 ,  1 549 ,  2 136 ,  1 302 ,   129 
,Curta duração,,   46 ,   44 ,   6 ,   8 ,   11 ,- ,   6 ,   3 ,   2 ,   6 ,   1 ,   1 ,   2 
,Longa duração,,   85 ,   85 ,   5 ,   17 ,   12 ,   1 ,   9 ,- ,   5 ,   15 ,   16 ,   5 ,- 
,Longa e curta duração,,   64 ,   64 ,- ,   20 ,   5 ,   2 ,   4 ,   1 ,   1 ,   11 ,   19 ,   1 ,- 
,Completa,,   21 ,   21 ,   1 ,   1 ,   2 ,   1 ,   2 ,   2 ,- ,   1 ,   9 ,   2 ,- 
Tempo de actividade agrícola ,,,,,,,,,,,,,,,
,Sem actividade,,  5 174 ,  5 059 ,   543 ,   634 ,   503 ,   480 ,   468 ,   265 ,   689 ,   412 ,   626 ,   439 ,   115 
,Tempo parcial,,  14 652 ,  14 527 ,  1 724 ,  1 937 ,  1 222 ,  1 530 ,  1 200 ,   490 ,  1 802 ,  1 340 ,  2 009 ,  1 273 ,   125 
,,> 0 - < 25%,  7 791 ,  7 779 ,   931 ,  1 224 ,   804 ,   843 ,   540 ,   200 ,   805 ,   739 ,   911 ,   782 ,   12 
,,25 - < 50%,  3 563 ,  3 531 ,   347 ,   418 ,   190 ,   433 ,   257 ,   115 ,   646 ,   357 ,   501 ,   267 ,   32 
,,50 - < 75%,  1 837 ,  1 778 ,   299 ,   160 ,   106 ,   101 ,   171 ,   144 ,   190 ,   145 ,   283 ,   179 ,   59 
,,75 - < 100%,  1 461 ,  1 439 ,   147 ,   135 ,   122 ,   153 ,   232 ,   31 ,   161 ,   99 ,   314 ,   45 ,   22 
,Tempo completo,,   809 ,   803 ,   83 ,   144 ,   53 ,- ,   101 ,   16 ,   33 ,   226 ,   137 ,   10 ,   6 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,,,,
,Principal,,  8 624 ,  8 513 ,   731 ,  1 306 ,   870 ,  1 039 ,   662 ,   215 ,  1 106 ,   987 ,   978 ,   619 ,   111 
,,Sector primário,  1 223 ,  1 213 ,   71 ,   185 ,   88 ,   217 ,   119 ,   3 ,   131 ,   115 ,   216 ,   68 ,   10 
,,Sector secundário,  3 667 ,  3 635 ,   378 ,   674 ,   252 ,   472 ,   311 ,   98 ,   538 ,   301 ,   325 ,   286 ,   32 
,,Sector terciário,  3 734 ,  3 665 ,   282 ,   447 ,   530 ,   350 ,   232 ,   114 ,   437 ,   571 ,   437 ,   265 ,   69 
,Secundária,,   156 ,   156 ,   2 ,   36 ,   7 ,   33 ,   6 ,   1 ,   15 ,   21 ,   32 ,   3 ,- 
,,Sector primário,   72 ,   72 ,   1 ,   30 ,   3 ,   2 ,   4 ,- ,   8 ,   4 ,   20 ,- ,- 
,,Sector secundário,   43 ,   43 ,   1 ,   4 ,   1 ,   17 ,   1 ,   1 ,   5 ,   6 ,   6 ,   1 ,- 
