Principais culturas temporárias (Ilha da Madeira - Câmara de Lobos),,,,,,,,,,,,
,,Batata,  1 595 ,   184 ,  1 490 ,   147 ,   557 ,   38 ,   192 ,   10 ,   477 ,   27 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   85 ,   5 ,   81 ,   5 ,   4 ,o ,   3 ,o ,   1 ,... 
,,Culturas hortícolas,   854 ,   54 ,   738 ,   36 ,   290 ,   16 ,   283 ,   15 ,   17 ,   1 
,,Flores e plantas ornamentais,   6 ,   1 ,   6 ,   1 ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,   10 ,o ,   6 ,o ,   4 ,o ,   3 ,o ,   1 ,... 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,  1 185 ,   77 ,   773 ,   38 ,   586 ,   39 ,   584 ,   39 ,   2 ,... 
,,Câmara de Lobos,,,,,,,,,,
,,Culturas temporárias,  1 136 ,   263 ,   906 ,   143 ,   835 ,   119 ,   529 ,   80 ,   351 ,   40 
,,Cereais para grão,   23 ,o ,   13 ,o ,   10 ,o ,   10 ,o ,- ,- 
,,Leguminosas secas para grão,   129 ,   6 ,   106 ,   5 ,   27 ,   1 ,   25 ,   1 ,   3 ,o 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   3 ,   3 ,   3 ,   3 ,- ,- ,- ,- ,- ,- 
,,Batata,   936 ,   143 ,   604 ,   66 ,   733 ,   77 ,   448 ,   46 ,   313 ,   30 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   9 ,   1 ,   9 ,   1 ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   679 ,   89 ,   408 ,   54 ,   362 ,   37 ,   282 ,   28 ,   83 ,   9 
,,Flores e plantas ornamentais,   19 ,   2 ,   18 ,   2 ,   1 ,... ,   1 ,... ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   330 ,   16 ,   246 ,   11 ,   97 ,   6 ,   92 ,   6 ,   5 ,o 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,
