Principais características do produtor singular (Homem / Mulher),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Pág 1/3
Homem / Mulher (nº de indivíduos),,,MADEIRA,Ilha da Madeira,Calheta,Câmara de Lobos,Funchal,Machico,Ponta do Sol,Porto Moniz,Ribeira Brava,Santa Cruz,Santana,São Vivente,Ilha de Porto Santo (P. Santo)
Produtor singular,,,  14 284 ,  14 150 ,  1 831 ,  1 736 ,  1 234 ,  1 320 ,  1 251 ,   581 ,  1 690 ,  1 085 ,  2 017 ,  1 405 ,   134 
,Autónomo,,  14 138 ,  14 004 ,  1 825 ,  1 633 ,  1 226 ,  1 318 ,  1 242 ,   581 ,  1 684 ,  1 076 ,  2 016 ,  1 403 ,   134 
,Empresário,,   146 ,   146 ,   6 ,   103 ,   8 ,   2 ,   9 ,- ,   6 ,   9 ,   1 ,   2 ,- 
Nível de instrução,,,,,,,,,,,,,,,
,Não sabe ler nem escrever,,  4 396 ,  4 369 ,   469 ,   527 ,   227 ,   452 ,   440 ,   143 ,   611 ,   269 ,   663 ,   568 ,   27 
,Sabe ler e escrever,,  2 547 ,  2 537 ,   365 ,   341 ,   185 ,   140 ,   255 ,   61 ,   398 ,   176 ,   402 ,   214 ,   10 
,Básico - 1º ciclo,,  6 181 ,  6 104 ,   907 ,   745 ,   608 ,   632 ,   450 ,   331 ,   591 ,   553 ,   762 ,   525 ,   77 
,Básico - 2º ciclo,,   618 ,   607 ,   57 ,   69 ,   64 ,   63 ,   60 ,   27 ,   46 ,   41 ,   137 ,   43 ,   11 
,Básico - 3º ciclo,,   277 ,   274 ,   19 ,   28 ,   80 ,   21 ,   23 ,   5 ,   21 ,   16 ,   29 ,   32 ,   3 
,Secundário agrícola,,   3 ,   3 ,- ,- ,- ,- ,   1 ,- ,- ,- ,   1 ,   1 ,- 
,Secundário não agrícola,,   160 ,   155 ,   8 ,   21 ,   37 ,   8 ,   13 ,   8 ,   12 ,   21 ,   18 ,   9 ,   5 
,Politécnico / Superior agrícola,,   8 ,   8 ,   1 ,- ,- ,- ,- ,   1 ,- ,   1 ,   4 ,   1 ,- 
,Politécnico / Superior não agrícola,,   94 ,   93 ,   5 ,   5 ,   33 ,   4 ,   9 ,   5 ,   11 ,   8 ,   1 ,   12 ,   1 
Formação profissional agrícola,,,,,,,,,,,,,,,
,Exclusivamente prática,,  14 107 ,  13 975 ,  1 815 ,  1 698 ,  1 215 ,  1 318 ,  1 234 ,   576 ,  1 682 ,  1 060 ,  1 979 ,  1 398 ,   132 
,Curta duração,,   46 ,   44 ,   5 ,   11 ,   10 ,   1 ,   4 ,   3 ,   2 ,   5 ,   1 ,   2 ,   2 
,Longa duração,,   70 ,   70 ,   10 ,   9 ,   7 ,- ,   8 ,   1 ,   4 ,   13 ,   15 ,   3 ,- 
