Mão-de-obra agrícola não familiar (UTA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA,,,Mão - de -obra não familiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha,,,Total,Permanente,,,Trabalhadores eventuais                                                      agrícolas,Trabalhadores eventuais agrícolas                                                           não contratados pelo                                                          produtor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concelho,,,,Total,Dirigente,Outros trabalhadores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADEIRA,,ind (nº),- ,  1 805 ,   393 ,  1 412 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,  1 961 ,  1 092 ,   163 ,   930 ,   866 ,   3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ilha da Madeira,ind (nº),- ,  1 735 ,   391 ,  1 344 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,  1 893 ,  1 027 ,   161 ,   867 ,   863 ,   3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calheta,ind (nº),- ,   186 ,   56 ,   130 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   139 ,   68 ,   16 ,   51 ,   71 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Câmara de Lobos,ind (nº),- ,   438 ,   138 ,   300 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   398 ,   221 ,   53 ,   169 ,   175 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Funchal,ind (nº),- ,   379 ,   110 ,   269 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   358 ,   266 ,   44 ,   222 ,   92 ,o ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Machico,ind (nº),- ,   65 ,   5 ,   60 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   80 ,   45 ,   4 ,   41 ,   35 ,o ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ponta do Sol,ind (nº),- ,   125 ,   19 ,   106 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   179 ,   82 ,   10 ,   72 ,   97 ,o ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Porto Moniz,ind (nº),- ,   25 ,   2 ,   23 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   60 ,   23 ,   1 ,   22 ,   37 ,o ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ribeira Brava,ind (nº),- ,   153 ,   3 ,   150 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   91 ,   37 ,   3 ,   35 ,   54 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Santa Cruz,ind (nº),- ,   156 ,   18 ,   138 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   230 ,   144 ,   14 ,   130 ,   86 ,o ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Santana,ind (nº),- ,   177 ,   31 ,   146 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   269 ,   125 ,   11 ,   114 ,   143 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,São Vicente,ind (nº),- ,   31 ,   9 ,   22 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   89 ,   16 ,   5 ,   11 ,   73 ,o ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ilha de Porto Santo ( Porto Santo ),ind (nº),- ,   70 ,   2 ,   68 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   68 ,   65 ,   2 ,   63 ,   3 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
