Produtor singular segundo a OTE e as classes de idade (Não classificados - Ilha da Madeira - Ponta do Sol),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Pág 3/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA,,,Bovinos    para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha / Concelho,,,nº de indivíduos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADEIRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,   9 ,   62 ,   47 ,  4 976 ,   137 ,   29 ,   190 ,   309 ,   11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15 - 24,- ,   1 ,- ,   16 ,   2 ,- ,- ,   2 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25 - 34,   1 ,   4 ,   2 ,   183 ,   5 ,   2 ,   5 ,   16 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35 - 44,   1 ,   5 ,   4 ,   564 ,   21 ,   4 ,   25 ,   54 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45 - 54,   2 ,   13 ,   15 ,   940 ,   29 ,   11 ,   36 ,   63 ,   3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55 - 64,   3 ,   12 ,   13 ,  1 289 ,   43 ,   5 ,   55 ,   69 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>= 65,   2 ,   27 ,   13 ,  1 984 ,   37 ,   7 ,   69 ,   105 ,   6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ilha da Madeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,   9 ,   57 ,   46 ,  4 968 ,   137 ,   28 ,   188 ,   306 ,   11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15 - 24,- ,   1 ,- ,   16 ,   2 ,- ,- ,   2 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25 - 34,   1 ,   3 ,   2 ,   183 ,   5 ,   2 ,   5 ,   16 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35 - 44,   1 ,   3 ,   3 ,   563 ,   21 ,   3 ,   25 ,   53 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45 - 54,   2 ,   13 ,   15 ,   938 ,   29 ,   11 ,   35 ,   62 ,   3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55 - 64,   3 ,   11 ,   13 ,  1 288 ,   43 ,   5 ,   54 ,   68 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>= 65,   2 ,   26 ,   13 ,  1 980 ,   37 ,   7 ,   69 ,   105 ,   6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Calheta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,   4 ,   23 ,   2 ,   637 ,   49 ,   3 ,   62 ,   58 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15 - 24,- ,- ,- ,   2 ,   2 ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25 - 34,- ,   1 ,- ,   14 ,   1 ,- ,   1 ,   4 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35 - 44,   1 ,   2 ,- ,   58 ,   5 ,   1 ,   7 ,   10 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45 - 54,- ,   5 ,   2 ,   90 ,   12 ,   1 ,   15 ,   12 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55 - 64,   2 ,   2 ,- ,   186 ,   12 ,   1 ,   19 ,   15 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>= 65,   1 ,   13 ,- ,   287 ,   17 ,- ,   20 ,   17 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Câmara de Lobos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,- ,   3 ,   2 ,   355 ,   11 ,   1 ,   12 ,   36 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25 - 34,- ,- ,- ,   9 ,   1 ,- ,   1 ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35 - 44,- ,- ,   1 ,   34 ,- ,- ,   2 ,   3 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45 - 54,- ,- ,- ,   70 ,- ,   1 ,- ,   11 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55 - 64,- ,   1 ,   1 ,   98 ,   5 ,- ,   6 ,   7 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>= 65,- ,   2 ,- ,   144 ,   5 ,- ,   3 ,   14 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
