Principais culturas temporárias (Ilha da Madeira - Porto Moniz),,,,,,,,,,,,
,,,,,,,,,,,,Pág. 2/4
REGIÃO AGRÁRIA,,,Total,,Cultura principal,,Cultura secundária,,,,,
Ilha,,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,,Funchal,,,,,,,,,,
,,Culturas temporárias,   381 ,   69 ,   347 ,   64 ,   77 ,   6 ,   22 ,   2 ,   57 ,   5 
,,Cereais para grão,   12 ,o ,   10 ,o ,   2 ,... ,   1 ,... ,   1 ,... 
,,Leguminosas secas para grão,   45 ,   2 ,   39 ,   2 ,   9 ,o ,   8 ,o ,   1 ,... 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
,,Batata,   247 ,   23 ,   213 ,   20 ,   55 ,   4 ,   10 ,   2 ,   46 ,   3 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   16 ,o ,   16 ,o ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   153 ,   19 ,   147 ,   19 ,   9 ,o ,- ,- ,   9 ,o 
,,Flores e plantas ornamentais,   55 ,   16 ,   55 ,   16 ,   1 ,... ,- ,- ,   1 ,... 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   82 ,   4 ,   77 ,   4 ,   8 ,o ,   6 ,o ,   3 ,o 
,,Machico,,,,,,,,,,
,,Culturas temporárias,  1 272 ,   355 ,  1 266 ,   277 ,   745 ,   79 ,   708 ,   70 ,   85 ,   7 
,,Cereais para grão,   571 ,   25 ,   511 ,   23 ,   62 ,   3 ,   22 ,   1 ,   40 ,   1 
,,Leguminosas secas para grão,  1 058 ,   50 ,  1 002 ,   42 ,   295 ,   8 ,   252 ,   6 ,   43 ,   2 
,,Prados temporários,   7 ,   1 ,   7 ,   1 ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   17 ,   1 ,   17 ,   1 ,   1 ,... ,   1 ,... ,- ,- 
,,Batata,   935 ,   151 ,   908 ,   95 ,   545 ,   57 ,   498 ,   52 ,   53 ,   4 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   172 ,   14 ,   172 ,   13 ,   1 ,... ,   1 ,... ,- ,- 
,,Culturas hortícolas,   867 ,   47 ,   867 ,   47 ,   1 ,... ,   1 ,... ,- ,- 
,,Flores e plantas ornamentais,   9 ,   2 ,   9 ,   2 ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   857 ,   64 ,   825 ,   53 ,   106 ,   12 ,   106 ,   12 ,- ,- 
,,Ponta do Sol,,,,,,,,,,
,,Culturas temporárias,   950 ,   339 ,   919 ,   217 ,   602 ,   122 ,   560 ,   117 ,   81 ,   5 
,,Cereais para grão,   121 ,   6 ,   89 ,   3 ,   35 ,   1 ,   34 ,   1 ,   1 ,... 
,,Leguminosas secas para grão,   314 ,   13 ,   143 ,   6 ,   180 ,   7 ,   167 ,   7 ,   13 ,o 
,,Prados temporários,   21 ,   2 ,   21 ,   2 ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   114 ,   5 ,   31 ,   2 ,   86 ,   2 ,   85 ,   2 ,   1 ,... 
,,Batata,   795 ,   140 ,   755 ,   93 ,   457 ,   47 ,   403 ,   43 ,   71 ,   5 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   194 ,   21 ,   194 ,   21 ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   533 ,   64 ,   476 ,   43 ,   222 ,   21 ,   219 ,   20 ,   4 ,   1 
,,Flores e plantas ornamentais,   11 ,   4 ,   11 ,   4 ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   652 ,   82 ,   433 ,   40 ,   399 ,   43 ,   399 ,   43 ,   2 ,... 
,,Porto Moniz,,,,,,,,,,
,,Culturas temporárias,   568 ,   280 ,   551 ,   147 ,   535 ,   132 ,   484 ,   107 ,   262 ,   25 
,,Cereais para grão,   201 ,   16 ,   60 ,   8 ,   151 ,   7 ,   151 ,   7 ,- ,- 
,,Leguminosas secas para grão,   255 ,   9 ,   30 ,   1 ,   226 ,   8 ,   224 ,   8 ,   2 ,... 
,,Prados temporários,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   287 ,   54 ,   26 ,   9 ,   273 ,   44 ,   273 ,   44 ,- ,- 
,,Batata,   562 ,   136 ,   537 ,   109 ,   270 ,   27 ,   15 ,   2 ,   261 ,   25 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   6 ,o ,   2 ,... ,   4 ,o ,   4 ,o ,- ,- 
,,Culturas hortícolas,   280 ,   28 ,   150 ,   18 ,   164 ,   11 ,   164 ,   11 ,- ,- 
,,Flores e plantas ornamentais,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,   7 ,o ,- ,- ,   7 ,o ,   7 ,o ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   386 ,   35 ,   45 ,   2 ,   350 ,   31 ,   349 ,   31 ,   1 ,... 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,
