Actividade remunerada exterior à exploração da população agrícola familiar (Ilha de Porto Santo),,,,,,,
,,,,,,,Pág. 2/2
,,Porto Moniz,Ribeira Brava,Santa Cruz,Santana,São Vivente,Ilha de Porto Santo                                                   (P.Santo)
População agrícola familiar,,  1 747 ,  5 720 ,  3 967 ,  5 894 ,  3 763 ,   472 
,Actividade exterior - principal,   359 ,  2 287 ,  1 535 ,  1 463 ,   993 ,   167 
,"Agricultura, produção animal, caça e actividades dos seviços relacionados",   1 ,   143 ,   136 ,   229 ,   186 ,   5 
,"Sivicultura, exploração  florestal e actividades dos seviços relacionados",   3 ,   13 ,   19 ,   17 ,   5 ,   5 
,"Pesca, aquacultura e actividades dos seviços relacionados",- ,   12 ,   5 ,   51 ,- ,- 
,Indústrias alimentares das bebidas e do tabaco,   23 ,   35 ,   15 ,   16 ,   31 ,- 
,Outras indústrias,   4 ,   783 ,   152 ,   45 ,   57 ,   2 
,"Produção e distribuição de  electricidade, gás e água",   8 ,   25 ,   22 ,   29 ,   26 ,- 
,Construção,   80 ,   459 ,   164 ,   262 ,   202 ,   32 
,Comércio por grosso e retalho,   19 ,   226 ,   102 ,   111 ,   66 ,   19 
,Alojamento e restauração,   26 ,   33 ,   105 ,   103 ,   71 ,   20 
,Administração pública,   84 ,   76 ,   152 ,   113 ,   155 ,   8 
,Educação,   21 ,   79 ,   67 ,   75 ,   37 ,   15 
,Saúde e acção social,   20 ,   62 ,   27 ,   52 ,   21 ,   2 
,Outras,   70 ,   341 ,   569 ,   360 ,   136 ,   59 
,Actividade exterior - secundária,   1 ,   164 ,   39 ,   40 ,   5 ,- 
,"Agricultura, produção animal, caça e actividades dos seviços relacionados",- ,   8 ,   8 ,   20 ,- ,- 
,"Sivicultura, exploração  florestal e actividades dos seviços relacionados",- ,- ,- ,- ,- ,- 
,"Pesca, aquacultura e actividades dos seviços relacionados",- ,- ,- ,   1 ,   1 ,- 
,Indústrias alimentares das bebidas e do tabaco,- ,   1 ,- ,- ,- ,- 
,Outras indústrias,- ,   151 ,   6 ,   6 ,   2 ,- 
,"Produção e distribuição de  electricidade, gás e água",- ,- ,- ,- ,- ,- 
,Construção,   1 ,   2 ,   4 ,   4 ,- ,- 
,Comércio por grosso e retalho,- ,   1 ,   17 ,   7 ,   1 ,- 
,Alojamento e restauração,- ,- ,- ,- ,- ,- 
,Administração pública,- ,- ,- ,- ,   1 ,- 
,Educação,- ,- ,- ,- ,- ,- 
,Saúde e acção social,- ,- ,- ,- ,- ,- 
,Outras,- ,   1 ,   4 ,   2 ,- ,- 
